time,open,high,low,close,MA,EMA,EMA,Volume,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle
1585094400,6500,6745.5,6457.5,6698.5,,,,1809.52,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585180800,6698.5,6767,6512,6733.5,,,,3904.964,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585267200,6733.5,6838,6235,6354,,,,4605.347,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585353600,6354,6354,6010,6230.5,,,,5750.959,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585440000,6230.5,6247,5858,5873,,,,5347.238,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585526400,5873,6577.5,5841.5,6389.5,,,,15103.617,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585612800,6389.5,6509.5,6323.5,6405,,,,15711.487,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585699200,6405,6687,6145,6642,,,6415.75,17552.87,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585785600,6642,7230.5,6543.5,6796.5,,,6500.361111111111,32569.69,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585872000,6796.5,7044,6604.5,6727.5,,,6550.836419753086,12668.382,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585958400,6727.5,7012,6646,6863.5,,,6620.317215363511,10039.906,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586044800,6863.5,6889,6680,6771,,,6653.8022786160645,10478.195,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586131200,6771,7363,6762,7322.5,,,6802.401772256939,17587.456,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586217600,7322.5,7458.5,7072.5,7198.5,,,6890.423600644286,18539.023,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586304000,7198.5,7417,7150.5,7356.5,,,6993.996133834445,15491.07,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586390400,7356.5,7364,7123,7282,,,7057.996992982346,16533.355,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586476800,7282,7287,6741.5,6857,,,7013.330994541824,21525.607,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586563200,6857,6938,6760,6874.5,,,6982.479662421419,8607.234,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586649600,6874.5,7170,6780,6901,,,6964.373070772214,13333.274,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
