time,open,high,low,close,MA,EMA,EMA,Volume,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle
1583020800,6500,6838,5841.5,6405,,,,52233.132,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585699200,6405,9458,6145,8625,,,,532029.546,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1588291200,8625,10059.5,8153,9449.5,,,,603928.977,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1590969600,9449.5,10352,8840,9135.5,,,,239068.4977,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1593561600,9135.5,11443.5,8910,11339,,,,296758.6751,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1596240000,11339,12499.5,10529.5,11661,,,,343647.052,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1598918400,11661,12066,9834,10759,,,,186282.231,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1601510400,10759,14120,10392,13782,,,10144.5,259403.414,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1604188800,13782,19930.5,13207,19712,,,12270.611111111111,748644.279,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1606780800,19712,29357,17567,28921.5,,,15970.808641975309,723551.359,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1609459200,28921.5,42100,27923,33128,,,19783.517832647463,1106322.101,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1612137600,33128,58399,32344.5,45156,,,25421.847203170248,797747.665,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1614556800,45156,61939.5,44983,58859.5,,,32852.436713576855,761915.113,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1617235200,58859.5,64943.5,47019,57678,,,38369.22855500422,544121.254,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1619827200,57678,59586,28801,37241,,,38118.51109833662,1279499.936,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1622505600,37241,41300,28774,35018,,,37429.50863203959,2446941.421,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1625097600,35018,42421.5,29272.5,41445.5,,,38321.95115825302,2235226.391,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1627776000,41445.5,50490,37281,47180,,,40290.40645641901,1919751.465,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1630454400,47180,52858,39520,43757.5,,,41060.8716883259,1719109.688,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1633046400,43757.5,67210,43273,61338,,,45566.900202031255,1417120.632,0,-95,-99,,,,,,,,,,75.86114270745387,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,75.86114270745387,,,,,,,,60,100,-60,,,,,,,,,,
1635724800,61338,69138.5,53122,56962,,30835.85714285714,48099.144601579865,1034022.274,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1638316800,56962,59073,40829,46200.5,,32232.642857142855,47677.22357900656,1350518.648,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1640995200,46200.5,48000,32906,38440,,32796.94805194805,45624.507228116214,2188129.405,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1643673600,38440,45924.5,34242.5,43150.5,,33738.1800472255,45074.72784409039,2331122.423,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1646092800,43150.5,48185,37139,45511,,34808.43640656863,45171.6772120703,2582617.979,0,-95,-99,,,,,,,,,,61.06823599755469,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,61.06823599755469,,,,,,,,60,100,-60,,,,,,,,,,
1648771200,45511,47493,37558.5,37611.5,,35063.260369607844,43491.637831610235,2532055.447,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1651363200,37611.5,40058.5,26536,31781,,34764.87306327986,40889.273869030185,4569085.275,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1654041600,31781,31982.5,17600,19925.5,,33415.83914843624,36230.657453690146,6868858.074,0,-95,-99,-5.995376571209113,,,,,,,,,,,,,,2.3574831746365796,,,60,100,-60,,,,,,,,,,,0,-95,-99,-5.995376571209113,,,,,,,,,,,,,,2.3574831746365796,,,60,100,-60,,,,,,,,,,
1656633600,19925.5,24695,18777,23290.5,,32495.35377130567,33355.066908425666,6504642.844,0,-95,-99,-19.548137733219328,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-19.548137733219328,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1659312000,23290.5,25199,19511,20050.5,,31364.0034284597,30398.496484331074,4951994.12,0,-95,-99,-28.294819848164796,-17.946111384197746,-10.34870846396705,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-28.294819848164796,-17.946111384197746,-10.34870846396705,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1661990400,20050.5,22794,18100,19409.5,,30277.230389508815,27956.497265590835,6336013.772,0,-95,-99,-34.574961195578815,-27.472639592320984,-7.102321603257831,,,,,,,,,,,3.096426799695878,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-34.574961195578815,-27.472639592320984,-7.102321603257831,,,,,,,,,,,3.096426799695878,,,,60,100,-60,,,,,,,,,,
1664582400,19409.5,21100,18071,20480,,29386.57308137165,26295.05342879287,4721744.152,0,-95,-99,-38.22741159951008,-33.699064214417895,-4.528347385092182,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-38.22741159951008,-33.699064214417895,-4.528347385092182,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1667260800,20480,21470,15440,17146.5,,28273.83916488332,24262.04155572779,5227418.53,0,-95,-99,-41.472279140774575,-38.091550645287825,-3.38072849548675,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,-41.472279140774575,-38.091550645287825,-3.38072849548675,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1669852800,17146.5,18379,16203,16549.5,,27207.99014989393,22548.143432232726,2788843.114,0,-95,-99,-43.64858159155985,-41.1160907772815,-2.532490814278347,,,,,,,,,,,,1.2009964010307526,,,60,100,-60,,,,,,,,,,,0,-95,-99,-43.64858159155985,-41.1160907772815,-2.532490814278347,,,,,,,,,,,,1.2009964010307526,,,60,100,-60,,,,,,,,,,
