time,open,high,low,close,MA,EMA,EMA,Volume,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle
1584921600,6500,6838,5858,5873,,,,21418.028,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585526400,5873,7230.5,5841.5,6771,,,,114124.147,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586131200,6771,7458.5,6741.5,6901,,,,111617.019,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1586736000,6901,7289,6465.5,7118.5,,,,114400.906,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1587340800,7118.5,7743.5,6750,7691.5,,,,110797.864,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1587945600,7691.5,9458,7624,8895,,,,159303.412,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1588550400,8895,10059.5,8153,8725,,,,229416.236,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1589155200,8725,9940,8182,9675,,,7706.25,148152.868,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1589760000,9675,9957.5,8690,8710,,,7929.305555555556,102055.167,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1590364800,8710,9735,8640.5,9449.5,,,8267.126543209877,76906.008,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1590969600,9449.5,10352,9288,9741,,,8594.653978052127,71068.596,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1591574400,9741,9995,9100.5,9340,,,8760.286427373876,49708.163,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1592179200,9340,9584.5,8906.5,9295,,,8879.111665735238,48271.891,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1592784000,9295,9782,8840,9120,,,8932.642406682962,58734.5361,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1593388800,9120,9289,8910,9074,,,8964.05520519786,42870.0899,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1593993600,9074,9466.5,9063,9295,,,9037.59849293167,46683.5678,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1594598400,9295,9335.5,9045.5,9203,,,9074.354383391299,40079.821,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1595203200,9203,10138,9134,9922.5,,,9262.831187082122,63032.871,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1595808000,9922.5,12113.5,9922.5,11073,,,9665.090923286094,174962.678,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1596412800,11073,11916.5,10943.5,11686.5,,,10114.29294033363,69537.722,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1597017600,11686.5,12063,11144,11914.5,,9022.57142857143,10514.338953592824,105633.18,0,-95,-99,,,,,,,,,,82.3923244616397,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,82.3923244616397,,,,,,,,60,100,-60,,,,,,,,,,
1597622400,11914.5,12499.5,11391,11660,,9262.337662337663,10768.930297238863,66939.422,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1598227200,11660,11826,11125,11710,,9484.852420306966,10978.05689785245,38072.622,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1598832000,11710,12066,9834,10255.5,,9554.911291188151,10817.488698329684,72626.878,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1599436800,10255.5,10572.5,9838,10320,,9624.464810171046,10706.93565425642,36195.932,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1600041600,10320,11168,10250,10912,,9741.51346379186,10752.505508866105,32279.929,0,-95,-99,,,,,,,,,,66.99596624921332,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,66.99596624921332,,,,,,,,60,100,-60,,,,,,,,,,
1600646400,10912,10977,10140,10770,,9835.012239810781,10756.393173562526,36467.595,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1601251200,10770,10951.5,10392,10666,,9910.556581646166,10736.305801659742,31581.914,0,-95,-99,39.3558514244711,,,,,,,,,,,,,,9.148013582021665,,,60,100,-60,,,,,,,,,,,0,-95,-99,39.3558514244711,,,,,,,,,,,,,,9.148013582021665,,,60,100,-60,,,,,,,,,,
1601856000,10666,11490,10531,11374,,10043.596892405605,10878.015623513133,37847.193,0,-95,-99,42.63381268404141,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,42.63381268404141,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1602460800,11374,11729,11200,11492,,10175.269902186914,11014.45659606577,36542.195,0,-95,-99,49.461131389968585,43.81693183282703,5.644199557141555,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,49.461131389968585,43.81693183282703,5.644199557141555,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1603065600,11492,13360,11406.5,13024.5,,10434.290820169921,11461.132908051153,77217.651,0,-95,-99,64.33370962541845,52.14288456647615,12.190825058942302,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,64.33370962541845,52.14288456647615,12.190825058942302,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1603670400,13024.5,14120,12769,13750,,10735.7189274272,11969.770039595342,98332.258,0,-95,-99,76.35806640007297,63.38430247182001,12.973763928252964,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,76.35806640007297,63.38430247182001,12.973763928252964,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1604275200,13750,15976,13207,15481.5,,11167.153570388364,12750.15447524082,150205.335,0,-95,-99,86.40819598576842,75.69999067041995,10.708205315348465,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,86.40819598576842,75.69999067041995,10.708205315348465,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1604880000,15481.5,16464.5,14825,15939.5,,11601.003245807604,13458.897925187304,135225.512,0,-95,-99,91.68740445947968,84.81788894844034,6.869515511039339,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,91.68740445947968,84.81788894844034,6.869515511039339,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1605484800,15939.5,18981.5,15866,18421.5,,12221.04840527964,14561.698386256792,221563.563,0,-95,-99,97.40710669677684,91.8342357140083,5.572870982768535,,,,,,,87.302458968282,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,97.40710669677684,91.8342357140083,5.572870982768535,,,,,,,87.302458968282,,,,,,,,60,100,-60,,,,,,,,,,
1606089600,18421.5,19531,16202,18179,,12762.680368436037,15365.543189310838,202541.418,0,-95,-99,97.29391672988544,95.46280929538064,1.8311074345048013,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,97.29391672988544,95.46280929538064,1.8311074345048013,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1606694400,18179,19948,18090.5,19366,,13362.98215312367,16254.533591686208,155223.713,0,-95,-99,96.85941369705286,97.18681237457172,-0.32739867751885754,,97.18681237457172,,97.18681237457172,,,,,,,,,,,60,100,-60,,,,,97.18681237457172,,105,,,,0,-95,-99,96.85941369705286,97.18681237457172,-0.32739867751885754,,97.18681237457172,,97.18681237457172,,,,,,,,,,,60,100,-60,,,,,97.18681237457172,,105,,,
