time,open,high,low,close,MA,EMA,EMA,Volume,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle,Plot,MFI Bar TOP Line,MFI Bar BOTTOM Line,WT Wave 1,WT Wave 2,VWAP,RSI+MFI Area,WT Bearish Divergence,WT Bullish Divergence,WT 2nd Bearish Divergence,WT 2nd Bullish Divergence,RSI,RSI Bearish Divergence,RSI Bullish Divergence,Stoch K,Stoch D,Stoch Bearish Divergence,Stoch Bullish Divergence,Schaff Trend Cycle 1,Schaff Trend Cycle 2,Over Bought Level 2,Over Bought Level 3,Over Sold Level 2,Sommi bearish flag,Sommi bullish flag,Sommi bearish diamond,Sommi bullish diamond,Buy and sell circle,Buy circle,Sell circle,Divergence buy circle,Divergence sell circle,Gold  buy gold circle
1585123200,6500,6628.5,6457.5,6511.5,,,,438.877,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585137600,6511.5,6745.5,6502,6615,,,,1258.004,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585152000,6615,6695.5,6592.5,6622,,,,67.83,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585166400,6622,6698.5,6556,6698.5,,,,44.809,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585180800,6698.5,6767,6655,6726.5,,,,370.109,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585195200,6726.5,6751,6555,6582,,,,744.421,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585209600,6582,6665,6566,6598.5,,,,639.745,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585224000,6598.5,6675.5,6512,6611,,,6620.625,691.091,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585238400,6611,6675,6594,6656,,,6628.486111111111,786.552,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
1585252800,6656,6760,6655,6733.5,,,6651.822530864198,673.046,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,,0,-95,-99,,,,,,,,,,,,,,,,,,60,100,-60,,,,,,,,,,
