time,open,high,low,close,Entry Long,Entry Short,Cancel,Volume
1748736000,156.34,156.56,156.14,156.28,0,0,0,43720.9
1748736900,156.28,156.35,155.68,155.72,0,0,0,70203.7
1748737800,155.72,156.16,155.6,156.15,0,0,0,29073.8
1748738700,156.15,156.29,155.77,156.13,0,0,0,31895.9
1748739600,156.13,156.34,155.52,156.33,0,0,0,30740.6
1748740500,156.33,156.64,155.6,155.96,0,0,0,43570.9
1748741400,155.96,156.06,155.17,155.26,0,0,0,56389.1
1748742300,155.26,155.59,154.56,155.09,0,0,0,76949.2
1748743200,155.09,155.13,154.16,154.28,0,0,0,103785.5
1748744100,154.28,155.01,154.28,154.86,0,0,0,74456.4
1748745000,154.86,155.25,154.86,154.98,0,0,0,35946.6
1748745900,154.98,155.24,154.63,154.71,0,0,0,29129.4
1748746800,154.71,154.82,153.78,154.04,0,0,0,87926.8
1748747700,154.04,154.22,153.27,153.63,0,0,0,154879.3
1748748600,153.63,154.24,153.59,154.06,0,0,0,101332
1748749500,154.06,154.72,154.05,154.6,0,0,0,51714.2
1748750400,154.6,155,154.45,154.86,0,0,0,35713.1
1748751300,154.86,155.21,154.85,155.17,0,0,0,36125
1748752200,155.17,155.68,155.16,155.61,0,0,0,78582.7
1748753100,155.61,155.85,155.34,155.36,0,0,0,39325.1
1748754000,155.36,155.75,155.31,155.7,1,0,0,28555.5
1748754900,155.7,155.82,155.36,155.45,0,0,0,37873
1748755800,155.45,155.83,155.32,155.32,0,0,0,21240.7
1748756700,155.32,155.38,155.02,155.28,0,0,0,27166.3
1748757600,155.28,155.32,154.84,154.95,0,0,0,34431.8
1748758500,154.95,155.01,154.51,154.88,0,0,0,33155
1748759400,154.88,155.36,154.88,154.99,0,0,0,24049.6
1748760300,154.99,155.13,154.61,154.71,0,1,0,34010
1748761200,154.71,154.72,154.15,154.63,0,0,0,66708.7
1748762100,154.63,154.84,154.27,154.57,0,1,1,39800.1
1748763000,154.57,154.59,154.06,154.32,0,0,0,57729.1
