armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2024-11-03 21:00 ET,bull,20183.75,2024-11-04 02:45 ET,,loss
2024-11-03 21:30 ET,bull,20214.0,2024-11-03 21:45 ET,,loss
2024-11-04 01:15 ET,bull,20238.0,2024-11-04 01:45 ET,,loss
2024-11-04 03:45 ET,bear,20169.0,2024-11-04 04:00 ET,,loss
2024-11-04 09:15 ET,bear,20132.5,2024-11-04 09:30 ET,,win
2024-11-04 12:00 ET,bear,20088.75,2024-11-04 12:15 ET,,loss
2024-11-05 04:15 ET,bull,20157.0,2024-11-05 04:30 ET,,loss
2024-11-06 07:45 ET,bull,20676.75,2024-11-06 08:00 ET,,win
2024-11-06 20:45 ET,bull,20902.5,2024-11-06 21:00 ET,,win
2024-11-07 08:15 ET,bull,20974.25,2024-11-07 08:30 ET,,win
2024-11-08 00:45 ET,bull,21250.25,2024-11-08 01:00 ET,,loss
2024-11-08 02:45 ET,bull,21239.5,2024-11-08 03:00 ET,,loss
2024-11-08 09:30 ET,bull,21186.25,2024-11-08 09:45 ET,,win
2024-11-08 12:45 ET,bull,21214.75,2024-11-08 13:00 ET,,win
2024-11-11 00:15 ET,bull,21292.5,2024-11-11 00:30 ET,,win
2024-11-11 02:30 ET,bull,21290.75,2024-11-11 03:45 ET,,win
2024-11-11 03:30 ET,bull,21308.5,2024-11-11 03:45 ET,,loss
2024-11-11 07:45 ET,bull,21323.5,2024-11-11 08:15 ET,,loss
2024-11-11 13:15 ET,bear,21143.0,2024-11-11 13:30 ET,,loss
2024-11-11 20:15 ET,bull,21229.5,2024-11-11 20:45 ET,,loss
2024-11-12 02:30 ET,bear,21202.5,2024-11-12 02:45 ET,,win
2024-11-12 13:00 ET,bear,21107.25,2024-11-12 13:15 ET,,loss
2024-11-13 00:45 ET,bear,21124.5,2024-11-13 01:00 ET,,loss
2024-11-13 01:15 ET,bear,21116.75,2024-11-13 01:45 ET,,loss
2024-11-13 20:15 ET,bear,21142.0,2024-11-13 20:30 ET,,win
2024-11-13 21:15 ET,bear,21132.0,2024-11-13 21:30 ET,,loss
2024-11-14 00:15 ET,bear,21120.75,2024-11-14 00:30 ET,,loss
2024-11-14 20:15 ET,bear,20910.0,2024-11-14 21:15 ET,0.5874,win
2024-11-15 12:00 ET,bear,20507.0,2024-11-15 12:15 ET,0.633,win
2024-11-17 20:00 ET,bull,20608.75,2024-11-17 20:45 ET,0.7028,win
2024-11-18 22:30 ET,bull,20674.25,2024-11-18 22:45 ET,0.1727,loss
2024-11-19 03:45 ET,bear,20637.75,2024-11-19 04:00 ET,0.416,win
2024-11-19 04:30 ET,bear,20552.5,2024-11-19 04:45 ET,0.6611,win
2024-11-19 14:00 ET,bull,20774.25,2024-11-19 14:15 ET,0.5062,loss
2024-11-19 19:30 ET,bull,20819.25,2024-11-19 19:45 ET,0.863,loss
2024-11-19 23:15 ET,bull,20795.25,2024-11-20 00:00 ET,0.3313,win
2024-11-20 07:15 ET,bull,20810.5,2024-11-20 07:30 ET,0.6131,loss
2024-11-20 10:15 ET,bear,20539.25,2024-11-20 10:30 ET,0.7364,loss
2024-11-21 02:30 ET,bear,20657.0,2024-11-21 02:45 ET,0.6569,loss
2024-11-21 07:15 ET,bull,20781.75,2024-11-21 07:30 ET,0.4359,win
2024-11-22 04:30 ET,bear,20726.5,2024-11-22 04:45 ET,0.7186,loss
2024-11-24 23:30 ET,bull,20964.5,2024-11-24 23:45 ET,0.3496,win
2024-11-25 22:30 ET,bull,20890.25,2024-11-25 23:00 ET,0.5066,win
2024-11-26 01:15 ET,bull,20889.25,2024-11-26 02:00 ET,0.69,win
2024-11-26 01:45 ET,bull,20903.75,2024-11-26 02:00 ET,0.69,loss
2024-11-26 06:00 ET,bull,20888.25,2024-11-26 06:15 ET,0.5937,win
2024-11-26 07:00 ET,bull,20927.0,2024-11-26 08:00 ET,0.4408,win
2024-11-26 21:30 ET,bull,21005.75,2024-11-26 21:45 ET,0.3226,loss
2024-11-27 10:30 ET,bear,20786.5,2024-11-27 13:15 ET,0.7184,loss
2024-11-28 02:15 ET,bull,20865.0,2024-11-28 02:30 ET,0.6485,win
2024-11-28 06:00 ET,bull,20858.75,2024-11-28 06:15 ET,0.6049,win
2024-11-28 07:00 ET,bull,20858.75,2024-11-28 08:30 ET,0.4383,win
2024-11-28 08:00 ET,bull,20870.5,2024-11-28 08:15 ET,0.8834,loss
2024-11-28 09:45 ET,bull,20883.5,2024-11-28 11:30 ET,1.0076,loss
2024-11-28 12:30 ET,bull,20895.25,2024-11-28 12:45 ET,0.6969,loss
2024-11-28 20:00 ET,bear,20845.0,2024-11-28 20:15 ET,0.6278,loss
2024-11-28 22:15 ET,bull,20910.25,2024-11-28 22:30 ET,0.6109,loss
2024-11-28 23:15 ET,bull,20928.25,2024-11-28 23:30 ET,0.4933,loss
2024-11-29 07:45 ET,bear,20862.5,2024-11-29 08:00 ET,0.3586,win
2024-11-29 08:45 ET,bear,20832.5,2024-11-29 09:00 ET,0.885,loss
2024-11-29 11:15 ET,bull,20978.5,2024-11-29 11:30 ET,0.4468,win
2024-12-02 08:15 ET,bull,21015.5,2024-12-02 08:30 ET,0.8752,win
2024-12-02 11:45 ET,bull,21215.5,2024-12-02 13:00 ET,0.3777,loss
2024-12-03 09:15 ET,bear,21178.75,2024-12-03 09:30 ET,1.1377,win
2024-12-03 22:00 ET,bull,21332.25,2024-12-03 22:15 ET,0.591,win
2024-12-04 04:15 ET,bull,21389.0,2024-12-04 04:30 ET,0.4273,win
2024-12-04 15:45 ET,bull,21530.5,2024-12-04 16:00 ET,0.5396,loss
2024-12-05 12:15 ET,bull,21549.75,2024-12-05 12:30 ET,0.5239,loss
2024-12-06 08:45 ET,bull,21487.0,2024-12-06 09:30 ET,0.2832,win
2024-12-06 10:15 ET,bull,21616.75,2024-12-06 10:45 ET,0.4622,loss
