armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2026-03-02 02:00 ET,bear,24603.25,2026-03-02 04:00 ET,0.4987,win
2026-03-02 09:45 ET,bull,24810.0,2026-03-02 10:00 ET,0.9641,win
2026-03-02 14:30 ET,bull,25069.75,2026-03-02 15:00 ET,0.6603,loss
2026-03-02 21:15 ET,bear,24859.5,2026-03-02 21:30 ET,0.5965,win
2026-03-03 02:30 ET,bear,24713.0,2026-03-03 02:45 ET,0.6439,win
2026-03-03 03:45 ET,bear,24548.5,2026-03-03 04:00 ET,0.6785,win
2026-03-03 05:00 ET,bear,24483.75,2026-03-03 05:45 ET,0.7048,win
2026-03-04 05:15 ET,bull,24795.25,2026-03-04 07:15 ET,0.49,loss
2026-03-04 06:15 ET,bull,24855.25,2026-03-04 06:30 ET,0.8943,loss
2026-03-04 08:15 ET,bull,24863.25,2026-03-04 08:30 ET,0.4795,win
2026-03-04 10:30 ET,bull,25060.75,2026-03-04 10:45 ET,1.0532,win
2026-03-04 11:45 ET,bull,25139.0,2026-03-04 12:00 ET,0.8956,win
2026-03-04 13:45 ET,bull,25178.5,2026-03-04 15:00 ET,0.733,loss
2026-03-05 04:15 ET,bull,25121.25,2026-03-05 04:30 ET,1.0523,loss
2026-03-05 11:15 ET,bear,25011.75,2026-03-05 11:30 ET,0.8802,win
2026-03-06 02:30 ET,bull,25124.25,2026-03-06 02:45 ET,1.1117,loss
2026-03-06 09:00 ET,bear,24668.5,2026-03-06 09:15 ET,1.0648,win
2026-03-09 20:45 ET,bull,24933.25,2026-03-09 21:00 ET,1.3766,win
2026-03-10 03:30 ET,bull,25024.0,2026-03-10 06:30 ET,0.9768,win
2026-03-10 04:15 ET,bull,25098.25,2026-03-10 04:45 ET,1.3996,loss
2026-03-10 23:45 ET,bull,25109.25,2026-03-11 00:30 ET,0.9588,loss
2026-03-11 05:00 ET,bear,24969.75,2026-03-11 05:15 ET,1.0857,win
2026-03-11 19:45 ET,bear,24789.0,2026-03-11 20:00 ET,1.1145,win
2026-03-11 22:00 ET,bear,24795.75,2026-03-12 02:30 ET,1.1645,loss
2026-03-11 22:45 ET,bear,24737.5,2026-03-11 23:00 ET,1.1645,loss
2026-03-12 00:45 ET,bear,24726.75,2026-03-12 01:00 ET,1.192,loss
2026-03-12 10:30 ET,bear,24649.5,2026-03-12 10:45 ET,1.1011,ambiguous
2026-03-13 00:30 ET,bear,24587.75,2026-03-13 00:45 ET,1.1609,win
2026-03-13 03:15 ET,bear,24462.25,2026-03-13 03:30 ET,1.261,win
2026-03-13 06:15 ET,bull,24578.5,2026-03-13 06:30 ET,1.2592,win
2026-03-13 09:45 ET,bull,24720.75,2026-03-13 10:00 ET,0.9893,ambiguous
2026-03-16 07:45 ET,bull,24614.5,2026-03-16 10:45 ET,1.027,win
2026-03-16 08:15 ET,bull,24651.5,2026-03-16 08:45 ET,0.7608,win
2026-03-16 11:30 ET,bull,24711.5,2026-03-16 11:45 ET,1.0281,loss
2026-03-16 14:15 ET,bull,24703.25,2026-03-16 14:45 ET,0.77,win
2026-03-17 21:15 ET,bull,25087.0,2026-03-17 21:30 ET,1.077,win
2026-03-17 22:30 ET,bull,25118.25,2026-03-17 22:45 ET,1.2863,win
