time,open,high,low,close,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1522015200,0.9,0.9,0.2,0.2,-77.77777777777777,-77.77777777777777,-77.77777777777777,-77.77777777777777,-77.77777777777777,-77.77777777777777,,,,,,,,
1522101600,0.5,0.5,0.5,0.5,-44.44444444444445,-44.44444444444445,-44.44444444444445,-44.44444444444445,0,0,,,,,,,,
1522188000,0.3,0.3,0.3,0.3,-66.66666666666667,-66.66666666666667,-66.66666666666667,-66.66666666666667,0,0,,,,,,,,
1522274400,0.6,0.6,0.6,0.6,-33.333333333333336,-33.333333333333336,-33.333333333333336,-33.333333333333336,0,0,,,,,,,,
1522620000,0.8,0.8,0.8,0.8,0,0,0,0,0,0,,,,,,,,
1522706400,-0.7,-0.7,-0.7,-0.7,-187.5,-187.5,-187.5,-187.5,0,0,,,,,,,,
1522792800,0.5,0.5,0.5,0.5,-37.50000000000001,-37.50000000000001,-37.50000000000001,-37.50000000000001,0,0,,,,,,,,
1522879200,0.3,0.3,0.3,0.3,-62.5,-62.5,-62.5,-62.5,0,0,,,,,,,,
1522965600,1,1,1,1,24.999999999999993,24.999999999999993,24.999999999999993,24.999999999999993,0,0,,,,,,,,
1523224800,0.2,0.2,0.2,0.2,-75.00000000000001,-75.00000000000001,0,0,0,0,,,,,,,,
1523311200,0.2,0.2,0.2,0.2,-75.00000000000001,-75.00000000000001,0,0,0,0,,,,,,,,
1523397600,0.2,0.2,0.2,0.2,-75.00000000000001,-75.00000000000001,0,0,0,0,,,,,,,,
1523484000,0.2,0.2,0.2,0.2,-75.00000000000001,-75.00000000000001,0,0,0,0,,,,,,,,
1523570400,0.3,0.3,0.3,0.3,-62.5,-62.5,49.999999999999986,49.999999999999986,0,0,,,,,,,,
1523829600,0,0,0,0,-100,-100,,,,,,,,,,,,
1523916000,0.2,0.2,0.2,0.2,-75.00000000000001,-75.00000000000001,,,0,0,,,,,,,,
1524002400,0.5,0.5,0.5,0.5,-37.50000000000001,-37.50000000000001,,,0,0,,,,,,,,
1524088800,-0.2,-0.2,-0.2,-0.2,-125,-125,,,0,0,,,,,,,,
1524175200,-0.1,-0.1,-0.1,-0.1,-112.5,-112.5,,,0,0,,,,,,,,
1524434400,-0.1,-0.1,-0.1,-0.1,-112.5,-112.5,0,0,0,0,,,,,,,,
1524520800,-0.3,-0.3,-0.3,-0.3,-137.5,-137.5,199.99999999999997,199.99999999999997,0,0,,,,,,,,
1524607200,-0.7,-0.7,-0.7,-0.7,-187.5,-187.5,599.9999999999999,599.9999999999999,0,0,,,,,,,,
1524693600,-0.3,-0.3,-0.3,-0.3,-137.5,-137.5,199.99999999999997,199.99999999999997,0,0,,,,,,,,
1524780000,-0.3,-0.3,-0.3,-0.3,-137.5,-137.5,199.99999999999997,199.99999999999997,0,0,,,,,,,,
1525039200,-0.9,-0.9,-0.9,-0.9,-212.5,-212.5,0,0,0,0,,,,,,,,
1525125600,-0.8,-0.8,-0.8,-0.8,0,0,-11.111111111111107,-11.111111111111107,0,0,,,,,,,,
1525212000,-1.3,-1.3,-1.3,-1.3,62.5,62.5,44.44444444444445,44.44444444444445,0,0,,,,,,,,
1525298400,-0.8,-0.8,-0.8,-0.8,0,0,-11.111111111111107,-11.111111111111107,0,0,,,,,,,,
1525384800,-0.9,-0.9,-0.9,-0.9,12.499999999999996,12.499999999999996,0,0,0,0,,,,,,,,
1525644000,-0.8,-0.8,-0.8,-0.8,0,0,0,0,0,0,,,,,,,,
1525730400,-0.9,-0.9,-0.9,-0.9,12.499999999999996,12.499999999999996,12.499999999999996,12.499999999999996,0,0,,,,,,,,
1525816800,-0.5,-0.5,-0.5,-0.5,-37.50000000000001,-37.50000000000001,-37.50000000000001,-37.50000000000001,0,0,,,,,,,,
1525903200,-0.6,-0.6,-0.6,-0.6,-25.000000000000007,-25.000000000000007,-25.000000000000007,-25.000000000000007,0,0,,,,,,,,
1525989600,-0.8,-0.8,-0.8,-0.8,0,0,0,0,0,0,,,,,,,,
1526248800,-0.8,-0.8,-0.8,-0.8,0,0,0,0,0,0,,,,,,,,
1526335200,-0.5,-0.5,-0.5,-0.5,-37.50000000000001,-37.50000000000001,-37.50000000000001,-37.50000000000001,0,0,,,,,,,,
1526421600,-0.7,-0.7,-0.7,-0.7,-12.50000000000001,-12.50000000000001,-12.50000000000001,-12.50000000000001,0,0,,,,,,,,
1526508000,-0.6,-0.6,-0.6,-0.6,-25.000000000000007,-25.000000000000007,-25.000000000000007,-25.000000000000007,0,0,,,,,,,,
1526594400,-0.3,-0.3,-0.3,-0.3,-62.5,-62.5,-62.5,-62.5,0,0,,,,,,,,
1526853600,-1.1,-1.1,-1.1,-1.1,37.50000000000001,37.50000000000001,0,0,0,0,,,,,,,,
1526940000,-0.8,-0.8,-0.8,-0.8,0,0,-27.272727272727277,-27.272727272727277,0,0,,,,,,,,
1527026400,-1,-1,-1,-1,24.999999999999993,24.999999999999993,-9.090909090909099,-9.090909090909099,0,0,,,,,,,,
1527112800,-0.7,-0.7,-0.7,-0.7,-12.50000000000001,-12.50000000000001,-36.36363636363637,-36.36363636363637,0,0,,,,,,,,
1527199200,-0.6,-0.6,-0.6,-0.6,-25.000000000000007,-25.000000000000007,-45.45454545454546,-45.45454545454546,0,0,,,,,,,,
1527458400,-1.1,-1.1,-1.1,-1.1,37.50000000000001,37.50000000000001,0,0,0,0,,,,,,,,
1527631200,-0.2,-0.2,-0.2,-0.2,-75.00000000000001,-75.00000000000001,-81.81818181818183,-81.81818181818183,0,0,,,,,,,,
1527717600,-0.3,-0.3,-0.3,-0.3,-62.5,-62.5,-72.72727272727273,-72.72727272727273,0,0,,,,,,,,
1527804000,-0.5,-0.5,-0.5,-0.5,0,0,-54.545454545454554,-54.545454545454554,0,0,,,,,,,,
1528063200,-0.4,-0.4,-0.4,-0.4,-19.999999999999996,-19.999999999999996,0,0,0,0,,,,,,,,
1528149600,-0.2,-0.2,-0.2,-0.2,-60,-60,-50,-50,0,0,,,,,,,,
1528236000,-0.2,-0.2,-0.2,-0.2,-60,-60,-50,-50,0,0,,,,,,,,
1528322400,-0.1,-0.1,-0.1,-0.1,-80,-80,-75.00000000000001,-75.00000000000001,0,0,,,,,,,,
1528408800,0.2,0.2,0.2,0.2,-140,-140,-150.00000000000003,-150.00000000000003,0,0,,,,,,,,
1528668000,0.2,0.2,0.2,0.2,-140,-140,0,0,0,0,,,,,,,,
1528754400,0.8,0.8,0.8,0.8,-260,-260,300.00000000000006,300.00000000000006,0,0,,,,,,,,
1528840800,0.9,0.9,0.9,0.9,-280,-280,349.99999999999994,349.99999999999994,0,0,,,,,,,,
1528927200,0.9,0.9,0.9,0.9,-280,-280,349.99999999999994,349.99999999999994,0,0,,,,,,,,
1529013600,0.6,0.6,0.6,0.6,-220.00000000000003,-220.00000000000003,199.99999999999997,199.99999999999997,0,0,,,,,,,,
1529272800,0.7,0.7,0.7,0.7,-240,-240,0,0,0,0,,,,,,,,
1529359200,0.6,0.6,0.6,0.6,-220.00000000000003,-220.00000000000003,-14.285714285714283,-14.285714285714283,0,0,,,,,,,,
1529445600,0.5,0.5,0.5,0.5,-200,-200,-28.571428571428566,-28.571428571428566,0,0,,,,,,,,
1529532000,0.1,0.1,0.1,0.1,-120,-120,-85.71428571428572,-85.71428571428572,0,0,,,,,,,,
1529618400,0.1,0.1,0.1,0.1,-120,-120,-85.71428571428572,-85.71428571428572,0,0,,,,,,,,
1529877600,0.5,0.5,0.5,0.5,-200,-200,0,0,0,0,,,,,,,,
1529964000,0.2,0.2,0.2,0.2,-140,-140,-60,-60,0,0,,,,,,,,
1530050400,0.6,0.6,0.6,0.6,-220.00000000000003,-220.00000000000003,19.999999999999996,19.999999999999996,0,0,,,,,,,,
1530136800,0,0,0,0,-100,-100,-100,-100,,,,,,,,,,
1530223200,0.4,0.4,0.4,0.4,-180,-180,-19.999999999999996,-19.999999999999996,0,0,,,,,,,,
1530482400,0.4,0.4,0.4,0.4,0,0,0,0,0,0,,,,,,,,
1530568800,0.4,0.4,0.3,0.3,-25.000000000000007,-25.000000000000007,-25.000000000000007,-25.000000000000007,-25.000000000000007,-25.000000000000007,,,,,,,,
1530655200,0.2,0.2,0.2,0.2,-50,-50,-50,-50,0,0,,,,,,,,
1530828000,0.4,0.4,0.4,0.4,0,0,0,0,0,0,,,,,,,,
1531087200,0.1,0.1,0.1,0.1,-75.00000000000001,-75.00000000000001,0,0,0,0,,,,,,,,
1531173600,0.5,0.5,0.5,0.5,24.999999999999993,24.999999999999993,400,400,0,0,,,,,,,,
1531260000,0.3,0.3,0.3,0.3,-25.000000000000007,-25.000000000000007,199.99999999999997,199.99999999999997,0,0,,,,,,,,
1531346400,0.4,0.4,0.4,0.4,0,0,300.00000000000006,300.00000000000006,0,0,,,,,,,,
1531432800,0,0,0,0,-100,-100,-100,-100,,,,,,,,,,
1531692000,0.1,0.1,0.1,0.1,-75.00000000000001,-75.00000000000001,0,0,0,0,,,,,,,,
1531778400,-0.1,-0.1,-0.1,-0.1,-125,-125,-200,-200,0,0,,,,,,,,
1531864800,0,0,0,0,-100,-100,-100,-100,,,,,,,,,,
1531951200,-0.2,-0.2,-0.2,-0.2,-150.00000000000003,-150.00000000000003,-300.00000000000006,-300.00000000000006,0,0,,,,,,,,
1532037600,-0.1,-0.1,-0.1,-0.1,-125,-125,-200,-200,0,0,,,,,,,,
1532296800,-0.4,-0.4,-0.4,-0.4,-200,-200,0,0,0,0,,,,,,,,
1532383200,-0.2,-0.2,-0.2,-0.2,-150.00000000000003,-150.00000000000003,-50,-50,0,0,,,,,,,,
1532469600,-0.7,-0.7,-0.7,-0.7,-275,-275,74.99999999999997,74.99999999999997,0,0,,,,,,,,
1532556000,-0.2,-0.2,-0.2,-0.2,-150.00000000000003,-150.00000000000003,-50,-50,0,0,,,,,,,,
1532642400,-0.4,-0.4,-0.4,-0.4,-200,-200,0,0,0,0,,,,,,,,
1532901600,-0.3,-0.3,-0.5,-0.5,-225,-225,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667,,,,,,,,
1532988000,-0.3,-0.3,-0.3,-0.3,-174.99999999999997,-174.99999999999997,0,0,0,0,,,,,,,,
