time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume
1753948800,23825.25,23826.25,23799.25,23802.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6595
1753949700,23802,23816.25,23800.5,23807.5,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3805
1753950600,23807.75,23815.75,23800,23801.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2997
1753951500,23801.25,23822,23793.75,23799.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5224
1753952400,23800,23804.25,23790.25,23792,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2817
1753953300,23792,23808.5,23791.5,23798.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2501
1753954200,23798.75,23799.25,23782.5,23788.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4048
1753955100,23788.25,23792.5,23782,23783.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2369
1753956000,23783.5,23790,23781,23787.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564
1753956900,23788,23799.75,23786.5,23792.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839
1753957800,23793,23801.5,23792,23794.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3109
1753958700,23795.25,23803.25,23772.25,23776.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5459
1753959600,23776.5,23800.75,23767,23787.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9549
1753960500,23786.75,23789,23767,23772.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5345
1753961400,23772.25,23783,23758.75,23764.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7425
1753962300,23764,23773,23752.75,23763.5,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6843
1753963200,23763,23795.25,23755.75,23787.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8997
1753964100,23787.5,23799.25,23780.75,23788.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7341
1753965000,23788.5,23809.5,23772.5,23794.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16321
1753965900,23794.5,23808.25,23787.25,23802,1,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7143
1753966800,23801.75,23804.75,23791.75,23794.5,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7295
1753967700,23793.75,23795.75,23743,23747.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20629
1753968600,23747.75,23752.25,23620.5,23636.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113721
1753969500,23636.25,23705,23608.25,23671,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90171
1753970400,23671.25,23700,23645.5,23670.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65214
1753971300,23671.75,23682.25,23621.75,23640,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58047
1753972200,23640.25,23657,23600,23620.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55686
1753973100,23620.5,23622,23535,23541.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69982
1753974000,23541,23584.5,23504.5,23504.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,71491
1753974900,23505,23539.75,23483.75,23535,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60738
1753975800,23535.25,23582,23530,23580.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37830
1753976700,23580.25,23584.25,23557.25,23584.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27885
