time,open,high,low,close,MA fast,MA slow,Cloud fast,Cloud medium,Cloud slow,Volume
1785756600,28469,28513.5,28450.5,28475,,,28482.63530897306,28510.01874995651,28510.01874995651,15344
1785757500,28474.5,28477.5,28403.5,28420,,,28451.317654486527,28492.01499996521,28492.01499996521,18285
1785758400,28419.5,28435.75,28382.75,28435.5,,,28443.408827243264,28480.71199997217,28480.71199997217,21284
1785759300,28435.75,28462,28421.5,28449.75,,,28446.579413621632,28474.519599977735,28474.519599977735,18523
1785760200,28450,28487.75,28437.25,28487.5,,,28467.039706810814,28477.115679982187,28477.115679982187,16699
1785761100,28487.5,28491.5,28441,28459.25,,,28463.144853405407,28473.54254398575,28473.54254398575,20367
1785762000,28459.75,28478.25,28439,28460.25,,,28461.697426702704,28470.8840351886,28470.8840351886,23969
1785762900,28460.75,28496.5,28396,28417,,,28439.34871335135,28460.10722815088,28460.10722815088,34556
1785763800,28417.5,28540.25,28313,28492.25,,,28465.799356675678,28466.535782520703,28466.535782520703,186016
1785764700,28494,28629.25,28443.75,28629.25,,,28547.52467833784,28499.078626016562,28499.078626016562,126328
1785765600,28624.25,28630,28525,28571,,,28559.26233916892,28513.46290081325,28513.46290081325,121947
1785766500,28570.5,28684.75,28555.5,28678.25,,,28618.75616958446,28546.4203206506,28546.4203206506,110723
1785767400,28677.75,28735.75,28661,28707.75,,,28663.25308479223,28578.68625652048,28578.68625652048,79311
1785768300,28707.5,28805,28699.5,28802,,,28732.626542396116,28623.349005216383,28623.349005216383,83789
1785769200,28801.25,28802.25,28747.25,28757.5,,,28745.063271198058,28650.179204173106,28650.179204173106,64859
1785770100,28757,28798.75,28723.25,28734.75,,,28739.90663559903,28667.093363338485,28667.093363338485,65428
1785771000,28734.25,28789.75,28731.5,28782,,,28760.953317799514,28690.074690670786,28690.074690670786,55081
1785771900,28782,28813,28776,28792,,,28776.47665889976,28710.45975253663,28710.45975253663,47252
1785772800,28792.25,28827.5,28790.25,28814.25,,,28795.36332944988,28731.217802029303,28731.217802029303,41163
1785773700,28813.75,28847.5,28812.25,28837,,,28816.18166472494,28752.37424162344,28752.37424162344,37242
1785774600,28837,28845,28810,28834,,,28825.090832362468,28768.699393298753,28768.699393298753,33398
1785775500,28834,28843,28819.5,28821.75,,,28823.420416181234,28779.309514639004,28779.309514639004,27439
1785776400,28823,28863.25,28812.75,28857.5,,,28840.46020809062,28794.947611711203,28794.947611711203,34561
1785777300,28857.25,28890.5,28855.5,28885.5,,,28862.98010404531,28813.058089368962,28813.058089368962,33486
1785778200,28885.5,28895,28874,28885.5,,,28874.240052022655,28827.54647149517,28827.54647149517,26390
1785779100,28885.5,28921.75,28884.75,28917.75,,,28895.995026011326,28845.587177196136,28845.587177196136,31827
1785780000,28917.5,28965,28917.25,28940.25,,,28918.122513005663,28864.519741756907,28864.519741756907,54645
1785780900,28940.5,28959.5,28890.25,28892.75,,,28905.43625650283,28870.165793405526,28870.165793405526,43619
1785781800,28891.75,28914.25,28882.25,28913.25,,,28909.343128251414,28878.78263472442,28878.78263472442,39286
1785782700,28913.25,28928.75,28892.5,28907.5,,,28908.421564125707,28884.526107779537,28884.526107779537,34755
1785783600,28907.5,28943.75,28894.25,28900,,,28904.21078206285,28887.62088622363,28887.62088622363,42567
1785784500,28899.75,28926.75,28898.75,28913.25,,,28908.730391031426,28892.746708978906,28892.746708978906,28878
1785785400,28912.75,28926,28898.5,28915,,,28911.86519551571,28897.197367183126,28897.197367183126,29459
1785786300,28915,28935.75,28865.75,28900.75,,,28906.307597757856,28897.907893746502,28897.907893746502,68315
1785787200,28901.5,28923,28877.75,28911.5,,,28908.903798878928,28900.6263149972,28900.6263149972,22567
1785788100,28910.75,28942.5,28910,28914.25,,,28911.576899439464,28903.35105199776,28903.35105199776,10756
1785789000,28913.25,28932.25,28909.5,28929.5,,,28920.53844971973,28908.58084159821,28908.58084159821,6811
1785789900,28929.25,28933.25,28914.5,28929.25,,,28924.894224859865,28912.71467327857,28912.71467327857,4882
1785794400,28930,28950.5,28918,28928,,,28926.44711242993,28915.771738622854,28915.771738622854,11690
1785795300,28928,28948.25,28928,28942.75,,,28934.598556214965,28921.167390898285,28921.167390898285,5255
1785796200,28942.75,28962.25,28932.25,28957.5,,,28946.049278107483,28928.43391271863,28928.43391271863,8726
1785797100,28956.75,28957.5,28940.5,28945.75,,,28945.899639053743,28931.897130174904,28931.897130174904,5949
1785798000,28945.25,28948.25,28929.5,28938.25,,,28942.07481952687,28933.167704139923,28933.167704139923,7751
1785798900,28937.5,28958.25,28936.5,28948.75,,,28945.412409763434,28936.28416331194,28936.28416331194,7825
1785799800,28948,28960,28932,28940.5,,,28942.956204881717,28937.12733064955,28937.12733064955,7415
1785800700,28940.5,28972.25,28939.5,28971.5,,,28957.22810244086,28944.00186451964,28944.00186451964,10133
1785801600,28971.25,28979,28925.75,28931.5,,,28944.36405122043,28941.501491615712,28941.501491615712,23025
1785802500,28931.25,28933.5,28900,28906.25,,,28925.307025610215,28934.45119329257,28934.45119329257,19772
1785803400,28905.5,28906.75,28864,28892,,,28908.653512805107,28925.960954634058,28925.960954634058,21502
1785804300,28891.75,28909,28868.5,28877.25,,,28892.951756402552,28916.218763707246,28916.218763707246,18636
1785805200,28876.75,28876.75,28831.5,28860,,,28876.475878201276,28904.975010965798,28904.975010965798,22988
1785806100,28859.25,28902.5,28851.25,28902,,,28889.23793910064,28904.380008772638,28904.380008772638,16455
1785807000,28902.75,28943.75,28899,28942.5,,,28915.86896955032,28912.00400701811,28912.00400701811,19276
1785807900,28942.25,29049.25,28941.5,29041,,,28978.43448477516,28937.803205614488,28937.803205614488,26629
1785808800,29041.25,29045,28967.5,28971,,,28974.71724238758,28944.44256449159,28944.44256449159,23079
1785809700,28970.25,28978,28942.75,28949.25,,,28961.98362119379,28945.404051593272,28945.404051593272,18123
1785810600,28948.75,28994.25,28948,28985.5,,,28973.741810596897,28953.423241274617,28953.423241274617,15441
1785811500,28987,28992.25,28958.5,28972.75,,,28973.24590529845,28957.288593019694,28957.288593019694,10839
1785812400,28972.5,28993,28932,28942.5,,,28957.872952649224,28954.330874415755,28954.330874415755,13576
