time,open,high,low,close
1557093600,7865,7865,7668.75,7741
1557180000,7745.25,7804,7581.5,7672
1557266400,7668.5,7697.75,7600.75,7641.5
1557352800,7640,7644.25,7481.25,7592.5
1557439200,7592,7653.5,7435.5,7610.25
1557698400,7601,7601,7304.75,7314.25
1557784800,7315.25,7459.5,7286,7426
1557871200,7427,7538.5,7353.75,7527.25
1557957600,7517,7641.25,7473.25,7603
1558044000,7598,7619.75,7506.5,7512
1558303200,7512.75,7559.5,7361.5,7405.5
1558389600,7406,7485.25,7400.75,7461.5
1558476000,7459.25,7474.75,7391,7425.75
1558562400,7427.75,7434.5,7268.25,7317
1558648800,7316.75,7379.5,7296.75,7312
1558908000,7314.75,7371.5,7280.75,7291.75
1559080800,7290.75,7296,7183.25,7214.25
1559167200,7211.75,7271.25,7208.75,7255
1559253600,7253.5,7256,7129.5,7136.25
1559512800,7114.75,7132.5,6940.5,7009.5
1559599200,7008.25,7187.25,6981.5,7187.25
1559685600,7188.25,7245.25,7150,7230.5
1559772000,7220.5,7299.5,7180.75,7265.25
1559858400,7265.5,7452.5,7258,7428.75
1560117600,7461.25,7578.25,7431.5,7519.5
1560204000,7516,7601,7492.5,7518.75
1560290400,7519,7531,7461,7476.5
1560376800,7477,7536,7421.5,7512
1560463200,7509.75,7521,7451.75,7484.25
1560722400,7483.75,7550.75,7480.75,7542
1560808800,7568.25,7721.75,7541.25,7671
1560895200,7667.25,7713.5,7630,7697.5
1560981600,7701.75,7820.75,7693.25,7764.75
1561068000,7765,7803.5,7725.75,7746.5
1561327200,7744,7794,7716.75,7755.5
1561413600,7754.75,7779.75,7609.5,7635
1561500000,7635.5,7719,7616,7642.5
1561586400,7642,7716.75,7642,7686.75
1561672800,7686.5,7726,7664.25,7724
1561932000,7750.25,7850.25,7750.25,7791
1562018400,7794.5,7843.25,7762.75,7840.75
1562104800,7842.5,7893,7824.75,7887.5
1562191200,7888.5,7909.25,7797,7854.75
1562536800,7855,7864.25,7777.75,7802
1562623200,7802,7858.75,7743.25,7847.75
1562709600,7847.5,7949.5,7811.5,7926.5
1562796000,7924.75,7963.25,7894.25,7918.75
1562882400,7915.75,7967.75,7912,7958
1563141600,7956.25,7992,7941.25,7984.25
1563228000,7983.25,8001.5,7924,7937.5
1563314400,7937.5,7966.5,7868.25,7869.25
1563400800,7868,7954.75,7833,7947.5
1563487200,7950,7980.5,7815,7819
1563746400,7826.75,7936.25,7825.5,7927.75
1563832800,7928,7985.75,7908.25,7941.5
1563919200,7945,8051.75,7925.75,8001.75
1564005600,8003.75,8034.25,7917.25,7982
1564092000,7991,8040.5,7987.75,8015
1564351200,8015.5,8031.75,7951.5,8005.75
1564437600,8002.25,8019.75,7928.25,7989
1564524000,7990.75,8001.75,7782,7839
1564610400,7835,8014.5,7777,7790.5
1564696800,7796.25,7805.5,7650,7708.25
1564956000,7706,7706,7359.75,7368.5
1565042400,7352,7548.75,7225,7517.5
1565128800,7514.5,7577.25,7387.75,7550.5
1565215200,7550.25,7738.5,7526.25,7728.75
1565301600,7714,7724,7596.75,7669.25
1565560800,7654,7709.75,7534.75,7571
1565647200,7569.25,7789.25,7513.75,7751
1565733600,7749.5,7767.5,7477.25,7477.5
1565820000,7477.25,7573.25,7388.5,7507
1565906400,7511.25,7632.25,7502.25,7612.75
1566165600,7615,7750.25,7613,7719.75
1566252000,7720,7752.5,7655.5,7657
1566338400,7657.5,7765.75,7651.5,7759
1566424800,7757,7782.25,7653.75,7707
1566511200,7704.25,7762,7448,7493.25
1566770400,7454,7626,7311.75,7588
1566856800,7590.5,7648.75,7536.75,7565
1566943200,7568.5,7605.75,7503.75,7580.5
1567029600,7583.25,7730.25,7548.5,7704.5
1567116000,7705.75,7770.25,7646,7676
1567375200,7644,7695.75,7581.5,7616.5
1567548000,7617.5,7729.75,7608.25,7723
1567634400,7720.25,7886.5,7717.75,7851.5
1567720800,7853.25,7895.5,7838.5,7865.75
1567980000,7858.25,7887.25,7798.5,7833.25
1568066400,7833,7857.75,7744.25,7818.5
1568152800,7818.25,7899.75,7786.5,7892
1568239200,7892,7982,7886.75,7910.75
1568325600,7915.75,7958.25,7881.25,7887.75
1568584800,7864.25,7873.25,7776.5,7864.75
1568671200,7886.75,7921.5,7850.5,7917
1568757600,7913.5,7929,7813.25,7922.25
1568844000,7922,7974,7852.75,7919.25
1568930400,7919.5,7952.25,7811.25,7832.5
1569189600,7834.5,7897,7807.75,7868.5
1569276000,7866.5,7904.25,7701.75,7738
1569362400,7735.25,7844.25,7663.75,7823.25
1569448800,7822,7842.5,7735,7785.75
1569535200,7787,7822,7640.75,7715.75
1569794400,7727.75,7788.75,7705.5,7785.25
1569880800,7781,7841.5,7691,7710
1569967200,7710.75,7730.5,7525.5,7554.5
1570053600,7559.5,7660,7474.75,7658.75
1570140000,7659.5,7773.75,7616.25,7767
1570399200,7733.25,7799.75,7698.75,7739
1570485600,7740,7784.5,7613.25,7623.5
1570572000,7622.5,7731.75,7605,7704.5
1570658400,7702,7798.25,7583,7785
1570744800,7783.25,7918.25,7767,7859
1571004000,7853.5,7894.5,7807,7859.5
1571090400,7858.75,7971.75,7858.75,7959.75
1571176800,7961.25,7961.25,7907.75,7953.75
1571263200,7954,7994.75,7922.75,7952.25
1571349600,7951.25,7958.25,7835.5,7884.5
1571608800,7875.75,7951.25,7865,7948
1571695200,7948.25,7988.5,7837.5,7842
1571781600,7850,7918,7810.5,7916.25
1571868000,7920,7985,7912.75,7927.5
