time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785351960,27955.25,27977.5,27949.25,27959.25,1,0,0,0,0,,7125,6415.75
1785352020,27960.75,27963,27918.25,27920,1,0,0,0,0,,6636,6394.95
1785352080,27920.5,27940.25,27889.25,27904,1,0,0,0,0,,8553,6506.4
1785352140,27905.25,27914.75,27877.25,27878.5,1,0,0,0,0,,6029,6543.8
1785352200,27878,27889,27839.25,27862,1,0,0,0,0,,8664,6662.75
1785352260,27862,27917.25,27859,27913.75,1,0,0,1,0,,8126,6789.8
1785352320,27912.75,27928.5,27872.25,27907.25,1,0,0,0,0,,8091,6955.75
1785352380,27906.25,27929.5,27898,27909,1,0,0,0,0,,5802,6922.45
1785352440,27908.75,27926,27895.75,27905.5,1,0,0,0,0,27898.662640227918,4437,6917.85
1785352500,27905.5,27934.75,27885.5,27930.25,1,0,0,0,0,,6324,6894.1
1785352560,27929.5,27938.75,27875,27889.5,-1,0,0,0,0,,6565,6907.9
1785352620,27889.75,27897.75,27843,27845.75,-1,0,0,0,0,,5801,6851.3
1785352680,27846.75,27848,27805,27827.25,-1,0,0,0,0,,7688,6970.8
1785352740,27826.5,27833.75,27807.5,27821.75,-1,0,0,0,0,,5069,6965.95
1785352800,27821.5,27828,27770.5,27771,-1,0,0,0,0,,6967,6941.1
1785352860,27771,27775.75,27720.25,27737.75,-1,0,0,0,0,,10718,7136.5
1785352920,27737.75,27746,27682.25,27716,-1,0,0,0,0,,8690,7231.55
1785352980,27716.75,27730,27701.75,27718.5,-1,0,0,0,0,,5070,7132.55
1785353040,27720,27745,27703,27711,-1,0,0,0,0,,5153,6950.45
1785353100,27710.5,27724,27674.5,27678.5,-1,0,0,0,0,,6649,6907.85
1785353160,27677.75,27682,27641,27669.5,-1,0,0,0,0,,7828,6943
1785353220,27670,27690.25,27644.5,27675.25,-1,0,0,0,0,,6326,6927.5
1785353280,27676.25,27701,27669,27694.25,-1,0,0,0,0,,5877,6793.7
1785353340,27693.75,27713,27684.5,27711,-1,0,0,0,0,27836.108426818613,6095,6797
1785353400,27711.25,27738.75,27696.25,27726.5,-1,0,0,0,0,,8481,6787.85
1785353460,27726.25,27744,27696.75,27716.5,-1,0,0,0,0,,7009,6732
1785353520,27716.5,27724.75,27664.25,27682.75,-1,0,0,0,0,,7183,6686.6
1785353580,27682.5,27684.75,27593,27600,-1,0,0,0,0,,9764,6884.7
1785353640,27600.5,27611.5,27571.75,27610.25,-1,0,0,0,0,,9365,7131.1
1785353700,27610.75,27621.5,27581,27601.5,-1,0,0,0,0,,7599,7194.85
1785353760,27601.75,27627,27585,27623,-1,0,0,0,0,,7850,7259.1
1785353820,27623.25,27631.25,27577,27583.5,-1,0,0,0,0,,6633,7300.7
1785353880,27583.25,27584.75,27525.25,27527.25,-1,0,0,0,0,,7932,7312.9
1785353940,27527.25,27529.75,27503,27508.5,-1,0,0,0,0,,8542,7486.55
1785354000,27507.75,27520,27472.5,27519,-1,0,0,0,0,,10768,7676.6
1785354060,27519,27542,27497.25,27513,-1,0,0,0,0,,9067,7594.05
1785354120,27513.5,27527,27502.5,27509.25,-1,0,0,0,0,,6367,7477.9
1785354180,27510.25,27515.5,27467.25,27501,-1,0,0,0,0,,9666,7707.7
1785354240,27501,27502.75,27459,27473.75,-1,0,0,0,0,27715.322284545742,7174,7808.75
1785354300,27473.75,27488.25,27453.75,27456.25,-1,0,0,0,0,,7422,7847.4
1785354360,27456,27484.5,27445,27449,-1,0,0,0,0,,7434,7827.7
1785354420,27449,27458,27421.25,27447.5,-1,0,0,0,0,,7230,7872.9
1785354480,27447,27484,27443.5,27472.5,-1,0,0,0,0,,7050,7931.55
1785354540,27472,27511,27456,27501,-1,0,0,0,0,,6455,7949.55
1785354600,27500.25,27500.25,27432.5,27459.75,-1,0,0,0,0,,8260,7938.5
1785354660,27459,27459.25,27423,27443.5,-1,0,0,0,1,,5358,7855.95
1785354720,27443.5,27446,27393.5,27414.75,-1,0,0,0,0,,8773,7935.45
1785354780,27415,27430.25,27405.75,27417.25,-1,0,0,0,0,,5221,7708.3
1785354840,27417.5,27449,27416,27434.25,-1,0,0,0,0,,6462,7563.15
1785354900,27434.25,27434.75,27363.75,27379.25,-1,0,0,0,0,,9297,7648.05
1785354960,27379.75,27392,27356.75,27365.25,-1,0,0,0,0,,5208,7515.95
1785355020,27365.25,27367.5,27343.5,27344.25,-1,0,0,0,0,,4745,7421.55
1785355080,27344.75,27349.5,27331.5,27340.5,-1,0,0,0,0,,4817,7265.8
