time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.0,Order Sent Long,Order Sent Short,EMA,Volume,Volume MA
1785795720,28941.25,28944.5,28938.25,28943.25,1,28923.208823832425,2,0,0,,201,616.3
1785795780,28942.75,28947.25,28942.75,28945.75,1,28923.208823832425,2,0,0,,209,584.15
1785795840,28945,28945.75,28942.75,28945,1,28923.208823832425,2,0,0,,151,570.1
1785795900,28945.25,28945.75,28940.75,28943.25,1,28923.208823832425,2,0,0,,252,547.15
1785795960,28942.5,28942.5,28937.25,28940,1,28923.208823832425,2,0,0,,319,540.65
1785796020,28940.75,28946,28939.5,28944.75,1,28923.208823832425,2,0,0,,291,521.7
1785796080,28944,28945.75,28942,28945.25,1,28923.208823832425,2,0,0,,131,493.3
1785796140,28944,28945.75,28942.5,28942.75,1,28923.208823832425,2,0,0,28929.722549221617,99,483.9
1785796200,28942.75,28946,28938.75,28941,1,28929.722549221617,2,0,0,,345,474.35
1785796260,28940.5,28942.75,28938.25,28940.75,1,28929.722549221617,2,0,0,,236,449.35
1785796320,28940.5,28943.5,28936.5,28937.25,1,28929.722549221617,2,0,0,,445,443.4
1785796380,28937,28939.25,28932.25,28938,1,28929.722549221617,2,0,0,,558,406.05
1785796440,28938,28958.5,28937.75,28951.25,1,28929.722549221617,2,0,0,,1491,416.5
1785796500,28950.75,28950.75,28937,28943.25,1,28929.722549221617,2,0,0,,1076,407.9
1785796560,28943.25,28953.5,28943.25,28947.5,1,28929.722549221617,2,0,0,,660,417.75
1785796620,28946,28948.25,28942.5,28946.75,1,28929.722549221617,2,0,0,,257,412.25
1785796680,28946.75,28949.75,28945,28949.75,1,28929.722549221617,2,0,0,,253,409.25
1785796740,28948.75,28956,28948.25,28951.25,1,28929.722549221617,2,0,0,,663,421.55
1785796800,28951.5,28962.25,28951,28961,1,28929.722549221617,2,0,0,,1294,458.35
1785796860,28960.5,28962,28957.75,28960,1,28929.722549221617,2,0,0,,508,471.95
