time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785369300,27538.25,27547,27530.25,27541.5,1,0,0,0,0,,1839,1799.6
1785369360,27541.25,27548.5,27533.75,27546.75,1,0,0,0,0,,1336,1836.2
1785369420,27545.75,27550.25,27530,27536.5,1,0,0,0,0,,1178,1847.7
1785369480,27537.25,27539.5,27527,27531.75,1,0,0,0,0,,1080,1835.4
1785369540,27532.5,27538.5,27518.5,27522.25,1,0,0,0,0,27500.850564098368,1479,1809.45
1785369600,27522.5,27544.25,27516.25,27538.75,1,0,0,0,0,,3692,1892
1785369660,27538.75,27540,27501.75,27511.75,1,0,0,0,0,,3450,1972.4
1785369720,27512,27513,27477.25,27494.25,1,0,0,0,0,,3412,2081.3
1785369780,27495,27514.5,27472.25,27483,-1,0,0,0,0,,3981,2226.85
1785369840,27482.25,27508,27475.5,27502.5,1,0,0,0,0,,2424,2286.15
1785369900,27503,27536.5,27497.5,27527.5,1,0,0,0,0,,4160,2373.65
1785369960,27527,27581.5,27526.75,27574.5,1,0,0,0,0,,5842,2489.95
1785370020,27574,27579,27559.25,27572.75,1,0,0,0,0,,2712,2541.05
1785370080,27572.5,27592.25,27565,27566.75,1,1,0,0,0,,3316,2632.85
1785370140,27567,27584.75,27563.25,27582.75,1,0,0,0,0,,2102,2618.4
1785370200,27580.75,27592.75,27566.5,27582.75,1,0,0,0,0,,2551,2667.05
1785370260,27582.75,27600,27575.25,27576,1,0,0,0,0,,2710,2717.05
1785370320,27575,27598.5,27568.5,27596,1,0,0,0,0,,2509,2730.2
1785370380,27596.5,27607.5,27591,27601,1,0,0,0,0,,2148,2705.9
1785370440,27601.25,27605.25,27578.75,27579,1,0,0,0,0,27526.90037606558,2102,2701.15
1785370500,27579.25,27602.25,27558.25,27597.25,1,0,0,0,0,,3664,2792.4
1785370560,27597,27600,27573,27573.75,1,0,0,0,0,,1872,2819.2
1785370620,27573.5,27590.25,27568.5,27585.25,1,0,0,0,0,,1666,2843.6
1785370680,27584.25,27602.25,27582.5,27590.25,1,0,0,0,0,,2473,2913.25
1785370740,27589.5,27597.25,27570,27572.5,1,0,0,0,0,,1631,2920.85
1785370800,27573.5,27577.25,27550,27554.75,1,0,0,0,0,,2346,2853.55
1785370860,27555,27578,27551.5,27574.25,1,0,0,0,0,,1888,2775.45
1785370920,27575,27590,27560.25,27587,1,0,0,0,0,,2521,2730.9
1785370980,27586.75,27591,27574.5,27588.75,1,0,0,0,0,,1500,2606.85
1785371040,27589.25,27589.25,27566,27570.75,1,0,0,0,0,,1472,2559.25
1785371100,27570,27587,27566.25,27582,1,0,0,0,0,,1513,2426.9
1785371160,27582.75,27603,27581.75,27592.75,1,0,0,0,0,,2378,2253.7
1785371220,27590,27590.25,27567.75,27574.5,1,0,0,0,0,,1763,2206.25
1785371280,27574.75,27594.5,27571.5,27588.25,1,0,0,0,0,,1261,2103.5
1785371340,27588,27601.5,27584.75,27594,1,0,0,0,0,27549.266917377052,1204,2058.6
1785371400,27594.25,27611.5,27582.5,27597.5,1,0,0,0,0,,1896,2025.85
1785371460,27598.5,27604.25,27582.75,27592.75,1,0,0,0,0,,1759,1978.3
1785371520,27592.75,27594,27562.25,27565.25,1,0,0,0,0,,2177,1961.7
1785371580,27565.75,27577.25,27559,27572.25,1,0,0,0,0,,1375,1923.05
1785371640,27571.75,27572,27554.75,27557.75,1,0,0,0,0,,1496,1892.75
1785371700,27556.5,27557,27536.25,27543.75,1,0,0,0,0,,2484,1833.75
1785371760,27542.75,27559.75,27538.5,27552.75,1,0,0,0,0,,1428,1811.55
1785371820,27554,27557.25,27532.5,27539.5,1,0,0,0,0,,1195,1788
1785371880,27539.5,27547.75,27529.75,27546.25,1,0,0,0,0,,1388,1733.75
1785371940,27546,27548.5,27527.75,27534,1,0,0,0,0,,1404,1722.4
1785372000,27534.25,27544.75,27522.5,27537.5,1,0,0,0,0,,1554,1682.8
1785372060,27537.25,27543.25,27518.75,27518.75,-1,0,0,0,0,,1267,1651.75
1785372120,27519,27523.75,27511.5,27511.75,-1,0,0,0,0,,1668,1609.1
1785372180,27512.25,27512.5,27498.5,27503,-1,0,0,0,0,,2522,1660.2
1785372240,27503,27508.25,27489,27506.25,-1,0,0,0,0,27534.927944918036,1951,1684.15
1785372300,27506.5,27530.75,27494.5,27519.75,-1,0,1,0,0,,2610,1739
1785372360,27521.25,27524,27490,27515.25,-1,0,0,0,0,,2714,1755.8
1785372420,27515,27531.25,27507,27527.75,-1,0,0,0,0,,1674,1751.35
1785372480,27527.75,27545.5,27524.25,27532.25,-1,0,0,0,0,,2086,1792.6
1785372540,27532.25,27543.5,27523.25,27528.75,-1,0,0,0,0,,1425,1803.65
1785372600,27529,27535.25,27505.25,27509.25,-1,0,0,0,0,,1952,1806.45
1785372660,27509.5,27519.25,27507,27516,-1,0,0,0,0,,1395,1788.25
1785372720,27517.5,27531,27503.75,27530.75,-1,0,1,0,0,,1505,1754.65
1785372780,27530.75,27543.75,27527.5,27536.5,-1,0,0,0,0,,1638,1767.8
1785372840,27536.25,27549.5,27535.5,27537,-1,0,0,0,0,,1121,1749.05
1785372900,27537.5,27543.75,27525.5,27526.25,-1,0,0,0,0,,1129,1681.3
1785372960,27526.25,27538,27510.25,27515,-1,0,0,0,0,,1517,1685.75
1785373020,27515.5,27541.25,27511.75,27532.75,-1,0,0,0,0,,1294,1690.7
1785373080,27533,27543.5,27529,27534.5,-1,0,0,0,0,,797,1661.15
1785373140,27535.75,27550.5,27534.25,27546.5,1,0,0,0,0,27538.785296612023,1019,1641.9
1785373200,27547.5,27569.75,27547,27561.25,1,0,0,0,0,,2811,1704.75
1785373260,27561.75,27566,27550.5,27553,1,0,0,0,0,,1447,1713.75
1785373320,27553,27562.5,27539,27540.5,1,0,0,0,0,,1455,1703.1
1785373380,27541,27561.25,27533.75,27557.25,1,0,0,0,0,,1658,1659.9
1785373440,27558,27591,27551.5,27591,1,0,0,0,0,,2498,1687.25
1785373500,27591,27602.5,27579,27598,1,0,0,0,0,,2371,1675.3
1785373560,27598,27633.5,27597,27629.75,1,0,0,0,0,,3114,1695.3
1785373620,27630,27640.5,27625.5,27626.25,1,0,0,0,0,,2240,1723.6
1785373680,27626.75,27660.5,27619.25,27624.25,1,1,0,0,0,,3605,1799.55
1785373740,27623.75,27631.75,27598.25,27599.75,1,0,0,0,0,,2372,1846.9
1785373800,27601.25,27612.5,27587.5,27610.75,1,0,0,0,0,,2204,1859.5
1785373860,27610.5,27615.25,27590,27595,1,0,0,0,0,,1822,1880.85
1785373920,27595.5,27605.25,27586.25,27587.75,1,0,0,0,0,,1386,1874.9
1785373980,27587.25,27587.25,27574,27585.25,1,0,0,0,0,,1420,1864
1785374040,27584.75,27586,27565,27570,1,0,0,0,0,27549.190197741347,1292,1872.55
1785374100,27570.5,27579.5,27563.75,27575.25,1,0,0,0,0,,1172,1874.7
1785374160,27574.75,27594,27568.75,27583,1,0,0,0,0,,1601,1878.9
1785374220,27583.75,27594,27578.25,27583,1,0,0,0,0,,944,1861.4
1785374280,27584,27588.5,27566.25,27583,1,0,0,0,0,,1277,1885.4
1785374340,27584.25,27606.75,27577.25,27590.5,1,0,0,0,0,,1570,1912.95
1785374400,27591.25,27607,27580.25,27587.75,1,0,0,0,0,,1582,1851.5
1785374460,27587.75,27601.25,27582.25,27587,1,0,0,0,0,,929,1825.6
1785374520,27588.25,27600,27586,27596.75,1,0,0,0,0,,800,1792.85
