time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785281280,27871.5,27890,27871.25,27884.75,1,0,0,0,0,1103,1895.4
1785281340,27884.75,27891.75,27883,27889.5,1,0,0,0,0,884,1791.55
1785281400,27889.75,27903,27883.5,27902.75,1,0,0,0,0,1577,1748.35
1785281460,27903,27909.75,27895.75,27906.75,1,0,0,0,0,1527,1717.1
1785281520,27907.25,27921.75,27896,27907.25,1,0,0,0,0,2446,1757.95
1785281580,27908,27910.5,27898.25,27902,1,0,0,0,0,1501,1683.15
1785281640,27901,27907.25,27897,27903.25,1,0,0,0,0,1263,1608.45
1785281700,27903,27911,27899.5,27902,1,0,0,0,0,948,1557.7
1785281760,27902.75,27906,27895,27897,1,0,0,0,0,1185,1511.8
1785281820,27896.75,27904.5,27890.75,27896.75,1,0,0,0,0,1118,1483.75
1785281880,27896.5,27904.75,27891,27899.25,1,0,0,0,0,1213,1473.2
1785281940,27899,27903.25,27892,27896.25,1,0,0,0,0,750,1456.95
1785282000,27896.5,27912,27890,27907,1,0,0,0,0,1471,1439.5
1785282060,27906.25,27916.75,27896.5,27910,1,0,0,0,0,1537,1415.95
1785282120,27910.5,27913.75,27896.25,27898.25,1,0,0,0,0,1135,1309
1785282180,27898.75,27933,27897.75,27931.25,1,0,0,0,0,1894,1309.5
1785282240,27931.5,28025.5,27931.5,28012.5,1,0,0,0,0,6974,1612
1785282300,28012.25,28017,27990.5,27996.25,1,0,0,0,0,3801,1754.65
1785282360,27996,28026,27995.5,28018.75,1,0,0,0,0,2501,1828.65
1785282420,28019,28048.75,28014.75,28040.75,1,0,0,0,0,3525,1917.65
1785282480,28040.5,28046,28030.5,28041.5,1,0,0,0,0,2161,1970.55
1785282540,28042,28070.25,28035.5,28059.75,1,0,0,0,0,3150,2083.85
1785282600,28060.5,28096.25,28059,28086,1,0,0,0,0,3701,2190.05
1785282660,28085.75,28087.75,28068.5,28074,1,0,0,0,0,1864,2206.9
1785282720,28073.75,28075.25,28045.75,28060.25,1,0,0,0,0,2719,2220.55
1785282780,28060.25,28078,28058.75,28059.75,1,0,0,0,0,1413,2216.15
1785282840,28059.75,28082,28052,28080.5,1,0,0,0,0,1560,2231
