time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785356100,27300,27319.25,27274.75,27318.25,-1,0,0,0,0,,2296,4961.1
1785356160,27318.25,27339,27312.5,27318.5,-1,0,0,0,0,,2828,4842.1
1785356220,27319,27326.25,27298,27298,-1,0,0,0,0,,1841,4696.9
1785356280,27299.25,27301,27272.5,27283.75,-1,0,0,0,0,,2183,4565.2
1785356340,27282.25,27288.5,27265.5,27280.5,-1,0,0,0,0,,1477,4055.8
1785356400,27280,27300.25,27272.5,27279.75,-1,0,1,0,0,,1279,3699.45
1785356460,27279,27299.5,27273.25,27298.75,-1,0,0,0,0,,1065,3265.3
1785356520,27297.75,27307,27263.5,27266.5,-1,0,0,0,0,,1781,3061.6
1785356580,27266.5,27291.25,27261.75,27275.75,-1,0,0,0,0,,1349,2942.9
1785356640,27275.75,27279.75,27256,27265.75,-1,0,0,0,0,,1192,2690.5
1785356700,27266.25,27284.25,27261.25,27273.75,-1,0,0,0,0,,1003,2420.8
1785356760,27273.5,27274.75,27226,27228.5,-1,0,0,0,0,,2343,2306.55
1785356820,27228.25,27230.5,27208,27214.25,-1,0,0,0,0,,2228,2264.6
1785356880,27214.5,27234.25,27210.25,27234,-1,0,0,0,1,,1924,2195.95
1785356940,27234.25,27258,27233,27242.5,-1,0,0,0,0,27409.132528754293,1745,2161.4
1785357000,27241.75,27245.75,27205.75,27221.75,-1,0,0,0,0,,1805,2086.35
1785357060,27220.75,27254.75,27214.25,27240.75,-1,0,0,0,0,,1577,1989.2
1785357120,27242,27271,27239.25,27262.75,-1,0,0,0,0,,1867,1938.5
1785357180,27262.75,27275,27257.5,27270,-1,0,0,0,0,,1351,1767.9
1785357240,27269.75,27279.25,27260,27274.5,-1,0,0,0,0,,1385,1725.95
1785357300,27274,27295.5,27268.5,27278.25,-1,0,0,0,0,,1495,1685.9
1785357360,27277.75,27294.75,27265,27287,-1,0,0,0,0,,1199,1604.45
1785357420,27286.75,27296.75,27276.75,27294.5,-1,0,0,0,0,,1099,1567.35
1785357480,27294.25,27310.5,27291.5,27309,-1,0,0,0,0,,1470,1531.7
1785357540,27309,27333.25,27308.5,27328.5,-1,0,0,0,0,,1718,1543.75
1785357600,27327.5,27330.25,27312,27314.5,-1,0,0,0,0,,990,1529.3
1785357660,27314.5,27314.5,27298,27311.25,-1,0,0,0,0,,1291,1540.6
1785357720,27312.75,27316,27285.5,27294.5,-1,0,0,0,0,,1276,1515.35
1785357780,27295.25,27314.5,27287,27312.25,-1,0,0,0,0,,1259,1510.85
1785357840,27311.25,27315,27295.75,27312.5,-1,0,0,0,0,27376.921685836194,1111,1506.8
1785357900,27313.5,27321.75,27303.25,27313.25,-1,0,0,0,0,,896,1501.45
1785357960,27313,27313.25,27300,27304.25,-1,0,0,0,0,,747,1421.65
1785358020,27304.75,27306.5,27286.75,27300,-1,0,0,0,0,,988,1359.65
1785358080,27300.5,27312,27287.5,27289.75,-1,0,0,0,0,,733,1300.1
1785358140,27289.25,27290.5,27270,27274.5,-1,0,0,0,0,,904,1258.05
1785358200,27273,27277.5,27264,27274.25,-1,0,0,0,0,,825,1209.05
1785358260,27272.25,27300,27263.5,27286.25,-1,0,1,0,0,,905,1175.45
1785358320,27285,27296,27277.75,27293.75,-1,0,0,0,0,,536,1108.9
1785358380,27293.75,27306.25,27290,27297.5,-1,0,0,0,0,,743,1078.5
1785358440,27295.75,27308.25,27295.25,27307.25,-1,0,0,0,0,,602,1039.35
1785358500,27308,27312,27290.75,27291.25,-1,0,0,0,0,,695,999.35
1785358560,27292,27298.5,27283.25,27294,-1,0,0,0,0,,410,959.9
1785358620,27294.5,27302.25,27287.75,27297.5,-1,0,0,0,0,,363,923.1
1785358680,27296.25,27296.5,27275.25,27279.75,-1,0,0,0,0,,445,871.85
1785358740,27279,27280,27259.75,27259.75,-1,0,0,0,0,27337.86445722413,703,821.1
1785362400,27208,27301.75,27204.75,27297,-1,0,0,0,0,,2741,908.65
1785362460,27296,27320,27290.5,27313.25,-1,0,0,0,0,,2333,960.75
1785362520,27312.5,27347.25,27311.25,27340.25,-1,0,0,0,0,,2739,1033.9
1785362580,27340,27342.5,27319.5,27338.25,-1,0,0,0,0,,1643,1053.1
1785362640,27338.25,27355.5,27329,27354.25,-1,0,0,0,0,,1688,1081.95
1785362700,27354,27388.5,27349.25,27383,1,0,0,0,0,,2851,1179.7
1785362760,27383,27399.5,27381.75,27397,1,0,0,0,0,,2101,1247.4
1785362820,27396.75,27397,27382.5,27395.5,1,0,0,0,0,,1550,1275.5
1785362880,27395.5,27423,27394,27418,1,0,0,0,0,,2340,1355.85
1785362940,27418.25,27450,27414,27439,1,0,0,0,0,,2661,1443.7
1785363000,27439.75,27473,27429,27469.75,1,0,0,0,0,,3273,1566.1
1785363060,27470,27489.75,27462,27480,1,0,0,0,0,,3411,1691.4
1785363120,27479,27480,27458.5,27476.5,1,0,0,0,0,,2092,1769.2
1785363180,27476.75,27479.25,27438.75,27447.75,1,0,0,0,0,,2473,1855.7
1785363240,27449,27456.25,27434.5,27435.5,1,0,0,0,0,27370.40963814942,2161,1933.65
1785363300,27436.25,27442.75,27428.75,27438.5,1,0,0,0,0,,1282,1963
1785363360,27438.75,27471.5,27431.5,27468.25,1,0,0,0,0,,1922,2038.6
1785363420,27469.25,27470,27459,27467.25,1,0,0,0,0,,1127,2076.8
1785363480,27466.75,27468.75,27439.5,27462,1,0,0,0,0,,1679,2138.5
1785363540,27462,27484.5,27461,27476.5,1,0,0,0,0,,2146,2210.65
