time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785208020,27958.25,27967.5,27948,27950.75,-1,0,0,0,0,1150,1114.2
1785208080,27950.25,27954,27945.75,27948,-1,0,0,0,0,600,1107.65
1785208140,27946.75,27947.25,27941.5,27944,-1,0,0,0,0,1014,1107.25
1785208200,27944.25,27948,27932.5,27938.75,-1,0,0,0,0,2283,1136.4
1785208260,27939,27944,27933,27944,-1,0,0,0,0,1320,1117.75
1785208320,27944.25,27951.75,27939.75,27950.5,-1,0,0,0,0,1401,1110.95
1785208380,27951,27974.5,27947.5,27964.25,-1,0,0,0,0,2126,1122.4
1785208440,27964.75,27971,27962.75,27967.75,-1,0,0,0,0,609,1108.35
1785208500,27968,27985.5,27963.75,27980.75,-1,0,0,0,0,1354,1145.7
1785208560,27980.5,27987.25,27976.25,27985,-1,0,0,0,0,991,1151.15
1785208620,27984.5,28006.75,27983,28003.5,1,0,0,0,0,1696,1196.65
1785208680,28003.5,28022,27997.25,28013.75,1,0,0,0,0,2215,1261.3
1785208740,28013.75,28024.25,28012.25,28022.25,1,0,0,0,0,1020,1288.35
1785208800,28023,28035.25,28020,28020,1,0,0,0,0,1656,1306.2
1785208860,28020,28040,28017.75,28036.75,1,0,0,0,0,1268,1315.15
1785208920,28038,28043.25,28034.25,28037.75,1,0,0,0,0,1199,1328.9
1785208980,28037,28044.5,28032,28038.75,1,0,0,0,0,1200,1369.35
1785209040,28038.25,28046.25,28032.25,28033,1,0,0,0,0,1079,1346.55
1785209100,28033.25,28046.75,28032.5,28032.5,1,0,0,0,0,1345,1368.5
1785209160,28032.5,28034.5,28012.75,28013.75,1,0,0,0,0,1837,1368.15
1785209220,28013.75,28013.75,28001.5,28002,1,0,0,0,0,1363,1378.8
1785209280,28001.75,28001.75,27985.25,27987.75,-1,0,0,1,0,1545,1426.05
1785209340,27987.25,27990.25,27982.25,27987,-1,0,0,0,0,861,1418.4
1785209400,27986.5,27986.75,27957.5,27964.25,-1,0,0,0,0,2593,1433.9
1785209460,27964,27966.25,27951.5,27963.75,-1,0,0,0,0,1378,1436.8
1785209520,27963.25,27993.75,27963.25,27985.75,-1,0,1,0,0,2318,1482.65
1785209580,27985.25,28014.75,27985.25,28007.25,1,0,0,0,1,2304,1491.55
1785209640,28008.25,28016.25,28004.75,28013,1,0,0,0,0,1007,1511.45
1785209700,28012.75,28020,28006.25,28015,1,0,0,0,0,1015,1494.5
1785209760,28013.75,28021.75,28004,28016.5,1,1,0,0,0,900,1489.95
1785209820,28018.75,28031.75,28017.5,28029.5,1,0,0,1,0,1085,1459.4
1785209880,28029.25,28041.5,28028.75,28039.75,1,0,0,0,0,1272,1412.25
1785209940,28039.75,28046,28037.75,28041.25,1,0,0,0,0,1076,1415.05
1785210000,28042,28063.5,28040.5,28056.25,1,0,0,0,0,1911,1427.8
1785210060,28055.75,28062.5,28044,28044.5,1,0,0,0,0,1378,1433.3
1785210120,28045,28045.75,28035.25,28038,1,1,0,0,0,1199,1433.3
1785210180,28038,28056.75,28034.5,28056.25,1,0,0,1,0,1117,1429.15
1785210240,28056.75,28057.5,28046.75,28056.5,1,0,0,0,0,539,1402.15
1785210300,28057.25,28071,28052.5,28054.25,1,0,0,0,0,1519,1410.85
1785210360,28053.75,28059.25,28039.5,28048,1,1,0,0,0,976,1367.8
1785210420,28047.5,28053,28043.25,28045,1,0,0,0,0,463,1322.8
1785210480,28046,28060,28042,28059.5,1,0,0,1,0,883,1289.7
1785210540,28059,28063.25,28046.5,28058.5,1,0,0,0,0,783,1285.8
1785210600,28058.75,28063.75,28046.5,28047.25,1,0,0,0,0,645,1188.4
1785210660,28047.75,28052,28041.5,28047.25,1,0,0,0,0,629,1150.95
1785210720,28049.5,28051.75,28032.25,28033,1,0,0,0,0,758,1072.95
1785210780,28033,28055,28030.5,28041,1,0,0,0,0,1222,1018.85
1785210840,28042.75,28050,28037.25,28046.5,1,0,0,0,0,555,996.25
