time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: EXPERIMENTAL (dollar_tp/sl),Order Sent Long,Order Sent Short,Volume,Volume MA
1785769980,28767,28781.5,28763.25,28770,1,28683.802307451486,1,0,0,5877,4339.9
1785770040,28769.5,28776,28753.25,28757.5,1,28683.802307451486,1,0,0,4162,4249.95
1785770100,28757,28775.75,28755.75,28774,1,28708.368204967657,1,0,0,3964,4140.75
1785770160,28774.25,28788,28773.25,28782.25,1,28708.368204967657,1,0,0,4821,4183.25
1785770220,28782.5,28782.75,28764.5,28776.5,1,28708.368204967657,1,0,0,4110,4227.7
1785770280,28775.5,28783.75,28772.25,28777.75,1,28708.368204967657,1,0,0,3121,4234.75
1785770340,28777.5,28786,28774.75,28780.75,1,28708.368204967657,1,0,0,2509,4169.2
1785770400,28780.75,28798.75,28779.75,28797.75,1,28708.368204967657,1,0,0,5263,4233.65
1785770460,28797.25,28798,28781.5,28787.25,1,28708.368204967657,1,0,0,4456,4285.9
1785770520,28787.25,28793,28768.5,28792,1,28708.368204967657,1,0,0,4451,4394.45
1785770580,28793,28796.25,28784.25,28792.5,1,28708.368204967657,1,0,0,2756,4391.85
1785770640,28791.75,28795.25,28778.25,28780,1,28708.368204967657,1,0,0,2878,4370.8
1785770700,28780,28792,28757.5,28769.5,1,28708.368204967657,1,0,0,5259,4431.35
1785770760,28769.25,28778.5,28757.75,28760,1,28708.368204967657,1,0,0,4300,4273.35
1785770820,28759.5,28767,28753,28760.5,1,28708.368204967657,1,0,0,3846,4205.5
1785770880,28760.5,28763.5,28723.25,28737.75,1,28708.368204967657,1,0,0,8984,4434.35
1785770940,28737.75,28743.5,28729.75,28734.75,1,28708.368204967657,1,0,0,4710,4484.9
1785771000,28734.25,28762,28731.5,28750.5,1,28717.162136645104,1,0,0,6947,4593.6
1785771060,28750.5,28774.5,28747.5,28761,1,28717.162136645104,1,0,0,5433,4633.9
1785771120,28760.5,28771.5,28753,28757.5,1,28717.162136645104,1,0,0,3382,4561.45
1785771180,28757,28774.5,28752.75,28774,1,28717.162136645104,1,0,0,3834,4459.3
1785771240,28774,28780.5,28759,28764.25,1,28717.162136645104,1,0,0,4340,4468.2
1785771300,28765,28776,28755.25,28776,1,28717.162136645104,1,0,0,4173,4478.65
1785771360,28776,28779.25,28760.5,28763.5,1,28717.162136645104,1,0,0,3490,4412.1
1785771420,28764,28767.75,28749.75,28755.25,1,28717.162136645104,1,0,0,2817,4347.45
1785771480,28755,28763.25,28744.5,28756.25,1,28717.162136645104,1,0,0,3389,4360.85
1785771540,28756.25,28774.5,28756,28766.25,1,28717.162136645104,1,0,0,3055,4388.15
1785771600,28766.75,28788,28764.5,28779.75,1,28717.162136645104,1,0,0,4385,4344.25
1785771660,28780,28789.75,28770,28775.25,1,28717.162136645104,1,0,0,3609,4301.9
1785771720,28775,28786.25,28771.5,28783,1,28717.162136645104,1,0,0,2351,4196.9
1785771780,28782.5,28788,28778.75,28781.75,1,28717.162136645104,1,0,0,2219,4170.05
1785771840,28781.75,28786.5,28779,28782,1,28717.162136645104,1,0,0,1657,4109
1785771900,28782,28793.5,28782,28786.75,1,28738.774757763404,1,0,0,3204,4006.25
1785771960,28787,28793.5,28783.25,28786.75,1,28738.774757763404,1,0,0,2954,3938.95
1785772020,28787,28789,28780,28785,1,28738.774757763404,1,0,0,1996,3846.45
1785772080,28785,28788.25,28776.25,28779.5,1,28738.774757763404,1,0,0,2431,3518.8
1785772140,28779.75,28796,28778,28785.5,1,28738.774757763404,1,0,0,3164,3441.5
1785772200,28785.75,28790,28783,28787.5,1,28738.774757763404,1,0,0,1725,3180.4
1785772260,28788,28791.5,28776,28786.5,1,28738.774757763404,1,0,0,2698,3043.65
1785772320,28786.75,28792.25,28783,28791,1,28738.774757763404,1,0,0,1928,2970.95
1785772380,28790.25,28813,28788,28807,1,28738.774757763404,1,0,0,6309,3094.7
1785772440,28806.75,28813,28804,28804.25,1,28738.774757763404,1,0,0,3954,3075.4
1785772500,28804.75,28806.25,28794.5,28800.25,1,28738.774757763404,1,0,0,4046,3069.05
1785772560,28800.25,28802,28790,28790.5,1,28738.774757763404,1,0,0,2771,3033.1
1785772620,28790,28793.75,28779.25,28786,1,28738.774757763404,1,0,0,4702,3127.35
1785772680,28785.75,28794.25,28781,28788.75,1,28738.774757763404,1,0,0,2681,3091.95
1785772740,28788.75,28796.5,28782,28792,1,28738.774757763404,1,0,0,2689,3073.65
1785772800,28792.25,28809,28792.25,28799.25,1,28756.5165051756,1,0,0,4308,3069.8
1785772860,28799.5,28806,28790.25,28802,1,28756.5165051756,1,0,0,3343,3056.5
1785772920,28802.5,28806.5,28797.25,28803.5,1,28756.5165051756,1,0,0,2122,3045.05
1785772980,28803.5,28809.75,28802.75,28807.75,1,28756.5165051756,1,0,0,1548,3011.5
1785773040,28807.5,28827.5,28805.5,28806.25,1,28756.5165051756,1,0,0,5260,3191.65
1785773100,28806.5,28821.5,28805.75,28817.5,1,28756.5165051756,1,0,0,3292,3196.05
1785773160,28818,28820.5,28812,28814.5,1,28756.5165051756,1,0,0,2431,3169.9
1785773220,28814.5,28817,28808.75,28809.5,1,28756.5165051756,1,0,0,2388,3189.5
1785773280,28809.75,28820.75,28800.25,28802.75,1,28756.5165051756,1,0,0,3368,3236.35
1785773340,28802.75,28814.5,28799.5,28812.75,1,28756.5165051756,1,0,0,2920,3224.15
1785773400,28813,28814,28803.25,28809.75,1,28756.5165051756,1,0,0,2204,3248.1
1785773460,28810,28813.75,28803,28805.75,1,28756.5165051756,1,0,0,1780,3202.2
1785773520,28805.75,28810.5,28800.75,28810,1,28756.5165051756,1,0,0,1814,3196.5
1785773580,28810,28812.5,28802.5,28809,1,28756.5165051756,1,0,0,1730,2967.55
1785773640,28809,28818.75,28804.5,28814.25,1,28756.5165051756,1,0,0,2655,2902.6
1785773700,28813.75,28820,28812.25,28817,1,28775.7610034504,1,0,0,1949,2797.75
1785773760,28817,28833.5,28816.5,28825.25,1,28775.7610034504,1,0,0,3921,2855.25
1785773820,28825.25,28838,28824.5,28835.5,1,28775.7610034504,1,0,0,2822,2761.25
1785773880,28835.75,28845.75,28830.75,28842.75,1,28775.7610034504,1,0,0,3384,2796.4
1785773940,28843.25,28847.5,28840.5,28845.25,1,28775.7610034504,1,0,0,3097,2816.8
1785774000,28845.5,28846.75,28831.25,28832,1,28775.7610034504,1,0,0,3075,2755.15
1785774060,28832,28839.25,28830.75,28835.25,1,28775.7610034504,1,0,0,2446,2710.3
1785774120,28835.25,28841,28834.75,28840.5,1,28775.7610034504,1,0,0,1614,2684.9
1785774180,28841,28844.5,28834.25,28836.25,1,28775.7610034504,1,0,0,2097,2712.35
1785774240,28836.25,28836.25,28827,28833.5,1,28775.7610034504,1,0,0,2610,2579.85
1785774300,28833,28839.5,28833,28836.5,1,28775.7610034504,1,0,0,1844,2507.45
1785774360,28836.75,28838.25,28825.5,28829,1,28775.7610034504,1,0,0,3333,2552.55
1785774420,28829.5,28840,28828.25,28836,1,28775.7610034504,1,0,0,2452,2555.75
1785774480,28836,28838.75,28831.75,28835,1,28775.7610034504,1,0,0,1444,2459.55
1785774540,28835,28839.75,28834,28837,1,28775.7610034504,1,0,0,1154,2371.25
1785774600,28837,28842.5,28835.75,28841,1,28796.174002300268,1,0,0,1583,2340.2
1785774660,28841.25,28845,28837.75,28840,1,28796.174002300268,1,0,0,1925,2347.45
1785774720,28840,28843.75,28823.25,28834.25,1,28796.174002300268,1,0,0,3925,2453
1785774780,28834.5,28838.25,28832.5,28835.75,1,28796.174002300268,1,0,0,1579,2445.45
1785774840,28836,28842.5,28835,28835.25,1,28796.174002300268,1,0,0,1251,2375.25
1785774900,28835,28837.5,28825.5,28835,1,28796.174002300268,1,0,0,2343,2394.95
1785774960,28835.5,28838.75,28827.25,28827.75,1,28796.174002300268,1,0,0,1856,2291.7
1785775020,28828.25,28830.25,28821.5,28823,1,28796.174002300268,1,0,0,2009,2251.05
1785775080,28823.25,28826.75,28814.5,28826.5,1,28796.174002300268,1,0,0,2968,2230.25
1785775140,28826,28830.25,28816,28822.25,1,28796.174002300268,1,0,0,2366,2193.7
1785775200,28822,28829.25,28820.75,28826,1,28796.174002300268,1,0,0,2173,2148.6
1785775260,28825.5,28828,28819.75,28823.25,1,28796.174002300268,1,0,0,1414,2097
1785775320,28823,28823,28810,28815.5,1,28796.174002300268,1,0,0,2578,2145.2
1785775380,28815.5,28829.25,28811.75,28827.5,1,28796.174002300268,1,0,0,2720,2176.35
1785775440,28827.5,28835.25,28826.75,28834,1,28796.174002300268,1,0,0,2708,2181.25
1785775500,28834,28837,28830.5,28833,1,28808.78266820018,1,0,0,1971,2187.6
1785775560,28832.75,28842.75,28830.75,28837.75,1,28808.78266820018,1,0,0,2486,2145.25
1785775620,28837.75,28837.75,28830.5,28833,1,28808.78266820018,1,0,0,1959,2120.6
1785775680,28833,28836,28831.25,28834.25,1,28808.78266820018,1,0,0,1181,2107.45
1785775740,28834.25,28838,28832.25,28832.75,1,28808.78266820018,1,0,0,1234,2111.45
1785775800,28832.75,28842,28832,28840.75,1,28808.78266820018,1,0,0,1309,2097.75
1785775860,28841.25,28843,28828.25,28830.25,1,28808.78266820018,1,0,0,2687,2135.85
1785775920,28830.5,28831,28820,28822.75,1,28808.78266820018,1,0,0,2844,2081.8
1785775980,28823,28832.25,28819.5,28829.75,1,28808.78266820018,1,0,0,2109,2108.3
1785776040,28830,28834.75,28821,28822.75,1,28808.78266820018,1,0,0,1799,2135.7
1785776100,28823,28830,28819.75,28822.75,1,28808.78266820018,1,0,0,1856,2111.35
1785776160,28822.5,28829.25,28820.75,28827.5,1,28808.78266820018,1,0,0,1236,2080.35
1785776220,28826.75,28833.25,28824.25,28832,1,28808.78266820018,1,0,0,1529,2056.35
1785776280,28832.5,28834.5,28825.75,28826.75,1,28808.78266820018,1,0,0,1591,1987.5
1785776340,28826.5,28827.5,28820,28821.75,1,28808.78266820018,1,0,0,1648,1951.6
1785776400,28823,28827.5,28812.75,28816,1,28813.105112133453,1,0,0,3239,2004.9
1785776460,28816,28827.25,28815,28822,1,28813.105112133453,1,0,0,2188,2043.6
1785776520,28822,28832.75,28818.25,28827.25,1,28813.105112133453,1,0,0,2191,2024.25
1785776580,28827,28827.25,28815,28822.75,1,28813.105112133453,1,0,0,2146,1995.55
1785776640,28822.75,28828,28818.25,28827.5,1,28813.105112133453,1,0,0,1484,1934.35
1785776700,28827.5,28833.75,28824.25,28829,1,28813.105112133453,1,0,0,2019,1936.75
1785776760,28829,28831,28826,28831,1,28813.105112133453,1,0,0,1193,1872.1
1785776820,28831,28833,28826.25,28828.25,1,28813.105112133453,1,0,0,1241,1836.2
1785776880,28827.75,28829.5,28823.25,28829.25,1,28813.105112133453,1,0,0,1181,1836.2
1785776940,28829,28842.5,28828.75,28836.75,1,28813.105112133453,1,0,0,3068,1927.9
1785777000,28836.5,28854,28835.75,28852.75,1,28813.105112133453,1,0,0,4436,2084.25
1785777060,28852.75,28863.25,28852.25,28857.25,1,28813.105112133453,1,0,0,4900,2194.9
1785777120,28857.75,28862.25,28857.25,28858,1,28813.105112133453,1,0,0,2041,2154.75
1785777180,28857.25,28862.5,28855.5,28860.5,1,28813.105112133453,1,0,0,1851,2141.85
1785777240,28860.5,28862.75,28857.25,28857.5,1,28813.105112133453,1,0,0,1383,2121.05
1785777300,28857.25,28867,28855.75,28857.75,1,28827.90340808897,1,0,0,3168,2186.65
1785777360,28858,28862.5,28856,28858.5,1,28827.90340808897,1,0,0,1665,2208.1
1785777420,28858.25,28862.5,28855.5,28861.25,1,28827.90340808897,1,0,0,1361,2199.7
1785777480,28861,28871.5,28857.75,28868.75,1,28827.90340808897,1,0,0,3206,2280.45
1785777540,28868.5,28871,28860.75,28870.5,1,28827.90340808897,1,0,0,2294,2312.75
1785777600,28870,28870.5,28860.5,28861.25,1,28827.90340808897,1,0,0,1846,2243.1
1785777660,28861.75,28869,28860.25,28866.5,1,28827.90340808897,1,0,0,1641,2215.75
1785777720,28866.75,28875.75,28866.25,28874.5,1,28827.90340808897,1,0,0,2847,2248.55
1785777780,28874.5,28882.5,28874,28878.25,1,28827.90340808897,1,0,0,2972,2289.85
1785777840,28878,28881.75,28876.75,28878.75,1,28827.90340808897,1,0,0,1797,2305.5
1785777900,28878.5,28880.25,28874,28874,1,28827.90340808897,1,0,0,1896,2299.35
1785777960,28874.25,28882,28872.5,28881.75,1,28827.90340808897,1,0,0,1783,2328.85
1785778020,28881.75,28890.5,28880,28881.25,1,28827.90340808897,1,0,0,3864,2460
1785778080,28881.5,28887,28879,28880.5,1,28827.90340808897,1,0,0,2084,2505.15
1785778140,28880.5,28886.25,28880.5,28885.5,1,28827.90340808897,1,0,0,1062,2404.85
1785778200,28885.5,28889.75,28885,28886.25,1,28847.102272059314,1,0,0,1781,2272.1
1785778260,28886.25,28887.75,28877.25,28881.5,1,28847.102272059314,1,0,0,1916,2122.9
1785778320,28881.25,28883.5,28875,28880.5,1,28847.102272059314,1,0,0,1638,2102.75
1785778380,28880.75,28889.5,28877,28885.5,1,28847.102272059314,1,0,0,2013,2110.85
1785778440,28885.5,28895,28883.5,28891.25,1,28847.102272059314,1,0,0,2489,2166.15
1785778500,28891.25,28893.5,28886.5,28891,1,28847.102272059314,1,0,0,2051,2110.3
1785778560,28891.75,28894.25,28886.25,28887,1,28847.102272059314,1,0,0,1524,2103.25
1785778620,28887,28890,28883.75,28885.25,1,28847.102272059314,1,0,0,1714,2120.9
1785778680,28885,28887.25,28879.25,28884.75,1,28847.102272059314,1,0,0,1955,2058.35
1785778740,28885.25,28885.5,28877.25,28879,1,28847.102272059314,1,0,0,1735,2030.4
1785778800,28878.75,28882.5,28874,28881.5,1,28847.102272059314,1,0,0,2086,2042.4
1785778860,28881.75,28884.75,28878.75,28883.5,1,28847.102272059314,1,0,0,1258,2023.25
1785778920,28883.5,28888.25,28882.5,28885.25,1,28847.102272059314,1,0,0,1661,1963.95
1785778980,28885.25,28887.5,28880.5,28881.5,1,28847.102272059314,1,0,0,1464,1888.55
1785779040,28881.75,28886.25,28879.5,28885.5,1,28847.102272059314,1,0,0,1105,1853.95
1785779100,28885.5,28894.25,28884.75,28889,1,28859.90151470621,1,0,0,2565,1887.4
1785779160,28888.75,28893.75,28888,28890.75,1,28859.90151470621,1,0,0,1260,1861.25
1785779220,28890.5,28899.5,28889.25,28890.25,1,28859.90151470621,1,0,0,2269,1781.5
1785779280,28890.25,28894.75,28887.75,28893.75,1,28859.90151470621,1,0,0,1753,1764.95
1785779340,28894.25,28894.75,28887.75,28892.25,1,28859.90151470621,1,0,0,1276,1775.65
1785779400,28892.75,28897.25,28890,28891,1,28859.90151470621,1,0,0,1812,1777.2
1785779460,28891,28893.75,28890.25,28893,1,28859.90151470621,1,0,0,1007,1731.75
1785779520,28893.25,28896,28891.75,28894.5,1,28859.90151470621,1,0,0,994,1699.55
1785779580,28894.75,28900,28892.5,28896.5,1,28859.90151470621,1,0,0,1662,1682
1785779640,28896.25,28899.5,28895.5,28898.75,1,28859.90151470621,1,0,0,1379,1626.5
1785779700,28898.75,28914.75,28898.25,28910,1,28859.90151470621,1,0,0,5705,1809.2
1785779760,28909.75,28916.5,28909.75,28911,1,28859.90151470621,1,0,0,3223,1894.15
1785779820,28911.5,28919.5,28910.75,28917.75,1,28859.90151470621,1,0,0,2613,1939.1
1785779880,28918,28921.75,28916,28916.75,1,28859.90151470621,1,0,0,2702,1976.45
1785779940,28916.75,28921.5,28915.5,28917.75,1,28859.90151470621,1,0,0,1607,1970.05
