time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.2,Order Sent Long,Order Sent Short
1785817500,29007.75,29010.5,29004.75,29005.25,,412,533.65,1,28976.427919911443,4,0,0
1785817560,29005,29016.75,29004.5,29013.75,,639,552.25,1,28976.427919911443,4,0,0
1785817620,29013,29014.75,29011,29012.75,,331,532.65,1,28976.427919911443,4,0,0
1785817680,29013,29013.25,29005.75,29007.5,,433,531.45,1,28976.427919911443,4,0,0
1785817740,29007.75,29009.5,29006.5,29007,28983.984304537942,180,527.15,1,28976.427919911443,4,0,0
1785817800,29007.75,29012.75,29007.25,29010.75,,312,519.3,1,28986.618613274295,4,0,0
1785817860,29011.25,29012.75,29009.25,29010.75,,240,495.15,1,28986.618613274295,4,0,0
1785817920,29011,29015,29008.25,29008.5,,309,477.2,1,28986.618613274295,4,0,0
1785817980,29009.25,29010.25,29005.5,29008.25,,415,469,1,28986.618613274295,4,0,0
1785818040,29008.5,29010.5,29005,29006.5,28986.128656486708,374,464.2,1,28986.618613274295,4,0,0
1785818100,29006,29009.25,29002.5,29005,,515,454.25,1,28986.618613274295,4,0,0
1785818160,29006,29007.5,28997,28997.5,,718,462.3,1,28986.618613274295,4,0,0
1785818220,28997.75,29002.25,28997.25,28998.5,,320,433.4,1,28986.618613274295,4,0,0
1785818280,28998.5,29003.25,28998.25,29002,,198,411.6,1,28986.618613274295,4,0,0
1785818340,29003.25,29004,28997.5,28997.5,28987.211641583213,296,377.65,1,28986.618613274295,4,0,0
1785818400,28998.5,29004.25,28996.25,29002,,312,366.5,1,28986.618613274295,4,0,0
1785818460,29001.75,29004.25,28999.25,28999.5,,233,349.5,1,28986.618613274295,4,0,0
1785818520,29000,29002.75,28996.5,28996.75,,431,351.4,1,28986.618613274295,4,0,0
1785818580,28997.25,29000.5,28995,28996.5,,310,356.05,1,28986.618613274295,4,0,0
1785818640,28996.5,29003.75,28995.75,28999,28988.334342384813,411,369.45,1,28986.618613274295,4,0,0
1785818700,28999,29010,28994.25,29009.5,,735,385.6,1,28990.745742182862,4,0,0
1785818760,29009,29010.5,29001,29001.5,,502,378.75,1,28990.745742182862,4,0,0
1785818820,29002,29009,29002,29008,,349,379.65,1,28990.745742182862,4,0,0
1785818880,29007.5,29008.75,29004.25,29007,,301,373.05,1,28990.745742182862,4,0,0
1785818940,29007,29011,29004.75,29010,28990.397738348165,429,385.5,1,28990.745742182862,4,0,0
1785819000,29009.75,29011.75,29006.25,29007.25,,331,386.45,1,28990.745742182862,4,0,0
1785819060,29007,29016.25,29003.75,29014.5,,533,401.1,1,28990.745742182862,4,0,0
1785819120,29014.75,29018.25,29013.75,29015,,533,412.3,1,28990.745742182862,4,0,0
1785819180,29015.25,29020.25,29013,29019.25,,479,415.5,1,28990.745742182862,4,0,0
1785819240,29019,29022.75,29016.5,29018.75,28993.097953743578,738,433.7,1,28990.745742182862,4,0,0
1785819300,29018.5,29020.75,29017.25,29020,,193,417.6,1,28990.745742182862,4,0,0
1785819360,29019.25,29023.5,29019.25,29021.5,,323,397.85,1,28990.745742182862,4,0,0
1785819420,29021,29021,29013.25,29013.25,,335,398.6,1,28990.745742182862,4,0,0
1785819480,29013.75,29014,29007.5,29008.75,,563,416.85,1,28990.745742182862,4,1,0
1785819540,29008.5,29016,29002,29015.75,28995.255291482285,692,436.65,1,28990.745742182862,4,0,0
1785819600,29016,29022.25,29002.25,29004,,975,469.8,1,28999.080494788574,4,0,0
