time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785308100,27929,27941.75,27928.5,27932.75,1,0,0,0,0,927,865.7
1785308160,27933.25,27940.75,27928.25,27936.25,1,0,0,0,0,450,831.6
1785308220,27936.25,27941.75,27930.75,27932,1,0,0,0,0,476,775.85
1785308280,27932.75,27935.75,27926,27928.25,1,0,0,0,0,544,752.15
1785308340,27929,27933.75,27927,27929.75,1,0,0,0,0,481,732.75
1785308400,27929,27946.5,27916,27923.75,1,0,0,0,0,2106,810.75
1785308460,27922.5,27924.5,27897.75,27913.25,1,0,0,0,0,1962,861.45
1785308520,27913.25,27920.75,27910,27913.25,1,0,0,0,0,829,857.3
1785308580,27912.75,27913,27904,27904.25,1,0,0,1,0,681,863.8
1785308640,27905.25,27918,27902.75,27907,1,0,0,0,0,652,853.15
1785308700,27907.5,27910.5,27899,27910.25,1,0,0,0,0,629,842.65
1785308760,27910,27925.25,27909.5,27913.25,1,0,0,0,0,864,844.5
1785308820,27913.5,27921.25,27910.25,27918,1,0,0,0,0,496,798.4
1785308880,27918,27929.75,27918,27923.25,1,0,0,0,0,679,793.3
1785308940,27924.25,27928.5,27918.5,27926.25,1,0,0,0,0,600,786.7
1785309000,27926.5,27937.25,27920.75,27935.25,1,0,0,0,0,1049,773.35
1785309060,27935.75,27940,27929.75,27932.5,1,0,0,0,0,694,773.15
1785309120,27932.5,27943.75,27932.25,27937.75,1,0,0,0,0,984,794.35
1785309180,27938.5,27943.25,27920.5,27923.5,1,1,0,0,0,1003,827.6
1785309240,27923.5,27930.75,27919.25,27923.25,1,0,0,1,0,570,833.8
1785309300,27923.5,27931.5,27919.5,27929.25,1,0,0,0,0,602,817.55
1785309360,27929,27936,27922.5,27931.25,1,0,0,0,0,643,827.2
1785309420,27931.25,27944,27926.75,27943,1,0,0,0,0,658,836.3
1785309480,27944.5,27952.5,27927.75,27930.75,1,0,0,0,0,1300,874.1
1785309540,27930.75,27933.25,27923.25,27930.5,1,0,0,0,0,753,887.7
1785309600,27930.5,27946,27929,27931.75,1,0,0,0,0,839,824.35
1785309660,27931.5,27934.5,27920.25,27922.5,1,0,0,0,0,555,754
1785309720,27923,27923.75,27907.25,27910.5,1,0,0,0,0,1104,767.75
1785309780,27910.75,27919,27905.25,27915,1,0,0,0,0,628,765.1
1785309840,27915,27922.75,27912.75,27914,1,0,0,0,0,454,755.2
1785309900,27913.75,27924.5,27909.5,27921,1,0,0,0,0,719,759.7
1785309960,27921.25,27936.5,27914.5,27936,1,0,0,0,0,763,754.65
1785310020,27937.5,27940.75,27927.25,27928.75,1,0,0,0,0,578,758.75
1785310080,27928,27940,27926.25,27937.5,1,1,0,0,0,403,744.95
1785310140,27937.75,27949.5,27928.75,27946.75,1,0,0,1,0,816,755.75
1785310200,27947.25,27949,27936.25,27946.25,1,0,0,0,0,755,741.05
1785310260,27946,27961.25,27940.75,27956.25,1,0,0,0,0,1151,763.9
1785310320,27957,27959.5,27949.5,27956.75,1,0,0,0,0,780,753.7
1785310380,27957.25,27958.5,27950.5,27951.5,1,0,0,0,0,492,728.15
1785310440,27952.25,27952.75,27936.25,27941,1,0,0,0,0,624,730.85
1785310500,27941,27953.75,27938,27939,1,0,0,0,0,648,733.15
1785310560,27938.5,27948.25,27937.75,27948.25,1,0,0,0,0,403,721.15
1785310620,27948.5,27963.75,27946,27947.25,1,0,0,0,0,825,729.5
1785310680,27947.75,27950.25,27945.25,27945.5,1,0,0,0,0,395,684.25
1785310740,27946.25,27952.25,27935,27939.5,1,0,0,0,0,706,681.9
1785310800,27938.25,27949,27936,27948.25,1,0,0,0,0,590,669.45
1785310860,27948,27948.75,27940,27945,1,0,0,0,0,313,657.35
1785310920,27944.75,27945.75,27931.75,27934,1,0,0,0,0,467,625.5
1785310980,27933.25,27934,27927.25,27933.75,1,0,0,0,0,543,621.25
1785311040,27932.5,27933.25,27920.5,27921.25,1,0,0,0,0,455,621.3
1785311100,27921.25,27923.75,27911,27913.75,1,0,0,0,0,945,632.6
1785311160,27913,27914.25,27907.25,27913.25,1,0,0,0,0,856,637.25
1785311220,27912.5,27922.5,27910.75,27916,1,0,0,0,0,717,644.2
1785311280,27916,27917,27906.5,27907.5,1,0,0,0,0,476,647.85
1785311340,27908.25,27915.75,27906,27906.75,1,0,0,0,0,522,633.15
1785311400,27906,27906,27897.25,27904.75,-1,0,0,0,0,791,634.95
1785311460,27905.5,27908.5,27898.5,27908.25,1,0,0,0,0,465,600.65
1785311520,27909,27910,27900,27904,-1,0,0,0,0,470,585.15
1785311580,27904,27910,27896.25,27901.25,-1,0,0,0,0,519,586.5
1785311640,27902,27902.5,27892.75,27895.25,-1,0,0,0,0,563,583.45
1785311700,27894.25,27901.75,27890.5,27899.5,-1,0,0,0,0,709,586.5
1785311760,27900,27914.25,27899,27914.25,1,0,0,0,0,644,598.55
1785311820,27913.5,27918.25,27905.5,27917.5,1,0,0,0,0,654,590
1785311880,27918.25,27922,27908.75,27913,1,0,0,0,0,602,600.35
1785311940,27913.25,27913.5,27901.5,27907.25,-1,0,0,0,0,522,591.15
1785312000,27906.5,27914.5,27893,27901.25,-1,0,0,0,0,986,610.95
1785312060,27902.5,27917.75,27897.75,27914.5,1,0,0,0,0,1026,646.6
1785312120,27915.25,27924.5,27901.25,27907.25,-1,0,0,0,0,1511,698.8
1785312180,27907.5,27922,27907.5,27915.5,1,0,0,0,0,622,702.75
1785312240,27915.5,27922,27899.75,27906.25,-1,0,0,0,0,809,720.45
1785312300,27906,27906,27891,27895.25,-1,0,0,0,0,802,713.3
1785312360,27895.25,27910.5,27894.25,27902.25,-1,0,0,0,0,692,705.1
1785312420,27904.25,27910,27899.25,27900,-1,0,0,0,0,458,692.15
1785312480,27900.25,27911.75,27897.5,27906.75,-1,0,0,0,0,336,685.15
1785312540,27906.25,27906.25,27881.75,27891.75,-1,0,0,0,0,1112,714.65
1785312600,27892.75,27903.5,27882,27893.5,-1,0,0,0,0,683,709.25
1785312660,27893.5,27894.75,27886.5,27893.5,-1,0,0,0,0,482,710.1
1785312720,27894,27895.75,27865.25,27871.5,-1,0,0,0,0,1278,750.5
1785312780,27871,27878.25,27862.75,27874.75,-1,0,0,0,0,783,763.7
1785312840,27874.75,27876.5,27857.25,27861,-1,0,0,0,0,872,779.15
1785312900,27859.75,27866,27855.25,27858.5,-1,0,0,0,0,939,790.65
1785312960,27858.75,27877.5,27857,27870.5,-1,0,0,0,0,864,801.65
1785313020,27870.25,27877.5,27865.25,27877.5,-1,0,0,0,0,717,804.8
1785313080,27877.75,27884.25,27870.5,27875.5,-1,0,1,0,0,532,801.3
1785313140,27875.25,27885.25,27863.25,27868,-1,0,0,0,1,806,815.5
1785313200,27867.75,27868,27859.5,27861.75,-1,0,0,0,0,606,796.5
1785313260,27862.25,27868,27857.75,27867,-1,0,0,0,0,478,769.1
1785313320,27866.75,27870.5,27861.25,27861.5,-1,0,0,0,0,415,714.3
1785313380,27861.25,27862.5,27843.75,27850,-1,0,0,0,0,869,726.65
1785313440,27849.5,27852.25,27828.25,27831.75,-1,0,0,0,0,1225,747.45
1785313500,27831.75,27836.75,27827.25,27827.75,-1,0,0,0,0,905,752.6
1785313560,27828.5,27830.25,27820,27825.5,-1,0,0,0,0,950,765.5
1785313620,27826.25,27839.25,27819.75,27837,-1,0,0,0,0,821,783.65
1785313680,27836.75,27839.25,27824.75,27831,-1,0,0,0,0,662,799.95
1785313740,27831,27842.5,27827.75,27841,-1,0,0,0,0,672,777.95
1785313800,27841.5,27859.75,27830.25,27859,-1,0,0,0,0,1218,804.7
1785313860,27858.25,27886.25,27857.75,27885.75,-1,0,0,0,0,1231,842.15
1785313920,27886.25,27909.25,27882.75,27903,1,0,0,0,0,2042,880.35
1785313980,27903,27908.5,27893.5,27897.75,1,0,0,0,0,799,881.15
1785314040,27897.25,27905,27894,27898.5,1,0,0,0,0,743,874.7
1785314100,27897.5,27904.5,27890.75,27892.5,-1,0,0,1,0,669,861.2
1785314160,27893,27907.25,27890,27902.5,1,0,0,0,0,845,860.25
1785314220,27901.5,27906.5,27893.75,27900.5,1,0,0,0,0,564,852.6
1785314280,27901,27905.5,27888.5,27888.75,-1,0,0,0,0,531,852.55
1785314340,27888.75,27895,27883.75,27886.75,-1,0,0,0,0,603,842.4
1785314400,27886.75,27897.5,27879,27894.25,1,0,0,0,0,674,845.8
1785314460,27895,27899.5,27889.5,27893.5,1,0,0,0,0,309,837.35
1785314520,27893.25,27905,27891.5,27904.75,1,0,0,0,0,469,840.05
1785314580,27904.75,27924.5,27902,27921.75,1,0,0,0,0,1437,868.45
1785314640,27922.5,27929.25,27919,27923,1,0,0,0,0,776,846
1785314700,27923.25,27931.75,27919.5,27923,1,0,0,0,0,745,838
1785314760,27923.5,27939.75,27923.25,27934.25,1,0,0,0,0,847,832.85
1785314820,27933.75,27939.5,27924,27932,1,0,0,0,0,864,835
1785314880,27932.5,27937,27917.25,27918,1,1,0,0,0,659,834.85
1785314940,27917,27931.5,27913,27931.5,1,0,0,0,0,642,833.35
1785315000,27930.25,27938.75,27927,27932.5,1,0,0,1,0,765,810.7
1785315060,27933.25,27935.5,27924.25,27926.25,1,0,0,0,0,441,771.2
1785315120,27927.25,27927.25,27918.5,27923.25,1,0,0,0,0,409,689.55
1785315180,27923.25,27923.75,27917,27918.75,1,0,0,0,0,312,665.2
1785315240,27918.25,27918.25,27899.5,27907.5,1,0,0,0,0,964,676.25
1785315300,27907,27912.25,27906.25,27907.75,1,0,0,0,0,327,659.15
1785315360,27907.25,27913.5,27904.5,27911,1,0,0,0,0,317,632.75
1785315420,27910.75,27910.75,27903.5,27907.25,1,0,0,0,0,200,614.55
1785315480,27907.25,27908,27898.75,27900,1,0,0,0,0,332,604.6
1785315540,27899.5,27905.5,27895.75,27904,1,0,0,0,0,401,594.5
1785315600,27904,27915,27900.25,27914,1,0,0,0,0,613,591.45
1785315660,27914,27929,27913.25,27926.75,1,0,0,0,0,797,615.85
1785315720,27927.5,27931.5,27917,27917.5,1,0,0,0,0,596,622.2
1785315780,27916.5,27944.25,27912,27943,1,1,0,0,0,1048,602.75
1785315840,27943.25,27946.5,27935.5,27937.5,1,0,0,1,0,550,591.45
1785315900,27937.25,27939.75,27931.25,27939.5,1,0,0,0,0,677,588.05
1785315960,27939.5,27955.5,27936.25,27947.5,1,0,0,0,0,1234,607.4
1785316020,27946,27950.25,27933.5,27946.25,1,0,0,0,0,744,601.4
1785316080,27946.5,27950.5,27935.75,27950,1,0,0,0,0,611,599
1785316140,27949.25,27967,27949,27961,1,0,0,0,0,1210,627.4
1785316200,27960.25,27967.75,27953.5,27953.5,1,0,0,0,0,874,632.85
1785316260,27953.5,27960.75,27950.25,27956.25,1,0,0,0,0,585,640.05
1785316320,27956.25,27969.75,27956.25,27964.5,1,0,0,0,0,742,656.7
1785316380,27964.5,27976,27954.5,27959.25,1,0,0,0,0,890,685.6
1785316440,27958,27979,27958,27977.5,1,0,0,0,0,668,670.8
1785316500,27978.5,27980.5,27971.25,27978.25,1,0,0,0,0,709,689.9
1785316560,27978.75,27978.75,27956.25,27961,1,0,0,0,0,764,712.25
1785316620,27961.5,27967.75,27950.25,27953.5,1,0,0,0,0,875,746
1785316680,27952.75,27978.25,27952.5,27974.75,1,0,0,0,0,657,762.25
1785316740,27975.25,27976,27959.75,27962.5,1,0,0,0,0,577,771.05
1785316800,27962,27968,27954.5,27964.75,1,0,0,0,0,597,770.25
1785316860,27963.25,27972,27960.75,27964.5,1,0,0,0,0,490,754.9
1785316920,27965,27985.5,27963,27983.5,1,0,0,0,0,963,773.25
1785316980,27983.5,27984,27959,27961.5,1,0,0,0,0,793,760.5
1785317040,27962.25,27971.5,27958,27970.5,1,0,0,0,0,577,761.85
1785317100,27970,27987.75,27966.25,27983.5,1,0,0,0,0,656,760.8
1785317160,27982.5,27984.25,27972.5,27974.25,1,0,0,0,0,420,720.1
1785317220,27974.75,27975.25,27964,27968.5,1,0,0,0,0,484,707.1
1785317280,27969.25,27977.5,27966.25,27977,1,0,0,0,0,366,694.85
1785317340,27976.5,27978.75,27972.25,27977.25,1,0,0,0,0,226,645.65
1785317400,27977.5,27980.5,27971.25,27971.75,1,0,0,0,0,504,627.15
1785317460,27971.25,27976.25,27969.5,27974.5,1,0,0,0,0,234,609.6
1785317520,27975,27975,27965.5,27968,1,0,0,0,0,333,589.15
1785317580,27968.5,27970.25,27957.75,27964,1,0,0,0,0,575,573.4
1785317640,27964,27975,27962.75,27972.25,1,0,0,0,0,384,559.2
1785317700,27971,27975,27962,27965.25,1,0,0,0,0,419,544.7
1785317760,27966,27980,27964,27968.75,1,0,0,0,0,421,527.55
1785317820,27969,27979.5,27967.75,27978.25,1,0,0,0,0,471,507.35
1785317880,27978.5,27996.25,27976.5,27994.5,1,0,0,0,0,1145,531.75
1785317940,27994.75,28000,27975,27978.5,1,0,0,0,0,1026,554.2
1785318000,27978,27996.75,27978,27994.25,1,0,0,0,0,589,553.8
1785318060,27994.5,28004.25,27990.75,27998.5,1,0,0,0,0,778,568.2
1785318120,27999.25,28007,27994.5,28006.5,1,0,0,0,0,653,552.7
1785318180,28005.75,28012.75,27998.25,28002.5,1,0,0,0,0,767,551.4
1785318240,28001.25,28003,27996,27999.5,1,0,0,0,0,339,539.5
1785318300,28000.25,28017.75,27998.5,28011.5,1,0,0,0,0,804,546.9
1785318360,28011.75,28015,28006.25,28011.25,1,0,0,0,0,676,559.7
1785318420,28010.5,28022.25,28007,28020.25,1,0,0,0,0,692,570.1
1785318480,28020,28026,28016.75,28022,1,0,0,0,0,603,581.95
1785318540,28021.75,28038.75,28021.25,28035.5,1,0,0,0,0,1025,621.9
1785318600,28035.25,28047.75,28035,28042.25,1,0,0,0,0,900,641.7
1785318660,28041.5,28056.25,28040.25,28054.25,1,0,0,0,0,755,667.75
1785318720,28053.75,28060,28044.25,28054.25,1,0,0,0,0,750,688.6
1785318780,28054.25,28057,28036.5,28044.5,1,0,0,0,0,912,705.45
1785318840,28043.5,28044.75,28033.25,28033.75,1,0,0,0,0,876,730.05
1785318900,28032.75,28033.25,28018,28018,1,0,0,0,0,1144,766.3
1785318960,28017.5,28019.5,28011,28014.5,1,0,0,0,0,860,788.25
1785319020,28015,28026.75,28007.25,28024.5,1,0,0,0,0,1028,816.1
1785319080,28024.5,28027,28017,28017.75,1,0,0,0,0,561,786.9
1785319140,28018,28027,28016.5,28019.5,1,0,0,0,0,448,758
1785319200,28019,28020.5,28008,28014.75,1,0,0,0,0,788,767.95
1785319260,28014.75,28029.25,28011.75,28027.5,1,0,0,0,0,553,756.7
1785319320,28027.75,28030.5,28014.5,28022.5,1,0,0,0,0,513,749.7
1785319380,28022.75,28031.25,28017.75,28019.5,1,0,0,0,0,458,734.25
1785319440,28021.5,28028,28017.5,28025.5,1,0,0,0,0,451,739.85
1785319500,28025,28046,28020,28034.5,1,0,0,0,0,1349,767.1
1785319560,28033.5,28037.5,28007.75,28014.25,1,0,0,0,0,1463,806.45
1785319620,28013.75,28017.75,28004.75,28016,1,1,0,0,0,878,815.75
1785319680,28016,28021.25,28012.75,28019.25,1,0,0,1,0,347,802.95
1785319740,28018.5,28023.5,28013.5,28022.25,1,0,0,0,0,426,773
1785319800,28021.75,28030.25,28012,28014.5,1,0,0,0,0,637,759.85
1785319860,28014.75,28018,28009.75,28011.5,1,0,0,0,0,444,744.3
1785319920,28011.75,28019.25,28008.75,28014.25,1,0,0,0,0,474,730.5
1785319980,28015,28016,28004.25,28009,1,0,0,0,0,609,715.35
1785320040,28009.5,28012,28003.5,28009.25,1,0,0,0,0,490,696.05
1785320100,28010.25,28018.25,28008,28017.5,1,0,0,0,0,454,661.55
1785320160,28017.25,28019.25,28011.5,28017.5,1,0,0,0,0,407,638.9
1785320220,28016.75,28018.75,28011,28015.25,1,0,0,0,0,377,606.35
1785320280,28015.25,28024.25,28014.5,28022.5,1,0,0,0,0,463,601.45
1785320340,28022.25,28023.25,28001.75,28014.5,1,0,0,0,0,638,610.95
1785320400,28013.5,28020.25,28008.75,28013.5,1,0,0,0,0,544,598.75
1785320460,28013.5,28017.25,28007.5,28013.25,1,0,0,0,0,263,584.25
1785320520,28013.5,28016,28008.25,28014.5,1,0,0,0,0,458,581.5
1785320580,28015,28017.75,28009.75,28010.5,1,0,0,0,0,277,572.45
1785320640,28010,28014.5,28004.75,28006.75,1,0,0,0,0,330,566.4
1785320700,28007,28007,27988,27992.25,1,0,0,0,0,981,548
1785320760,27992.5,27994.75,27988.75,27992.5,1,0,0,0,0,596,504.65
1785320820,27992,28001.25,27985.5,27996.25,1,0,0,0,0,529,487.2
1785320880,27995.5,28000.75,27994.25,27999.5,1,0,0,0,0,236,481.65
1785320940,28000.75,28018.25,28000.75,28017.5,1,0,0,0,0,981,509.4
1785321000,28016.25,28023.5,27992.25,27993.75,1,0,0,0,0,1122,533.65
1785321060,27993.5,27998.75,27985.75,27988,-1,0,0,0,0,764,549.65
1785321120,27989,27989.75,27977,27982.75,-1,0,0,0,0,793,565.6
1785321180,27982.75,27992.5,27978.75,27986.5,-1,0,0,0,0,600,565.15
1785321240,27987,27990,27979.25,27979.5,-1,0,0,0,0,356,558.45
1785321300,27980.25,27980.75,27973.25,27978.5,-1,0,0,0,0,773,574.4
1785321360,27978.75,27982.5,27973,27979.75,-1,0,0,0,0,418,574.95
1785321420,27978.5,27981,27966.25,27970.25,-1,0,0,0,0,614,586.8
1785321480,27969.75,27972.5,27954,27957.5,-1,0,0,0,0,869,607.1
1785321540,27958.25,27969.5,27957.25,27962.25,-1,0,0,0,0,673,608.85
1785321600,27962.75,27965.25,27956.5,27960.25,-1,0,0,0,0,564,609.85
1785321660,27960.5,27984.5,27960.5,27978.75,-1,0,0,0,0,948,644.1
1785321720,27978.25,27981,27973.75,27976,-1,0,0,0,0,468,644.6
1785321780,27976.5,27976.75,27962,27967,-1,0,0,0,0,461,653.8
1785321840,27966.75,27971.5,27963.5,27967.75,-1,0,0,0,0,383,656.45
1785321900,27967,27968.75,27956.75,27964.5,-1,0,0,0,0,633,639.05
1785321960,27964.25,27968,27951.25,27960,-1,0,0,0,0,967,657.6
1785322020,27959.5,27963,27950,27951.75,-1,0,0,0,0,589,660.6
1785322080,27950.25,27968.75,27949,27965.75,-1,0,0,0,0,614,679.5
1785322140,27964.75,27964.75,27954.25,27958.5,-1,0,0,0,0,429,651.9
1785322200,27959.5,27963.75,27953.5,27963.75,-1,0,0,0,0,395,615.55
1785322260,27963.5,27970.75,27941.5,27942,-1,0,0,0,0,1170,635.85
1785322320,27942.5,27944.25,27933.75,27940.5,-1,0,0,0,0,851,638.75
1785322380,27941.25,27943.75,27931.5,27941,-1,0,0,0,0,754,646.45
1785322440,27941,27946.75,27936,27941.75,-1,0,0,0,0,539,655.6
1785322500,27942,27944.25,27936.5,27941.25,-1,0,0,0,0,491,641.5
1785322560,27941.5,27955.75,27939.5,27953.25,-1,0,0,0,0,699,655.55
1785322620,27952.5,27958,27946,27950,-1,0,0,0,0,635,656.6
1785322680,27950.5,27954.5,27943.75,27946.75,-1,0,0,0,0,413,633.8
1785322740,27946.75,27953.5,27937.75,27949,-1,0,0,0,0,580,629.15
1785322800,27949.75,27975.25,27940.25,27970.75,-1,0,1,0,0,1990,700.45
1785322860,27970.75,27978,27967.75,27974.25,-1,0,0,0,1,1292,717.65
1785322920,27973.75,27979.25,27966.25,27976.75,-1,0,0,0,0,599,724.2
1785322980,27975.75,27982.5,27971.25,27977.5,-1,0,0,0,0,805,741.4
1785323040,27978,27979,27961,27964.5,-1,0,0,0,0,561,750.3
1785323100,27964.5,27973.75,27959.25,27966,-1,0,0,0,0,501,743.7
