time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785454860,28393.75,28422,28392.5,28409.25,,2300,825.35,1,1,0,0,0
1785454920,28409.25,28414.5,28398.25,28400.25,,1052,844.2,1,0,0,0,0
1785454980,28400.5,28406.25,28396.5,28405.75,,777,863.15,1,0,0,0,0
1785455040,28404,28408.25,28399.5,28406,28387.44921521209,524,871.2,1,0,0,0,0
1785455100,28406.25,28412,28398,28411,,1093,842.95,1,0,0,0,0
1785455160,28411,28420.25,28405.5,28418,,1354,864.65,1,0,0,0,0
1785455220,28418.5,28425.5,28414,28414.25,,1459,919.5,1,0,0,0,0
1785455280,28415.25,28418.25,28409.25,28414.5,,820,923.25,1,0,0,0,0
1785455340,28412,28421.75,28412,28419.25,,650,910.5,1,0,0,0,0
1785455400,28418.25,28419,28391.5,28392.5,,1442,940.85,1,0,0,0,0
1785455460,28392.75,28423.5,28391.25,28420.5,,1547,975.6,1,0,0,0,0
1785455520,28421.5,28440,28420.5,28434.75,,2204,1001.9,1,0,0,0,0
1785455580,28434.75,28434.75,28426.25,28427.75,,1039,1018.55,1,0,0,0,0
1785455640,28427.75,28435.5,28424,28433.75,,765,1027.3,1,0,0,0,0
1785455700,28433,28445.75,28433,28440.5,,1253,1068.55,1,1,0,0,0
1785455760,28440,28443.75,28435.75,28442,,746,1086.4,1,0,0,0,0
1785455820,28442.75,28443.75,28438.75,28440.75,,504,1088.55,1,0,0,0,0
1785455880,28440.75,28444.75,28427,28428.25,,1059,1120,1,0,0,0,0
1785455940,28427.5,28431.75,28421.75,28423.5,28399.46614347473,1080,1118.6,1,0,0,0,0
1785456000,28422,28426.5,28410.25,28419,,2315,1199.15,1,0,0,0,0
1785456060,28419.25,28421,28397.5,28397.75,,1735,1170.9,1,0,0,0,0
1785456120,28398.5,28416,28395,28407.25,,1764,1206.5,1,0,0,0,0
1785456180,28408,28439,28406.75,28438.75,,2815,1308.4,1,0,0,0,0
1785456240,28438.25,28444,28431,28432.25,,1609,1362.65,1,0,0,0,0
1785456300,28432.25,28442.5,28424.75,28442,,1654,1390.7,1,1,0,0,0
1785456360,28442.5,28454.25,28429.5,28434.75,,3036,1474.8,1,0,0,0,0
1785456420,28434,28443.5,28427.25,28442,,1231,1463.4,1,0,0,0,0
1785456480,28442.5,28457.75,28437.5,28447.5,,2140,1529.4,1,0,0,0,0
1785456540,28447.5,28456.25,28441,28442,,1552,1574.5,1,0,0,0,0
1785456600,28442.75,28449,28430.25,28442.5,,1373,1571.05,1,0,0,0,0
1785456660,28442.5,28453.25,28440.5,28451.75,,1638,1575.6,1,0,0,0,0
1785456720,28451.75,28454.5,28443.75,28452,,1212,1526,1,0,0,0,0
1785456780,28451,28461.25,28449.5,28456.75,,1863,1567.2,1,0,0,0,0
