time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1784805000,29040.5,29045.75,29040,29041.75,,410,790.05,-1,0,0,0,0
1784805060,29042,29051,29033.25,29048.75,,1080,830.6,-1,0,0,0,0
1784805120,29048.5,29057.25,29047.75,29051.5,,823,850.1,-1,0,0,0,0
1784805180,29051.25,29059,29046.75,29052,,868,876.1,-1,0,0,0,0
1784805240,29052.25,29058.5,29049.75,29058,29074.044332572295,466,884.15,-1,0,0,0,0
1784805300,29056.25,29072,29055.75,29062.25,,1265,919.55,-1,0,0,0,0
1784805360,29062.75,29069,29059,29065.5,,663,918.35,-1,0,0,0,0
1784805420,29065.75,29066,29051.75,29053.5,,868,931.45,-1,0,0,0,0
1784805480,29053.75,29057.75,29048.75,29053.5,,823,948.2,-1,0,0,0,0
1784805540,29053.75,29056.5,29048.5,29050.5,,655,953.6,-1,0,0,0,0
1784805600,29049.75,29050.75,29032,29037.5,,1413,935.35,-1,0,1,0,0
1784805660,29037.5,29039.25,29031,29033.25,,1082,932.75,-1,0,0,0,0
1784805720,29033.25,29035.5,29017.25,29018.25,,1453,920.3,-1,0,1,0,1
1784805780,29018.25,29023.5,29009.5,29011.75,,1313,947.45,-1,0,0,0,0
1784805840,29012,29016,29010,29012.5,,792,932.05,-1,0,0,0,0
1784805900,29012,29017.75,29009.75,29015.75,,862,917.35,-1,0,0,0,0
1784805960,29015,29020.5,29012.75,29015.25,,624,899.9,-1,0,0,0,0
1784806020,29015.5,29017.5,29005,29005.25,,833,911.2,-1,0,1,0,1
1784806080,29005.75,29013.75,29004.75,29006.25,,1064,909.35,-1,0,0,0,0
1784806140,29006.5,29006.5,28992.5,28994.5,29047.529555048197,1860,960.85,-1,0,0,0,0
1784806200,28994.75,29002,28987.5,28993,,2166,1048.65,-1,0,0,0,0
1784806260,28992.25,28999,28988.5,28995.25,,796,1034.45,-1,0,1,0,1
1784806320,28996,29001,28981.25,28982.75,,1133,1049.95,-1,0,0,0,0
1784806380,28982.75,28987.5,28969.25,28974.5,,1312,1072.15,-1,0,0,0,0
1784806440,28974.75,28982.5,28973.25,28980.5,,828,1090.25,-1,0,0,0,0
1784806500,28980,28980.5,28933.5,28933.5,,4281,1241.05,-1,0,0,0,0
1784806560,28934.25,28941.25,28931,28933,,1762,1296,-1,0,0,0,0
1784806620,28931.75,28934.75,28922.75,28931.5,,1757,1340.45,-1,0,0,0,0
1784806680,28931.75,28933.75,28917.75,28922.25,,2076,1403.1,-1,0,0,0,0
1784806740,28922.25,28936.25,28916,28928.5,,2036,1472.15,-1,0,0,0,0
1784806800,28928.5,28931,28914.75,28924.25,,1675,1485.25,-1,0,0,0,0
1784806860,28924.5,28926,28913.25,28924.5,,1253,1493.8,-1,0,0,0,0
1784806920,28925.25,28938.5,28921,28935,,1677,1505,-1,0,0,0,0
1784806980,28934.5,28935.75,28914.75,28921.5,,1780,1528.35,-1,0,0,0,0
1784807040,28921.5,28927.25,28915.75,28925.25,29006.769703365466,1002,1538.85,-1,0,0,0,0
1784807100,28925.25,28939,28922,28927.25,,1561,1573.8,-1,0,0,0,0
1784807160,28927.25,28928.5,28913.25,28918,,951,1590.15,-1,0,0,0,0
1784807220,28917.5,28928.5,28913.25,28927.5,,1360,1616.5,-1,0,0,0,0
1784807280,28927.5,28937.25,28925,28933.5,,1724,1649.5,-1,0,0,0,0
1784807340,28933,28940.25,28931.25,28939.25,,1107,1611.85,-1,0,0,0,0
1784807400,28938.5,28951,28937,28940.25,,2266,1616.85,-1,0,0,0,0
1784807460,28940.75,28944.75,28934.25,28938.5,,1004,1627.25,-1,0,0,0,0
1784807520,28938,28984.25,28937,28949.5,,3359,1738.55,-1,0,0,0,0
1784807580,28951,28961.25,28949.5,28956,,1635,1754.7,-1,0,0,0,0
1784807640,28956.25,28966.75,28951.25,28952.75,,1635,1795.05,-1,0,0,0,0
1784807700,28952.75,28957,28948.75,28950.25,,899,1625.95,-1,0,0,0,0
1784807760,28950,28952.75,28942.75,28947.25,,1124,1594.05,-1,0,0,0,0
1784807820,28948,28952.5,28942,28947.25,,729,1542.65,-1,0,0,0,0
1784807880,28948,28960.75,28947.25,28960.75,,1124,1495.05,-1,0,0,0,0
1784807940,28960,28973.25,28960,28964.75,28992.763135576977,1220,1454.25,-1,0,0,0,0
1784808000,28965.25,28967,28950,28953,,1568,1448.9,-1,0,0,0,0
1784808060,28953,28954.25,28949.75,28952.75,,981,1435.3,-1,0,0,0,0
1784808120,28953,28963.25,28946.5,28953.75,,1378,1420.35,-1,0,0,0,1
1784808180,28954,28958,28952.75,28955.75,,437,1353.2,-1,0,0,0,0
1784808240,28955.5,28967.25,28949,28949.75,,1259,1366.05,-1,0,0,0,0
1784808300,28949.75,28953.25,28927,28930,,2098,1392.9,-1,0,1,0,0
1784808360,28929.5,28942.5,28927.5,28934.5,,1133,1402,-1,0,0,0,0
1784808420,28934.75,28938.5,28927,28936.5,,960,1382,-1,0,1,0,1
1784808480,28936.75,28937,28915.75,28919.25,,1114,1351.5,-1,0,0,0,0
1784808540,28919.5,28928,28919.5,28924.75,,977,1345,-1,0,0,0,0
1784808600,28924.75,28939.75,28923.25,28936.5,,991,1281.25,-1,0,0,0,0
1784808660,28937,28942.5,28919.5,28928,,1334,1297.75,-1,0,0,0,0
1784808720,28927.75,28930.25,28915.75,28918.75,,731,1166.35,-1,0,0,0,0
1784808780,28920,28930.25,28919.75,28927.5,,591,1114.15,-1,0,0,0,0
1784808840,28928,28928,28916.25,28916.75,28967.425423717985,553,1060.05,-1,0,0,0,0
1784808900,28918.25,28938,28900,28929.5,,3095,1169.85,-1,0,0,0,0
1784808960,28929.75,28936.75,28880.5,28907.25,,3912,1309.25,-1,0,0,0,0
1784809020,28908.25,28920.5,28899.25,28911.75,,2095,1377.55,-1,0,0,0,0
1784809080,28910.75,28913.25,28900.75,28903,,1785,1410.6,-1,0,0,0,0
1784809140,28903,28913.5,28891,28892,,2086,1453.9,-1,0,0,0,0
1784809200,28892.75,28893.25,28879.25,28884.5,,2323,1491.65,-1,0,0,0,0
1784809260,28885.25,28899,28877.25,28894.75,,1838,1534.5,-1,0,0,0,0
1784809320,28895.25,28899,28890.25,28894.25,,1144,1522.8,-1,0,0,0,0
1784809380,28893.5,28894.5,28876,28877.75,,1490,1575.45,-1,0,0,0,0
1784809440,28878.5,28881.25,28862.25,28874.25,,2484,1636.7,-1,0,0,0,0
1784809500,28874,28875,28861,28867.75,,1718,1617.7,-1,0,0,0,0
1784809560,28868.5,28873.75,28860,28864,,1382,1630.15,-1,0,1,0,0
1784809620,28863.75,28879.25,28861.5,28874.5,,1310,1647.65,-1,0,0,0,0
1784809680,28875,28876,28852.75,28859.25,,1708,1677.35,-1,0,0,0,0
1784809740,28859.25,28870,28854.25,28865.75,28933.53361581199,1046,1680.8,-1,0,0,0,0
1784809800,28865.25,28875.5,28844.75,28860,,2759,1769.2,-1,0,0,0,0
1784809860,28861,28865.25,28849,28854,,1663,1785.65,-1,0,0,0,0
1784809920,28854,28856.25,28844.5,28848.5,,1610,1829.6,-1,0,0,0,0
1784809980,28849,28850.25,28832,28838.25,,3089,1954.5,-1,0,0,0,0
1784810040,28839,28840,28827.5,28837.5,,2139,2033.8,-1,0,0,0,0
1784810100,28837.25,28838.5,28826,28832.5,,1656,1961.85,-1,0,1,0,0
1784810160,28832.5,28832.75,28803,28805.5,,3701,1951.3,-1,0,0,0,0
1784810220,28804.75,28808.75,28794.5,28800,,3675,2030.3,-1,0,0,0,0
1784810280,28800.75,28814.75,28796.5,28804,,2718,2076.95,-1,0,0,0,0
1784810340,28804,28809,28790.5,28796,,2262,2085.75,-1,0,0,0,0
1784810400,28795.5,28795.75,28774.25,28779.25,,3690,2154.1,-1,0,0,0,0
1784810460,28780.25,28807.5,28776.5,28799.5,,3391,2231.75,-1,0,0,0,0
1784810520,28798.5,28800.5,28772,28777.5,,2617,2305.4,-1,0,0,0,0
1784810580,28776.75,28782.5,28769,28777.25,,2264,2344.1,-1,0,0,0,0
1784810640,28777.75,28792,28777.75,28788.5,28885.189077207993,1900,2314.9,-1,0,0,0,0
1784810700,28789.5,28794.5,28776,28789.75,,2092,2333.6,-1,0,0,0,0
1784810760,28789.25,28798.25,28781.5,28796.75,,1749,2351.95,-1,0,0,0,0
1784810820,28796.5,28796.5,28764.25,28768.5,,2772,2425.05,-1,0,0,0,0
1784810880,28768.75,28775,28753.25,28761.25,,3952,2537.25,-1,0,0,0,0
1784810940,28760.25,28788,28755.5,28786,,2799,2624.9,-1,0,0,0,0
1784811000,28785.75,28796,28782,28792.5,,2435,2608.7,-1,0,0,0,0
1784811060,28792.25,28800,28789.5,28794.25,,3109,2681,-1,0,0,0,0
1784811120,28794.25,28798.75,28785,28791.25,,2160,2708.5,-1,0,0,0,0
1784811180,28791.5,28805.5,28791.25,28797,,2066,2657.35,-1,0,0,0,0
1784811240,28796.5,28797,28776.75,28784,,2633,2682.05,-1,0,0,0,0
1784811300,28783.75,28790.25,28779.75,28781.5,,1774,2687.95,-1,0,0,0,0
1784811360,28781.75,28793,28781,28792.25,,1166,2561.2,-1,0,0,0,0
1784811420,28791.75,28796,28786.5,28791.75,,1641,2459.5,-1,0,0,0,0
1784811480,28792,28796.5,28772.75,28776.75,,2238,2435.5,-1,0,0,0,0
1784811540,28776.25,28787.75,28774.5,28787.25,28852.542718138662,1632,2404,-1,0,0,0,0
1784811600,28786.75,28795.75,28775.5,28794.5,,2586,2348.8,-1,0,0,0,0
1784811660,28794.5,28804.75,28786.25,28803.75,,2107,2284.6,-1,0,0,0,0
1784811720,28803.75,28804.75,28776.75,28780,,2975,2302.5,-1,0,0,0,0
1784811780,28780,28787.75,28769,28781.75,,2734,2326,-1,0,0,0,0
1784811840,28781,28784.75,28763.75,28769.75,,3157,2388.85,-1,0,0,0,0
1784811900,28770,28771.25,28744.5,28752,,3803,2474.4,-1,0,0,0,0
1784811960,28751.5,28753.5,28738,28741,,3832,2578.55,-1,0,0,0,1
1784812020,28740.75,28767.25,28740.5,28764.5,,3504,2615.15,-1,0,0,0,0
1784812080,28764.25,28774.25,28744.25,28745,,3418,2588.45,-1,0,0,0,0
1784812140,28745.75,28747,28725.5,28728,,3537,2625.35,-1,0,0,0,0
1784812200,28727.5,28733.75,28722.5,28730.5,,2939,2650.55,-1,0,0,0,0
1784812260,28730.25,28733.25,28717.5,28720,,3299,2660.05,-1,0,1,0,0
1784812320,28720,28739.25,28715.25,28733,,3549,2729.5,-1,0,0,0,0
1784812380,28733,28737,28718,28721.25,,2540,2753.2,-1,0,0,0,0
1784812440,28721.25,28728,28717.25,28726.75,28810.61181209244,1499,2696.5,-1,0,0,0,0
1784812500,28727,28731.5,28717.75,28721,,1925,2704.05,-1,0,0,0,0
1784812560,28721.75,28727.75,28716,28722.75,,2074,2749.45,-1,0,0,0,0
1784812620,28723,28725.75,28704.75,28720,,4763,2905.55,-1,0,0,0,0
1784812680,28720,28721.75,28706.25,28718.25,,2324,2909.85,-1,0,0,0,0
1784812740,28718.25,28719.25,28702.75,28715.75,,2319,2944.2,-1,0,0,0,0
1784812800,28716.25,28718.75,28703.25,28708.75,,2097,2919.75,-1,0,0,0,0
1784812860,28708.75,28721.5,28706.75,28715.5,,1945,2911.65,-1,0,0,0,0
1784812920,28715.75,28718.75,28703.5,28710.75,,1755,2850.65,-1,0,0,0,0
1784812980,28710.75,28717.25,28700.5,28717.25,,2135,2820.7,-1,0,0,0,0
1784813040,28717,28718.5,28695.75,28702.75,,2835,2804.6,-1,0,0,0,0
1784813100,28702.75,28722.5,28702.75,28716.5,,3321,2780.5,-1,0,0,0,0
1784813160,28716.5,28718,28698,28711,,2109,2694.35,-1,0,0,0,0
1784813220,28710.75,28721.25,28699,28703.25,,2364,2637.35,-1,0,0,0,0
1784813280,28702.75,28724.5,28696.75,28723.25,,2626,2597.75,-1,0,0,0,0
1784813340,28723.5,28724.75,28702.75,28718.75,28779.991208061627,3189,2580.35,-1,0,0,0,0
1784813400,28718,28727.75,28656,28687.25,,19942,3430.5,-1,0,0,0,0
1784813460,28686.75,28723.5,28681,28719.5,,15924,4061.75,-1,0,0,0,0
1784813520,28720,28748,28710,28739.5,,15063,4637.45,-1,0,0,0,0
1784813580,28740,28740.25,28693.25,28724.25,,15496,5285.25,-1,0,0,0,0
1784813640,28723.25,28764.75,28722.75,28759.5,,11562,5788.4,-1,0,0,0,0
1784813700,28759.75,28774.75,28749.25,28753,,13118,6348.05,-1,0,0,0,0
1784813760,28752,28790,28735.5,28788.25,,14387,6963.7,-1,0,0,0,0
1784813820,28788,28807.75,28777.25,28803.25,,12787,7364.9,-1,0,0,0,0
1784813880,28803.25,28817.5,28777,28794,,13202,7908.8,-1,0,0,0,0
1784813940,28794,28808.75,28779.25,28797.5,,9835,8284.6,-1,0,0,0,0
