time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785330480,27889.25,27891.25,27885.5,27891,-1,0,0,0,0,727,1041.75
1785330540,27890.75,27896,27887.75,27892.75,-1,0,0,0,0,853,1026.4
1785330600,27892.75,27895.5,27887,27889.5,-1,0,0,0,0,734,1021.25
1785330660,27890,27890,27878,27881.5,-1,0,0,0,0,1105,1034.3
1785330720,27882.25,27886.25,27877.5,27882.25,-1,0,0,0,0,888,1048.95
1785330780,27881.25,27882,27875.5,27879,-1,0,0,0,0,690,1047.6
1785330840,27879.25,27884,27870,27873.75,-1,0,0,0,0,1505,1074.95
1785330900,27872.75,27882.75,27869.5,27882.25,-1,0,0,0,0,1296,1094.9
1785330960,27882,27886.75,27869.75,27877.25,-1,0,1,0,0,1207,1115.8
1785331020,27877,27881.75,27865.25,27870,-1,0,0,0,1,1301,1124.4
1785331080,27869.75,27871.5,27861.75,27864,-1,0,0,0,0,1292,1137.9
1785331140,27864,27874.75,27864,27869.5,-1,0,0,0,0,953,1150.2
1785331200,27868.5,27871,27856.25,27865,-1,0,0,0,0,1665,1157.6
1785331260,27864.75,27885.25,27863.5,27881.25,-1,0,0,0,0,1647,1197.4
1785331320,27880.25,27894,27878.75,27886.25,-1,0,0,0,0,1636,1232.75
1785331380,27885.75,27891.25,27879.75,27890.5,-1,0,0,0,0,761,1165.55
1785331440,27891.5,27899,27885.5,27896.25,-1,0,0,0,0,1307,1166.25
1785331500,27895,27913.5,27881.5,27913.25,-1,0,0,0,0,2738,1238.8
1785331560,27912.75,27933.5,27907.5,27929.25,1,0,0,0,0,2207,1288.9
1785331620,27929.25,27940,27907.75,27913.25,-1,0,0,0,0,3133,1382.25
1785331680,27913.25,27925.5,27906.75,27919.75,-1,0,0,0,0,1815,1436.65
1785331740,27919.75,27926.75,27906.75,27915.75,1,0,0,0,0,2026,1495.3
1785331800,27915,27949.75,27861.75,27869.75,-1,0,0,0,0,14452,2181.2
1785331860,27870.5,27893.75,27836.5,27848.75,-1,0,0,0,0,12841,2768
1785331920,27849.75,27908,27837.5,27904,-1,0,0,0,0,10839,3265.55
1785331980,27904,27961.5,27891.5,27961,1,0,0,0,0,12346,3848.35
1785332040,27960.75,27984.25,27955,27957.5,1,0,0,0,0,10561,4301.15
