time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785421080,28117.5,28120.5,28080,28108.25,,10379,8700.9,1,0,0,0,0
1785421140,28108.5,28125.25,28094,28113.75,,6988,8518.65,1,0,0,0,0
1785421200,28113.5,28127,28102,28124.5,,5292,8330.35,1,0,0,0,0
1785421260,28124.5,28164.75,28124.5,28154.5,,9876,8309.9,1,0,0,0,0
1785421320,28154.25,28162.25,28135.5,28156.75,,6912,8104.75,1,0,0,0,0
1785421380,28156.5,28173.75,28155.25,28160.25,,6230,7929.4,1,1,0,0,0
1785421440,28160.25,28175,28148.5,28163.25,,6940,8016.65,1,0,0,0,0
1785421500,28164,28176.5,28159.5,28172.5,,5528,7861.7,1,0,0,0,0
1785421560,28172.5,28178.75,28149.25,28172,,6152,7686.3,1,0,0,0,0
1785421620,28170.75,28213.75,28168.75,28209.75,,11827,7897.6,1,0,0,0,0
1785421680,28209.75,28240,28209.25,28223.75,,10322,7847.55,1,0,0,0,0
1785421740,28223.75,28231,28218,28225.75,28083.247137487477,5193,7710.35,1,0,0,0,0
1785421800,28226,28227.25,28188.5,28219,,10976,7696,1,0,0,0,0
1785421860,28219,28245.75,28206.5,28234.5,,8071,7714.85,1,1,0,1,0
1785421920,28233.75,28241.5,28217.5,28240,,6379,7575.5,1,0,0,0,0
1785421980,28239.5,28242.75,28224.75,28237.25,,5729,7534.65,1,0,0,0,0
1785422040,28237.25,28240,28215.5,28234.75,,6250,7572.35,1,0,0,0,0
1785422100,28234.5,28237.75,28204,28207.5,,6326,7451.95,1,0,0,0,0
1785422160,28207.25,28241,28202,28235.5,,6590,7476.8,1,0,0,0,0
1785422220,28236,28244,28227.25,28237.25,,5573,7376.65,1,0,0,0,0
1785422280,28237.25,28238,28212.5,28213.25,,5490,7132.2,1,0,0,0,0
1785422340,28214,28221.75,28209.75,28219.5,,4579,7011.75,1,0,0,0,0
1785422400,28220.25,28232.75,28212.25,28227.5,,4914,6992.85,1,0,0,0,0
1785422460,28227,28240.5,28223.75,28231,,4010,6699.55,1,0,0,0,0
1785422520,28230.75,28240.5,28205,28206.75,,4938,6600.85,1,0,0,0,0
1785422580,28206,28207.5,28183.25,28184.5,,7909,6684.8,1,0,0,0,0
1785422640,28184.5,28185.75,28160.25,28175.25,28113.914758324983,8515,6763.55,1,0,0,0,0
1785422700,28175.25,28189.75,28157.75,28187.75,,6739,6824.1,1,0,0,0,0
1785422760,28188,28196,28154,28161,,8172,6925.1,1,0,0,0,0
1785422820,28160.5,28173,28151,28160.5,,6142,6640.85,1,0,0,0,0
1785422880,28160.5,28163.75,28130.5,28160,,8600,6554.75,1,0,0,0,0
1785422940,28159.75,28174.75,28142,28166,,7208,6655.5,1,0,0,0,0
1785423000,28166.5,28177.25,28140,28142,,6336,6423.5,1,0,0,0,0
1785423060,28142.75,28155.5,28113,28122.75,,8765,6458.2,1,0,0,0,0
1785423120,28122.75,28128.75,28103,28104.25,,5843,6431.4,1,0,0,0,0
1785423180,28104.5,28111.25,28085.5,28091.25,,7076,6498.75,1,0,0,0,0
1785423240,28091.25,28092.75,28063.25,28069,,9116,6642.05,-1,0,0,0,0
1785423300,28069,28071.5,28042.5,28054.25,,10469,6849.2,-1,0,0,0,0
1785423360,28055,28061,28024.75,28035.25,,9362,6987.8,-1,0,0,0,0
1785423420,28035.75,28063.25,28022.75,28057.25,,8361,7127.2,-1,0,0,0,0
1785423480,28056.5,28075,28043.75,28074.75,,8399,7272.65,-1,0,0,0,0
1785423540,28074,28095.5,28065.5,28070.75,28099.526505549988,10606,7574,-1,0,0,0,0
1785423600,28070.75,28077.75,28013,28027.25,,12894,7973,-1,0,0,0,0
1785423660,28026.5,28039.75,28012,28020.5,,9714,8258.2,-1,0,0,0,0
1785423720,28020.25,28069.25,28016,28068.25,,9231,8472.85,-1,0,0,0,0
1785423780,28068.25,28106.25,28067.5,28103.25,,11675,8661.15,-1,0,0,0,0
1785423840,28103.75,28114.25,28078.75,28104.5,,8079,8639.35,-1,0,0,0,0
1785423900,28104.75,28122.75,28096.75,28114,,7120,8658.4,1,1,0,0,0
1785423960,28115.5,28123.25,28087.25,28094.5,,7283,8613.95,-1,0,0,1,0
1785424020,28094.5,28101,28063.5,28072,,8339,8723.8,-1,0,0,0,0
1785424080,28072,28099,28055,28098,,7064,8647,-1,0,0,0,0
1785424140,28097.5,28138,28094,28134.75,,9809,8777.05,1,0,0,0,0
1785424200,28134.25,28137,28069.25,28079.5,,9279,8924.2,-1,0,0,0,0
1785424260,28079.5,28085,28037.25,28045,,9118,8941.85,-1,0,0,0,0
1785424320,28045,28064.75,28034.5,28060.75,,6613,8980.35,-1,0,0,0,0
1785424380,28060.75,28061.25,28020,28033,,7125,8982.8,-1,0,1,0,0
1785424440,28033,28046.25,28018.5,28024.25,28074.434337033326,5926,8823.3,-1,0,0,0,0
1785424500,28024.5,28061.75,28007.75,28060.5,,8861,8742.9,-1,0,0,0,0
1785424560,28060,28076,28050.25,28054.25,,7193,8634.45,-1,0,0,0,0
1785424620,28054.5,28069,28024.5,28030.25,,6529,8542.85,-1,0,0,0,0
