time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785741600,28583.25,28588.5,28577.5,28586.25,,720,1101.6,-1,28617.342022976874,0,0
1785741660,28586.75,28603.5,28582.5,28601.5,,1362,1100.4,-1,28617.342022976874,0,0
1785741720,28602,28602.5,28587.5,28597.5,,845,1063.7,-1,28617.342022976874,0,0
1785741780,28598,28609.5,28597,28604.75,,779,1070.25,-1,28617.342022976874,0,0
1785741840,28605,28606.25,28600,28601.5,,542,1042.4,-1,28617.342022976874,0,0
1785741900,28600.75,28605.75,28591.25,28591.75,,590,1009.85,-1,28617.342022976874,0,0
1785741960,28592.75,28604.75,28584.75,28604.25,,987,990.7,-1,28617.342022976874,0,0
1785742020,28604.25,28604.5,28594.75,28603.5,,490,978.1,-1,28617.342022976874,0,0
1785742080,28604,28605,28594.5,28599.75,,373,948.35,-1,28617.342022976874,0,0
1785742140,28600.75,28609.5,28600,28603.25,28612.644681984584,436,915.75,-1,28617.342022976874,0,0
1785742200,28602.75,28609.75,28600.25,28609.25,,559,896.8,-1,28612.644681984584,0,0
1785742260,28608.5,28609,28597.75,28599.25,,461,847.35,-1,28612.644681984584,0,0
1785742320,28598.5,28601.75,28596,28601.25,,428,841.9,-1,28612.644681984584,0,0
1785742380,28600.75,28608.25,28595.5,28607.5,,447,838.95,-1,28612.644681984584,0,0
1785742440,28606.75,28609.5,28600.75,28605.5,,341,842.15,-1,28612.644681984584,0,0
1785742500,28605.75,28616.25,28604,28612.75,,682,846.2,1,28612.644681984584,0,0
1785742560,28613,28613.75,28582.25,28588.75,,936,857.85,-1,28612.644681984584,0,0
1785742620,28588.75,28590,28581.5,28584,,586,720.85,-1,28612.644681984584,0,0
1785742680,28585.25,28587.25,28580.25,28583,,682,667.45,-1,28612.644681984584,0,0
1785742740,28583.75,28587.5,28580.75,28583,,384,631.5,-1,28612.644681984584,0,0
1785742800,28582.75,28583,28569.75,28580,,1187,654.85,-1,28612.644681984584,0,0
1785742860,28580.5,28581.75,28563.5,28568,,924,632.95,-1,28612.644681984584,0,0
1785742920,28567.5,28570.75,28565.5,28568.5,,516,616.5,-1,28612.644681984584,0,0
1785742980,28567.75,28569,28560,28562.75,,672,611.15,-1,28612.644681984584,0,0
1785743040,28561.25,28567.5,28560,28563,28596.09645465639,453,606.7,-1,28612.644681984584,0,0
1785743100,28563.5,28570,28560.5,28568,,482,601.3,-1,28596.09645465639,0,0
1785743160,28568.25,28579.25,28567.5,28577,,663,585.1,-1,28596.09645465639,0,0
1785743220,28576.75,28578.5,28565.25,28569.75,,441,582.65,-1,28596.09645465639,0,0
1785743280,28571,28575,28568,28573.25,,226,575.3,-1,28596.09645465639,0,0
1785743340,28574,28587.75,28573.5,28576.5,,761,591.55,-1,28596.09645465639,0,0
1785743400,28577,28578.5,28568,28568,,660,596.6,-1,28596.09645465639,0,0
1785743460,28569,28572.75,28558,28571.75,,1066,626.85,-1,28596.09645465639,0,0
1785743520,28573,28573.25,28565.25,28572.25,,578,634.35,-1,28596.09645465639,0,0
1785743580,28571.5,28571.75,28565.5,28566,,251,624.55,-1,28596.09645465639,0,0
1785743640,28566.25,28574,28563.75,28570.75,,386,626.8,-1,28596.09645465639,0,0
1785743700,28570.5,28576.5,28567.5,28573.5,,565,620.95,-1,28596.09645465639,0,0
1785743760,28572.25,28577.5,28568.25,28575.25,,424,595.35,-1,28596.09645465639,0,0
1785743820,28575.25,28586,28574,28578.25,,765,604.3,-1,28596.09645465639,0,0
1785743880,28578.25,28585.25,28577.75,28580.75,,361,588.25,-1,28596.09645465639,0,0
1785743940,28581.25,28590,28577.75,28587.5,28593.230969770924,678,602.95,-1,28596.09645465639,0,0
1785744000,28587.5,28592,28571.25,28582.5,,1573,622.25,-1,28593.230969770924,0,0
1785744060,28581.75,28581.75,28564.25,28566,,1044,628.25,-1,28593.230969770924,0,0
1785744120,28566.5,28568.25,28553.25,28554,,1508,677.85,-1,28593.230969770924,0,0
1785744180,28553.75,28554.75,28536.75,28538.75,,1865,737.5,-1,28593.230969770924,0,0
1785744240,28539.25,28540,28526.75,28535,,1538,791.75,-1,28593.230969770924,0,0
1785744300,28535.25,28546,28530.5,28543,,1317,833.5,-1,28593.230969770924,0,0
1785744360,28543,28549.25,28537.25,28547,,727,836.7,-1,28593.230969770924,0,0
1785744420,28546.75,28548.5,28524.25,28526.5,,1133,871.3,-1,28593.230969770924,0,0
1785744480,28526.75,28528.75,28519,28527.5,,1293,924.65,-1,28593.230969770924,0,0
1785744540,28528,28547.25,28526.5,28540.5,,1250,949.1,-1,28593.230969770924,0,0
1785744600,28540.25,28556,28537,28543,,1365,984.35,-1,28593.230969770924,0,0
1785744660,28542,28550,28539.5,28547.25,,725,967.3,-1,28593.230969770924,0,0
1785744720,28546.75,28558.75,28546.25,28547,,1014,989.1,-1,28593.230969770924,0,0
1785744780,28547.5,28558.5,28543.75,28557,,529,1003,-1,28593.230969770924,0,0
1785744840,28558,28568,28554.75,28562.25,28582.903979847284,855,1026.45,-1,28593.230969770924,0,0
1785744900,28562,28564.5,28549.75,28550.75,,976,1047,-1,28582.903979847284,0,0
1785744960,28550,28551.5,28536.25,28537.5,,875,1069.55,-1,28582.903979847284,0,0
1785745020,28538,28539,28528.75,28529.5,,1064,1084.5,-1,28582.903979847284,0,0
1785745080,28529.75,28530.75,28515,28521,,1409,1136.9,-1,28582.903979847284,0,0
1785745140,28521.5,28523.25,28511.75,28513.75,,865,1146.25,-1,28582.903979847284,0,0
1785745200,28513.5,28522,28506,28520,,1267,1130.95,-1,28582.903979847284,0,0
1785745260,28519.25,28519.25,28501,28510.75,,1239,1140.7,-1,28582.903979847284,0,0
1785745320,28510,28512,28504.5,28507.75,,614,1096,-1,28582.903979847284,0,0
1785745380,28507.25,28507.25,28492,28492.75,,1504,1077.95,-1,28582.903979847284,0,0
1785745440,28492,28501.75,28488.5,28493.5,,920,1047.05,-1,28582.903979847284,0,0
1785745500,28492.5,28497,28484.75,28490.75,,913,1026.85,-1,28582.903979847284,0,0
1785745560,28489.75,28494.75,28481.75,28489.75,,906,1035.8,-1,28582.903979847284,0,0
1785745620,28489.25,28490.25,28473,28484.75,,1519,1055.1,-1,28582.903979847284,0,0
1785745680,28485.25,28497.75,28482.25,28497.5,,1138,1047.35,-1,28582.903979847284,0,0
1785745740,28496.25,28496.25,28480.75,28487.5,28551.102653231523,881,1028.9,-1,28582.903979847284,0,0
1785745800,28487.75,28491.5,28472,28475.25,,1233,1022.3,-1,28551.102653231523,0,0
1785745860,28475,28495,28474.25,28493.5,,1014,1036.75,-1,28551.102653231523,0,0
1785745920,28492.75,28495.75,28486,28489,,661,1019.1,-1,28551.102653231523,0,0
1785745980,28489.5,28489.75,28472.25,28474.25,,1120,1048.65,-1,28551.102653231523,0,0
1785746040,28473.25,28486.25,28472.25,28483.25,,803,1046.05,-1,28551.102653231523,0,0
1785746100,28483.5,28499,28483.5,28496,,1003,1047.4,-1,28551.102653231523,0,0
1785746160,28495,28526.5,28495,28525.75,,1903,1098.8,-1,28551.102653231523,0,0
1785746220,28524.5,28530.25,28518,28528,,1192,1105.2,-1,28551.102653231523,0,0
1785746280,28527,28531,28524.5,28526.25,,695,1069.5,-1,28551.102653231523,0,0
1785746340,28526.25,28540,28524.5,28538.5,,852,1068.85,-1,28551.102653231523,0,0
1785746400,28537.75,28542.5,28531.25,28535.5,,845,1047.75,-1,28551.102653231523,0,0
1785746460,28535,28548.25,28534.5,28544.75,,601,1015.85,-1,28551.102653231523,0,0
1785746520,28544.25,28554.75,28540.25,28541.75,,975,1033.9,-1,28551.102653231523,0,0
1785746580,28542.25,28545.5,28530.5,28531,,766,997,-1,28551.102653231523,0,0
1785746640,28531.5,28539.5,28526.5,28536,28546.068435487683,691,985.55,-1,28551.102653231523,0,0
1785746700,28536,28543,28530,28540.75,,737,976.75,-1,28546.068435487683,0,0
1785746760,28540.25,28553.5,28540,28543.5,,1031,983,-1,28546.068435487683,0,0
1785746820,28543.25,28543.5,28527.25,28530,,790,946.55,-1,28546.068435487683,0,0
1785746880,28530.5,28536.5,28527.75,28536.5,,527,916,-1,28546.068435487683,0,0
1785746940,28535.75,28547.75,28534.25,28545.75,,690,906.45,-1,28546.068435487683,0,0
1785747000,28544.75,28553,28541.75,28550.75,,608,875.2,1,28546.068435487683,0,0
1785747060,28550.25,28555.25,28548.5,28554.75,,538,851.4,1,28546.068435487683,0,0
1785747120,28555.25,28563,28550.5,28555.75,,1090,872.85,1,28546.068435487683,0,0
1785747180,28556,28564.25,28553,28564.25,,545,844.1,1,28546.068435487683,0,0
1785747240,28563.75,28566.5,28558.75,28561.5,,497,828.8,1,28546.068435487683,0,0
1785747300,28561,28576.5,28560.5,28575,,1172,837.25,1,28546.068435487683,0,0
1785747360,28574.5,28591,28572.75,28589,,1537,818.95,1,28546.068435487683,0,0
1785747420,28589.25,28595.5,28582.25,28583.5,,1030,810.85,1,28546.068435487683,0,0
1785747480,28584,28587.75,28577.75,28587.75,,605,806.35,1,28546.068435487683,0,0
1785747540,28587,28595,28586,28593.75,28561.962290325122,641,795.8,1,28546.068435487683,0,0
1785747600,28594,28601.5,28585.75,28588.25,,1662,836.65,1,28561.962290325122,0,0
1785747660,28588,28590,28578.75,28581,,885,850.85,1,28561.962290325122,0,0
1785747720,28580.25,28581.75,28571.75,28579,,878,846,1,28561.962290325122,0,0
1785747780,28579.5,28582.75,28573,28573.75,,618,838.6,1,28561.962290325122,0,0
1785747840,28574.5,28585,28568.25,28570.75,,916,849.85,1,28561.962290325122,0,0
1785747900,28570.75,28596.75,28568.75,28589.75,,894,857.7,1,28561.962290325122,0,0
1785747960,28589,28589.25,28571.25,28571.25,,686,840.45,1,28561.962290325122,0,0
1785748020,28571.5,28575.5,28568.75,28570.25,,542,828.05,1,28561.962290325122,0,0
1785748080,28570.5,28573.5,28567.5,28570.75,,348,819.1,1,28561.962290325122,0,0
