time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785405720,27522.25,27523.75,27516.25,27518.5,,583,663.15,-1,0,0,0,0
1785405780,27519.25,27521.25,27512.75,27515.75,,488,641.95,-1,0,0,0,0
1785405840,27514.75,27521.75,27504.25,27506.25,,634,655.4,-1,0,0,0,0
1785405900,27506.75,27531.75,27505.25,27527.75,,987,684.75,1,0,0,0,0
1785405960,27528.5,27532.75,27524,27528,,577,693.15,1,0,0,0,0
1785406020,27528.5,27552,27523.25,27548,,1289,735.4,1,1,0,0,0
1785406080,27548.25,27549.5,27537.25,27542.75,,749,750.4,1,0,0,0,0
1785406140,27543.25,27561.5,27542.5,27553.25,,707,767.45,1,1,0,1,0
1785406200,27553.5,27564,27549,27550.25,,727,786.35,1,0,0,0,0
1785406260,27550.25,27557.75,27545.75,27552.5,,1020,815.7,1,0,0,0,0
1785406320,27551.75,27552.25,27537.75,27545.75,,518,818.85,1,0,0,0,0
1785406380,27545.5,27546.25,27535,27539.75,,519,824.55,1,0,0,0,0
1785406440,27540,27543.25,27536.75,27542.25,27528.67437107798,261,808.2,1,0,0,0,0
1785406500,27543,27557,27541,27557,,521,817.3,1,0,0,0,0
1785406560,27556.75,27572.25,27552.75,27563.5,,972,831.75,1,0,0,0,0
1785406620,27563,27576.25,27561.25,27575.75,,672,848.3,1,0,0,0,0
1785406680,27576,27595.5,27576,27593.25,,1091,859.6,1,0,0,0,0
1785406740,27594,27599,27588,27596,,1164,833.75,1,0,0,0,0
1785406800,27596,27604.5,27595.25,27601.25,,991,775.25,1,0,0,0,0
1785406860,27601.25,27617,27597.25,27612.75,,1221,784.55,1,0,0,0,0
1785406920,27612.75,27614,27604,27611.5,,737,792.25,1,0,0,0,0
1785406980,27611.5,27615.5,27604,27605.25,,713,803.5,1,0,0,0,0
1785407040,27606.75,27610.25,27596,27604.5,,894,816.5,1,0,0,0,0
1785407100,27604.75,27616.75,27602.5,27615.5,,842,809.25,1,0,0,0,0
1785407160,27616,27629.5,27616,27622,,1287,844.75,1,0,0,0,0
1785407220,27621.25,27624.5,27611.25,27613,,579,809.25,1,0,0,0,0
1785407280,27613.25,27616.5,27607.75,27615,,648,804.2,1,0,0,0,0
1785407340,27615.25,27620,27609.75,27617.25,27558.199580718654,726,805.15,1,0,0,0,0
1785407400,27617,27627.5,27612,27620,,631,800.35,1,0,0,0,0
1785407460,27620,27638,27616.25,27628,,1167,807.7,1,0,0,0,0
1785407520,27628.5,27630.75,27622.25,27626.75,,596,811.6,1,0,0,0,0
1785407580,27627,27631.5,27616,27616.5,,736,822.45,1,0,0,0,0
1785407640,27615,27618.75,27606,27613.25,,853,852.05,1,0,0,0,0
1785407700,27613.5,27625.5,27610.25,27620.5,,913,871.65,1,0,0,0,0
1785407760,27621,27632.25,27620,27626,,550,850.55,1,0,0,0,0
1785407820,27626.25,27630,27617.5,27620.5,,669,850.4,1,0,0,0,0
1785407880,27620.75,27630.75,27616.5,27616.5,,670,829.35,1,0,0,0,0
1785407940,27616.25,27624,27612.25,27620.5,,570,799.65,1,0,0,0,0
1785408000,27621,27643.75,27617.5,27636,,1140,807.1,1,0,0,0,0
1785408060,27635.75,27637,27618,27625,,1084,800.25,1,0,0,0,0
1785408120,27624.75,27627,27615.5,27618.5,,713,799.05,1,0,0,0,0
1785408180,27619.75,27646.75,27619.25,27636.75,,1107,818.75,1,0,0,0,0
1785408240,27635.75,27639.75,27623.5,27631.75,27582.71638714577,811,814.6,1,0,0,0,0
1785408300,27631,27644,27626.25,27637.25,,796,812.3,1,0,0,0,0
1785408360,27636.5,27646.25,27636.5,27644,,565,776.2,1,0,0,0,0
1785408420,27643.75,27648,27638,27646,,581,776.3,1,0,0,0,0
1785408480,27646,27648,27640.25,27642,,689,778.35,1,0,0,0,0
1785408540,27640.75,27645.5,27629.5,27633,,1000,792.05,1,0,0,0,0
1785408600,27633.75,27645.75,27629.75,27645.5,,1096,815.3,1,0,0,0,0
1785408660,27644.5,27644.5,27634.25,27640.25,,555,784.7,1,0,0,0,0
1785408720,27639.5,27647.25,27638.5,27644,,730,791.4,1,0,0,0,0
1785408780,27644,27647.25,27624.25,27624.75,,1021,805.65,1,0,0,0,0
1785408840,27625.25,27628.5,27613.25,27614.75,,1019,813.95,1,0,0,0,0
1785408900,27615,27625.75,27613.75,27623.5,,769,806.75,1,0,0,0,0
1785408960,27625,27625,27610.5,27614.75,,784,818.45,1,0,0,0,0
1785409020,27614.5,27622,27613.5,27616.75,,474,808.7,1,0,0,0,0
1785409080,27617.25,27622.75,27613.5,27615.25,,286,789.5,1,0,0,0,0
1785409140,27616,27621.25,27614.75,27618.25,27594.560924763846,317,776.85,1,0,0,0,0
1785409200,27618.5,27643.75,27612.75,27637.75,,2173,828.5,1,0,0,0,0
1785409260,27637.5,27646,27629.75,27644.5,,965,822.55,1,0,0,0,0
1785409320,27643.75,27656,27642.25,27645.5,,1722,873,1,0,0,0,0
