time,open,high,low,close,Regime Ratio (debug),Dynamic Stop (debug),EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Regime Ratio (debug),Current Session Stop (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1781474400,30100,30341.5,30100,30331,,42.5,1,-1,0,,42.5,0,0,0,0,2281,
1781474460,30331.5,30347,30252,30324.25,,42.5,1,-1,0,,42.5,0,0,0,0,3443,
1781474520,30323,30336.5,30296.25,30301.5,,42.5,1,-1,0,,42.5,0,0,0,0,2467,
1781474580,30302.5,30322.25,30285,30295.75,,42.5,1,-1,0,,42.5,0,0,0,0,1843,
1781474640,30295.5,30326,30262,30323.25,,42.5,1,-1,0,,42.5,0,0,0,0,2137,
1781474700,30323.75,30378.25,30317.5,30349,,42.5,1,-1,0,,42.5,0,0,0,0,2811,
1781474760,30349.25,30366.25,30348.25,30360,,42.5,1,-1,0,,42.5,0,0,0,0,1133,
1781474820,30359.75,30364.5,30336,30337.75,,42.5,1,-1,0,,42.5,0,0,0,0,1281,
1781474880,30338,30361.75,30330.75,30360.25,,42.5,1,-1,0,,42.5,0,0,0,0,1234,
1781474940,30358.75,30383,30356,30371,,42.5,1,-1,0,,42.5,0,0,0,0,1762,
1781475000,30370,30379.5,30364.75,30374.25,,42.5,1,-1,0,,42.5,0,0,0,0,1109,
1781475060,30374.25,30381,30367.75,30374.5,,42.5,1,-1,0,,42.5,0,0,0,0,982,
1781475120,30373.5,30374.75,30366.75,30370,,42.5,1,-1,0,,42.5,0,0,0,0,794,
1781475180,30368,30375,30347.5,30371,,42.5,1,-1,0,,42.5,0,0,0,0,1384,
1781475240,30369.75,30371.75,30353.75,30361,,42.5,1,-1,0,,42.5,0,0,0,0,1029,
1781475300,30361,30363.25,30332.75,30344.25,,42.5,1,-1,0,,42.5,0,0,0,0,1571,
1781475360,30343.25,30346.5,30326.25,30340,,42.5,1,-1,0,,42.5,0,0,0,0,1384,
1781475420,30339,30340,30323.25,30325,,42.5,1,-1,0,,42.5,0,0,0,0,886,
1781475480,30325,30368.25,30324,30360.75,,42.5,1,-1,0,,42.5,0,0,0,0,1580,
1781475540,30360.5,30375,30357.25,30370.75,,42.5,1,-1,0,,42.5,0,0,0,0,1090,1610.05
1781475600,30372.5,30373.75,30359,30371,,42.5,1,-1,0,,42.5,0,0,0,0,1009,1546.45
1781475660,30370.25,30379,30364.25,30378.75,,42.5,1,-1,0,,42.5,0,0,0,0,798,1414.2
1781475720,30377.5,30391.5,30373.75,30382,,42.5,1,-1,0,,42.5,0,0,0,0,1670,1374.35
1781475780,30382,30391.5,30379.25,30391.25,,42.5,1,-1,0,,42.5,0,0,0,0,828,1323.6
1781475840,30392,30395.25,30372.5,30375.25,,42.5,1,-1,0,,42.5,0,0,0,0,1036,1268.55
1781475900,30374.75,30375.75,30352,30369,,42.5,1,-1,0,,42.5,0,0,0,0,1901,1223.05
1781475960,30368.5,30383.75,30351,30352.75,,42.5,1,-1,0,,42.5,0,0,0,0,1599,1246.35
1781476020,30352.75,30355.5,30333,30342.25,,42.5,1,-1,0,,42.5,0,0,0,0,1931,1278.85
1781476080,30341.5,30369,30341.5,30354.75,,42.5,1,-1,0,,42.5,0,0,0,0,1629,1298.6
1781476140,30355.75,30363.5,30346,30353,,42.5,1,-1,0,,42.5,0,0,0,0,1012,1261.1
1781476200,30351,30361.5,30339.25,30358.75,,42.5,1,1,1,,42.5,0,0,0,0,1168,1264.05
1781476260,30359.25,30373.25,30345,30347,,42.5,1,1,1,,42.5,0,0,0,0,1094,1269.65
1781476320,30346.25,30350,30332,30335,,42.5,1,1,1,,42.5,0,0,0,0,1179,1288.9
1781476380,30334.25,30341.5,30312,30317.75,,42.5,1,1,1,,42.5,0,0,0,0,2100,1324.7
1781476440,30318.75,30343.75,30305.5,30338.25,,42.5,1,1,1,,42.5,0,0,0,0,1912,1368.85
1781476500,30337.5,30341.5,30326.75,30335,,42.5,1,1,1,,42.5,0,0,0,0,1124,1346.5
1781476560,30334.5,30345.25,30334,30336,,42.5,1,1,1,,42.5,0,0,0,0,817,1318.15
1781476620,30337.75,30343.25,30335.25,30340.75,,42.5,1,1,1,,42.5,0,0,0,0,466,1297.15
1781476680,30341.75,30349.25,30338.75,30348.5,,42.5,1,1,1,,42.5,0,0,0,0,703,1253.3
1781476740,30348,30349.25,30324,30332.25,,42.5,1,1,1,,42.5,0,0,0,0,1132,1255.4
1781476800,30332,30346.25,30313,30341.75,,42.5,1,1,1,,42.5,0,0,0,0,1697,1289.8
1781476860,30342,30348.25,30335.25,30344.5,,42.5,1,1,1,,42.5,0,0,0,0,1119,1305.85
1781476920,30343.5,30348,30337.25,30342.75,,42.5,1,1,1,,42.5,0,0,0,0,791,1261.9
1781476980,30342.75,30343.5,30332,30338,,42.5,1,1,1,,42.5,0,0,0,0,663,1253.65
1781477040,30337.75,30338.25,30324,30332.25,,42.5,1,1,1,,42.5,0,0,0,0,643,1234
1781477100,30333.5,30340.5,30325,30336.25,,42.5,1,1,1,,42.5,0,0,0,0,847,1181.3
1781477160,30336.25,30338.5,30327.25,30331.75,,42.5,1,1,1,,42.5,0,0,0,0,419,1122.3
1781477220,30332.25,30342.5,30325.75,30338,,42.5,1,1,1,,42.5,0,0,0,0,536,1052.55
1781477280,30338,30353.75,30338,30343.25,,42.5,1,1,1,,42.5,0,0,0,0,1176,1029.9
1781477340,30343.75,30360,30336.5,30358.75,,42.5,1,1,1,,42.5,0,0,0,0,1182,1038.4
1781477400,30359.75,30374.25,30351.25,30356.25,,42.5,1,1,1,,42.5,0,0,0,0,1202,1040.1
1781477460,30356.5,30368.75,30356.25,30357.75,,42.5,1,1,1,,42.5,0,0,0,0,824,1026.6
1781477520,30358.5,30365,30354,30363,,42.5,1,1,1,,42.5,0,0,0,0,669,1001.1
1781477580,30363,30366,30357.75,30358.75,,42.5,1,1,1,,42.5,0,0,0,0,422,917.2
1781477640,30359.5,30361.75,30347.25,30359.25,,42.5,1,1,1,,42.5,0,0,0,0,829,863.05
1781477700,30359.5,30362.75,30352.5,30358.5,,42.5,1,1,1,,42.5,0,0,0,0,433,828.5
1781477760,30357,30368.25,30356.75,30358.25,,42.5,1,1,1,,42.5,0,0,0,0,456,810.45
1781477820,30359.25,30360.75,30351.25,30352.75,,42.5,1,1,1,,42.5,0,0,0,0,593,816.8
1781477880,30353.5,30365.25,30353,30357.25,,42.5,1,1,1,,42.5,0,0,0,0,662,814.75
1781477940,30357.75,30359.25,30345,30347.5,,42.5,1,1,1,,42.5,0,0,0,0,589,787.6
1781478000,30347.75,30364.75,30342.75,30361.75,,42.5,1,1,1,,42.5,0,0,0,0,1058,755.65
1781478060,30359.75,30368.75,30353.5,30353.5,,42.5,1,1,1,,42.5,0,0,0,0,749,737.15
1781478120,30353.75,30353.75,30337,30346,,42.5,1,1,1,,42.5,0,0,0,0,1088,752
1781478180,30345.5,30345.75,30335.5,30340.25,,42.5,1,1,1,,42.5,0,0,0,0,533,745.5
1781478240,30339.75,30344,30336.25,30340.5,,42.5,1,1,1,,42.5,0,0,0,0,419,734.3
1781478300,30341,30353,30333.25,30335,,42.5,1,1,1,,42.5,0,0,0,0,1097,746.8
1781478360,30336.25,30338.75,30331.25,30332.5,,42.5,1,1,1,,42.5,0,0,0,0,489,750.3
1781478420,30332.25,30332.75,30318.25,30322.75,,42.5,1,1,1,,42.5,0,0,0,0,1019,774.45
