time,open,high,low,close,EMA Direction (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1785320400,28013.5,28020.25,28008.75,28013.5,1,0,0,0,0,544,598.75
1785320460,28013.5,28017.25,28007.5,28013.25,1,0,0,0,0,263,584.25
1785320520,28013.5,28016,28008.25,28014.5,1,0,0,0,0,458,581.5
1785320580,28015,28017.75,28009.75,28010.5,1,0,0,0,0,277,572.45
1785320640,28010,28014.5,28004.75,28006.75,1,0,0,0,0,330,566.4
1785320700,28007,28007,27988,27992.25,1,0,0,0,0,981,548
1785320760,27992.5,27994.75,27988.75,27992.5,1,0,0,0,0,596,504.65
1785320820,27992,28001.25,27985.5,27996.25,1,0,0,0,0,529,487.2
1785320880,27995.5,28000.75,27994.25,27999.5,1,0,0,0,0,236,481.65
1785320940,28000.75,28018.25,28000.75,28017.5,1,0,0,0,0,981,509.4
1785321000,28016.25,28023.5,27992.25,27993.75,1,0,0,0,0,1122,533.65
1785321060,27993.5,27998.75,27985.75,27988,-1,0,0,0,0,764,549.65
1785321120,27989,27989.75,27977,27982.75,-1,0,0,0,0,793,565.6
1785321180,27982.75,27992.5,27978.75,27986.5,-1,0,0,0,0,600,565.15
1785321240,27987,27990,27979.25,27979.5,-1,0,0,0,0,356,558.45
1785321300,27980.25,27980.75,27973.25,27978.5,-1,0,0,0,0,773,574.4
1785321360,27978.75,27982.5,27973,27979.75,-1,0,0,0,0,418,574.95
1785321420,27978.5,27981,27966.25,27970.25,-1,0,0,0,0,614,586.8
1785321480,27969.75,27972.5,27954,27957.5,-1,0,0,0,0,869,607.1
1785321540,27958.25,27969.5,27957.25,27962.25,-1,0,0,0,0,673,608.85
1785321600,27962.75,27965.25,27956.5,27960.25,-1,0,0,0,0,564,609.85
1785321660,27960.5,27984.5,27960.5,27978.75,-1,0,0,0,0,948,644.1
1785321720,27978.25,27981,27973.75,27976,-1,0,0,0,0,468,644.6
