time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785525060,28432.75,28438.5,28424.25,28426.75,1,0,0,1623,2315.5
1785525120,28427.25,28443.25,28419,28439.5,1,0,0,2840,2374.55
1785525180,28439.75,28442.5,28435.5,28436,1,0,0,1361,2369.7
1785525240,28436,28440.25,28431.25,28432.5,1,0,0,1120,2361.95
1785525300,28433,28444.75,28426.5,28442,1,0,0,1972,2317.7
1785525360,28441.25,28446,28433,28437.25,1,0,0,1584,2273.05
1785525420,28437,28456,28435.25,28454.75,1,0,0,2819,2268.2
1785525480,28455,28473,28454.25,28470.5,1,0,0,4362,2408.2
1785525540,28471,28488,28470,28485,1,0,0,4111,2511.95
1785525600,28485.5,28492.25,28478.75,28487.5,1,0,0,3674,2499.7
1785525660,28487.25,28495.5,28483.75,28488,1,0,0,3104,2542.5
1785525720,28488.5,28498.5,28486.75,28488.25,1,0,0,2892,2569.65
1785525780,28488.5,28492.5,28476.5,28479,1,0,0,3156,2613.95
1785525840,28479.75,28481.25,28467.5,28470.25,1,0,0,3930,2705.6
1785525900,28470.25,28471.5,28460.5,28466,1,0,0,2598,2641.35
1785525960,28465.75,28480.5,28465.75,28472.75,1,0,0,2349,2637.85
1785526020,28472.25,28478.5,28468.25,28472.5,1,0,0,1582,2586.8
1785526080,28472.5,28478,28471.25,28474.25,1,0,0,1366,2529.45
1785526140,28473.75,28478,28467.5,28475.25,1,0,0,1380,2498.55
1785526200,28475,28481.75,28443.5,28453.75,1,0,0,5315,2656.9
1785526260,28453.75,28454.75,28441.75,28450.75,1,0,0,2827,2717.1
1785526320,28451.25,28456,28442,28454.75,1,0,0,2434,2696.8
1785526380,28454.75,28461.25,28449,28451,1,0,0,2131,2735.3
1785526440,28451,28464.25,28447.75,28459.5,1,0,0,1949,2776.75
1785526500,28460.25,28469.5,28453.25,28465.25,1,0,0,3189,2837.6
1785526560,28465.25,28473.75,28459.5,28470.5,1,0,0,2445,2880.65
1785526620,28470.25,28471,28457.5,28462.75,1,0,0,2007,2840.05
1785526680,28462.25,28467.25,28451.25,28460,1,0,0,2161,2730
1785526740,28459.75,28463.75,28456,28458.75,1,0,0,1501,2599.5
1785526800,28458.5,28461,28445,28448,1,0,0,2130,2522.3
1785526860,28448.25,28454,28435.25,28437.75,1,0,0,3311,2532.65
1785526920,28437.5,28451,28434.25,28450.25,1,0,0,2335,2504.8
1785526980,28450.5,28475,28450.25,28474.5,1,0,0,3367,2515.35
1785527040,28474.5,28485,28468.75,28477.25,1,0,0,3426,2490.15
1785527100,28477.5,28498.5,28477.25,28485.5,1,0,0,4726,2596.55
1785527160,28485,28506.25,28485,28498.25,1,0,0,3857,2671.95
1785527220,28498.75,28505.75,28482.25,28484,1,0,0,3333,2759.5
1785527280,28483.5,28489.5,28481,28486.75,1,0,0,1997,2791.05
1785527340,28486.75,28510.75,28484,28509,1,0,0,2876,2865.85
1785527400,28508.75,28518.5,28487.75,28491.25,1,0,0,6526,2926.4
1785527460,28492,28492,28473.75,28482,1,0,0,4187,2994.4
1785527520,28482,28504.25,28480.25,28500.5,1,0,0,2973,3021.35
1785527580,28500.25,28516.25,28492.25,28512,1,0,0,3617,3095.65
1785527640,28512.5,28524.5,28501,28507,1,0,0,7140,3355.2
1785527700,28508,28517.5,28461.75,28471.75,1,0,0,7075,3549.5
1785527760,28471,28481.25,28469.5,28474,1,0,0,2844,3569.45
1785527820,28474.75,28479.25,28455.25,28457.5,1,0,0,3823,3660.25
1785527880,28457,28465.5,28448,28458.25,1,0,0,4275,3765.95
1785527940,28458.25,28462,28383.5,28403,-1,0,0,16066,4494.2
1785528000,28402.5,28436,28400.5,28409.25,-1,0,0,8171,4796.25
1785528060,28409.5,28413,28386.25,28387.25,-1,0,0,3866,4824
1785528120,28388,28389.25,28340.5,28353.25,-1,0,0,6892,5051.85
1785528180,28353.25,28362.25,28344,28350.5,-1,0,0,2960,5031.5
1785528240,28350.5,28368.75,28346.5,28363.5,-1,0,0,2583,4989.35
1785528300,28362.75,28375,28347.75,28360.25,-1,0,0,2656,4885.85
1785528360,28359.25,28380.5,28356.25,28375,-1,0,0,2590,4822.5
1785528420,28374,28378.75,28361.25,28373.5,-1,0,0,1333,4722.5
1785528480,28372.5,28395,28369.5,28391.75,-1,0,0,2124,4728.85
1785528540,28392.25,28400.5,28386,28391.25,-1,0,0,1873,4678.7
1785528600,28391.5,28403.5,28387.5,28395.75,-1,0,0,1663,4435.55
1785528660,28396.25,28401.5,28390.25,28392.25,-1,0,0,874,4269.9
1785528720,28392.25,28400.75,28390.25,28393.5,-1,0,0,1205,4181.5
1785528780,28394,28406,28394,28396.25,-1,0,0,1097,4055.5
1785528840,28396.25,28401,28392.25,28393.75,-1,0,0,956,3746.3
1785528900,28393.75,28395.5,28376.25,28377.75,-1,0,0,1620,3473.55
1785528960,28377.5,28380.75,28364.25,28374.25,-1,0,0,1302,3396.45
1785529020,28374.25,28393.5,28370.75,28391.5,-1,0,0,1511,3280.85
1785529080,28392,28393,28381.5,28385.75,-1,0,0,660,3100.1
1785529140,28386.25,28386.5,28375.5,28381.75,-1,0,0,860,2339.8
1785529200,28381.75,28382.5,28378,28381.25,-1,0,0,387,1950.6
1785529260,28380.75,28381,28376.25,28376.75,-1,0,0,473,1780.95
1785529320,28376.75,28388.75,28374.25,28377,-1,0,0,698,1471.25
1785529380,28377,28384,28376.75,28377,-1,0,0,405,1343.5
1785529440,28377.5,28382.25,28374.25,28374.75,-1,0,0,485,1238.6
1785529500,28374.5,28380.25,28370.25,28379.5,-1,0,0,567,1134.15
1785529560,28378.75,28380,28370,28371.25,-1,0,0,378,1023.55
1785529620,28371.5,28373.5,28360.25,28366.5,-1,0,0,927,1003.25
1785529680,28366.5,28370.75,28361.75,28370,-1,0,0,586,926.35
1785529740,28370,28374,28368,28371.75,-1,0,0,589,862.15
1785529800,28371,28377,28355.75,28363,-1,0,0,1367,847.35
1785529860,28363.25,28368.25,28356,28361.5,-1,0,0,516,829.45
1785529920,28361.5,28378,28358.5,28375,-1,0,0,908,814.6
1785529980,28375.5,28390.75,28372.25,28383.75,-1,0,0,889,804.2
1785530040,28383.5,28400.5,28381.5,28394.5,-1,0,0,1117,812.25
1785530100,28394.25,28395,28384.5,28385.5,-1,0,0,754,768.95
1785530160,28385.5,28393,28381.75,28390.75,-1,0,0,664,737.05
1785530220,28391.5,28395,28388.75,28390.5,-1,0,0,413,682.15
1785530280,28391,28396.5,28387.5,28393.5,-1,0,0,470,672.65
1785530340,28393.25,28394.25,28389,28392.25,-1,0,0,332,646.25
1785530400,28391.75,28392.75,28387.25,28392.5,-1,0,0,364,645.1
