time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume
1748239200,21202,21285.75,21189.25,21250.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74180
1748253600,21250.75,21307.75,21245.5,21279.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70594
1748268000,21279.75,21296.25,21215.5,21284.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88015
1748296800,21284.5,21292.5,21173,21176,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85034
1748311200,21175.75,21218.5,21142,21208.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59797
1748325600,21208.25,21360,21204.5,21332.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107729
1748340000,21333.25,21351.5,21193.25,21295.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,255419
1748354400,21294.25,21480.25,21292,21476.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424366
1748368800,21477,21488.25,21413,21477.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222816
1748383200,21478.5,21484.75,21452.25,21463,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50332
1748397600,21462.75,21477,21434.5,21452.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38390
1748412000,21452.5,21462.25,21407,21430.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63899
1748426400,21429.75,21564.75,21424,21466.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272959
1748440800,21467,21491.25,21426.25,21469.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399991
1748455200,21469.75,21528.75,21320,21525,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341669
1748469600,21518,21833.25,21490,21794.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228609
1748484000,21794.25,21825,21775.75,21805.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70984
1748498400,21804.75,21858.75,21746.25,21785,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93321
1748512800,21785.75,21788,21485.5,21518,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345475
1748527200,21517.75,21534,21301,21372.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,682555
1748541600,21372.5,21447.75,21317,21384.5,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,274298
1748556000,21370.75,21397,21268.25,21342.25,0,1,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,102420
1748570400,21343,21412.5,21330.75,21387.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,57578
1748584800,21386.5,21398,21319.25,21363,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76050
1748599200,21363.25,21421.5,21226,21260,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312291
1748613600,21258.75,21399.5,21071.5,21176.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,703803
1748628000,21176.5,21433.25,21174.75,21369,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349817
1748815200,21304.5,21348.5,21267,21278.75,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,89465
1748829600,21278.25,21285,21213,21231.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64667
1748844000,21231.25,21268,21163,21225.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,95966
1748858400,21225.5,21458,21214.5,21308,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254603
1748872800,21308,21475.25,21234.5,21445.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478606
1748887200,21445.5,21576.75,21426.75,21554.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201676
1748901600,21551.75,21554.75,21466,21486.75,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64259
1748916000,21487,21490.75,21437.25,21464.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44858
1748930400,21464.5,21481,21398.25,21450.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78770
1748944800,21451,21606,21437.25,21589.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241040
1748959200,21593.25,21759.75,21557.5,21717.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451657
1748973600,21718.25,21726,21635,21688,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257754
1748988000,21685.75,21727,21671.5,21681.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52787
1749002400,21682,21696.25,21667,21694.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33186
1749016800,21695,21748.75,21674.5,21736.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64826
1749031200,21736.75,21793.5,21655.25,21749.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252506
1749045600,21712,21791,21641,21786.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522749
1749060000,21786,21802.75,21740.75,21747.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195997
1749074400,21745.25,21774.25,21712,21756,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45091
1749088800,21756.75,21759.75,21723.25,21734.25,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28562
1749103200,21734,21842.5,21723.5,21776.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82855
1749117600,21775.75,21899,21691.75,21723.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318116
1749132000,21724,21936.25,21660,21729.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693765
1749146400,21729.75,21740.25,21503.5,21513.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441507
1749160800,21487.5,21600.75,21471,21584.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76633
1749175200,21584.5,21669.75,21572,21657.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43420
1749189600,21657.75,21691.25,21629.25,21685.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67725
1749204000,21685.25,21863.5,21642.25,21840,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290046
1749218400,21840,21870.25,21721.5,21821.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526407
1749232800,21822.25,21880,21780.25,21809.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214309
1749420000,21799.25,21821,21726.75,21742.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82535
1749434400,21742,21755.75,21716.5,21746.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45280
1749448800,21746.75,21800.5,21732,21780,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64894
1749463200,21779.5,21824,21750.25,21787,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201778
1749477600,21787.25,21892.5,21787.25,21867.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425368
1749492000,21867,21878.75,21796.5,21821.5,1,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,169804
1749506400,21822,21973.5,21815,21966.5,0,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78361
1749520800,21966.5,21968.5,21756.5,21828.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106508
1749535200,21829,21841.75,21732,21829.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97427
1749549600,21828.25,21893.25,21804.5,21857.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220034
1749564000,21857,21930.5,21743,21873.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453924
1749578400,21873,21992.25,21821,21951.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278183
1749592800,21950.75,22002,21881.75,21907.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91671
1749607200,21908.25,21917.5,21866.25,21881.5,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43991
1749621600,21881,21959.75,21874,21916.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60812
1749636000,21916.75,22094,21881.5,21980.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345905
1749650400,21980.75,22066.75,21907.25,21917.5,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,542170
1749664800,21917.25,21930.5,21790.25,21882.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439858
1749679200,21871,21895,21753.5,21786.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101657
1749693600,21786.75,21840,21772.75,21827,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51442
1749708000,21826.5,21858.75,21716.5,21810.25,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112716
1749722400,21810,21892,21720,21857.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270522
1749736800,21857,21977.5,21839.75,21936.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522485
1749751200,21936.5,21953,21892,21908.25,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,182271
1749765600,21911,21920,21489,21612.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264691
1749780000,21612.75,21614.5,21470.5,21569.75,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,117434
1749794400,21569.5,21664,21563,21621.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119953
1749808800,21621.75,21796.25,21593,21731.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263813
1749823200,21731.25,21855.75,21617.5,21788,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,548820
