time,open,high,low,close
1659690000,13325,13334.25,13307.25,13322.25
1659693600,13322.25,13322.75,13294.5,13304.25
1659697200,13304.5,13338.75,13290.5,13335.5
1659700800,13335,13351,13119.25,13137.25
1659704400,13137.25,13211.25,13107.5,13182
1659708000,13182.25,13310,13167,13229.25
1659711600,13229.25,13229.5,13085.5,13123.5
1659715200,13124,13202.75,13121.25,13199.75
1659718800,13199.5,13242.25,13177.75,13192.25
1659722400,13192.75,13198.25,13145.25,13166.75
1659726000,13166.75,13237.5,13157,13226.5
1659729600,13226,13230.25,13203.5,13214.75
1659909600,13226,13289.75,13168,13183.25
1659913200,13183.5,13187,13174.75,13177.75
1659916800,13178.25,13198,13175.75,13192.5
1659920400,13192.25,13199,13180.25,13197.5
1659924000,13197,13219,13193.75,13215
1659927600,13215.25,13224.75,13210,13213.5
1659931200,13213.75,13233,13213.25,13230.75
1659934800,13230.75,13262.5,13228.25,13251
1659938400,13251,13271.5,13247,13266.75
1659942000,13267.25,13303,13264.25,13290.75
1659945600,13290.5,13306.25,13269.25,13285
1659949200,13285.25,13297.5,13264,13276.25
1659952800,13276.5,13324,13272.25,13323
1659956400,13322.5,13329.75,13293.5,13321.75
1659960000,13322,13349,13315,13347.75
1659963600,13347.75,13411.75,13231.75,13392
1659967200,13392.5,13419.5,13312.75,13326.5
1659970800,13326.75,13357,13196.75,13252
1659974400,13252.25,13261.5,13157.5,13196.25
1659978000,13196.25,13232,13170.75,13210.75
1659981600,13211.25,13212,13120.5,13147
1659985200,13147.5,13188,13132.5,13181.5
1659988800,13181.5,13214,13178,13212.5
1659996000,13210.75,13212,13195.25,13198.25
1659999600,13198,13233.5,13190.25,13220.75
1660003200,13220,13226.75,13201,13202.25
1660006800,13202.75,13203.25,13168,13173.5
1660010400,13173.25,13198.25,13172.75,13197
1660014000,13197,13225,13194.75,13221.5
1660017600,13222.25,13224.25,13209.5,13217.5
1660021200,13217,13218,13203.75,13207.25
1660024800,13207,13207.75,13185.5,13200.5
1660028400,13201,13223.25,13175.25,13191.75
1660032000,13191.5,13204,13168.25,13195
1660035600,13195.25,13202,13162.25,13165.25
1660039200,13165.25,13171,13100.75,13116
1660042800,13116.25,13133.5,13082.75,13090.5
1660046400,13090.75,13116,13076.5,13100.75
1660050000,13101,13112.25,12993.5,13001.5
1660053600,13001.75,13062.5,12973,13026.75
1660057200,13026.75,13067.5,12983.75,13011.5
1660060800,13012,13019.75,12963.25,12984.25
1660064400,12984.25,13032,12972.5,13024.5
1660068000,13024.25,13050.5,12989.25,13030.25
1660071600,13030.75,13059.75,13020.5,13032.25
1660075200,13032.5,13056.5,13032,13056
1660082400,13048.5,13055.75,13041,13045.5
1660086000,13045.75,13054,13038.5,13052.75
1660089600,13052.25,13055,13015.25,13018.5
1660093200,13018,13041.5,13017.5,13027
1660096800,13026.75,13029,13006.25,13018.75
1660100400,13019.25,13024,13009.5,13013.25
1660104000,13012.75,13026.5,13012.75,13022.5
1660107600,13022.5,13024,12999.5,13000.25
1660111200,13000.5,13007,12984,13002.25
1660114800,13002.25,13042.5,12981.75,13028.25
1660118400,13028.5,13094.75,13024.5,13088.25
1660122000,13089,13103,13064.5,13073
1660125600,13073,13074,13047.5,13058
1660129200,13058.25,13087.75,13052,13087
1660132800,13087,13373.5,13034.25,13327.25
1660136400,13327.75,13355,13268.25,13318.25
1660140000,13318.5,13341.25,13237.5,13330.75
1660143600,13331,13382.5,13331,13378.75
1660147200,13378.75,13388.5,13316.25,13341.5
1660150800,13341.75,13389.5,13319.5,13370.5
1660154400,13371,13381.25,13337,13338.75
1660158000,13339,13408,13332.75,13393.75
1660161600,13393.75,13396.75,13376.5,13381.25
1660168800,13380.25,13381.5,13370,13376.5
1660172400,13376.5,13403.25,13375.75,13399
1660176000,13399.5,13453,13398.25,13449.5
1660179600,13449.5,13458.25,13437.75,13443.25
1660183200,13443.25,13451.75,13428,13433
1660186800,13433,13454,13432.5,13443.5
1660190400,13443.5,13451.75,13435,13436
1660194000,13436,13446.25,13433.5,13440.5
1660197600,13441,13482.25,13423.5,13466.75
1660201200,13466.25,13472.75,13429,13442.5
1660204800,13442.5,13443.5,13386.75,13409.5
1660208400,13409.25,13441.5,13401.25,13428
1660212000,13428,13428.75,13404.25,13414.25
1660215600,13414.25,13454,13408.75,13450.75
1660219200,13450.75,13510.5,13449.25,13504.25
1660222800,13504.25,13513.5,13456,13493.75
1660226400,13494.25,13575.75,13466,13485.25
1660230000,13485.75,13493,13361.25,13390.25
1660233600,13390.75,13431,13372.75,13421.5
1660237200,13422.25,13442.5,13383.5,13391
1660240800,13391.5,13391.75,13294.25,13320.25
1660244400,13320,13334,13284.75,13317.25
1660248000,13317.25,13347,13316.75,13346.5
1660255200,13347.5,13347.75,13318.75,13329
1660258800,13328.75,13336.75,13324,13335.75
1660262400,13335.75,13359.25,13312.25,13315.5
1660266000,13315.75,13337.25,13314.5,13321.25
1660269600,13321.25,13343.25,13320,13341.25
1660273200,13341.25,13349,13335,13344.25
1660276800,13344.25,13348.5,13338.25,13341.5
1660280400,13340.25,13354.5,13339.25,13353.25
1660284000,13353.5,13365.5,13348.25,13360.5
1660287600,13360.5,13404.25,13335.25,13390.75
1660291200,13391,13408,13376.75,13385
1660294800,13384.75,13405.25,13379,13394.75
1660298400,13395.25,13395.25,13362.75,13368.75
1660302000,13368.75,13371.5,13342.5,13364.5
1660305600,13364.75,13394,13356.25,13392
1660309200,13392,13436,13359,13427.5
1660312800,13410.5,13462.25,13364.75,13432.25
1660316400,13432,13489.5,13425.75,13457.25
1660320000,13457.25,13499.5,13453.5,13481.25
1660323600,13481.25,13512.5,13476,13504.25
1660327200,13504.5,13543.75,13502.25,13542
1660330800,13542.25,13583,13535,13579.5
1660334400,13579.5,13583,13562.75,13580.5
1660514400,13572,13577,13545,13553.75
1660518000,13553.5,13565.5,13538.5,13540.25
1660521600,13541,13558.25,13540.25,13548.25
1660525200,13547.75,13560,13529,13557.5
1660528800,13557.75,13559.25,13534.5,13539.5
1660532400,13539,13550.25,13534.75,13545
1660536000,13544.75,13548.5,13540.5,13546
1660539600,13546.25,13553.5,13535.75,13544.75
1660543200,13544.75,13557.75,13540,13543
1660546800,13543,13547.5,13501.5,13509
1660550400,13508.75,13532.25,13507.5,13516.25
1660554000,13516,13524.25,13495.75,13521.5
1660557600,13521,13549,13516,13548.5
1660561200,13548.75,13551.75,13514.25,13525.25
1660564800,13525.25,13549.75,13501.5,13506.25
1660568400,13506.25,13635,13504.25,13617.5
1660572000,13617.75,13619.5,13538,13557.5
1660575600,13558,13662.75,13541.25,13655
1660579200,13655.5,13670.5,13635.75,13665.75
1660582800,13666,13677.5,13643.25,13661
1660586400,13661.25,13683.5,13641,13679.5
1660590000,13679.25,13705.75,13672.75,13685.25
1660593600,13685,13686.25,13668.25,13679
1660600800,13673.5,13680.25,13665,13671.25
1660604400,13671,13686.5,13669,13681.25
1660608000,13681.25,13681.5,13658,13660.5
1660611600,13660.5,13667.75,13646.75,13661.75
1660615200,13661.75,13681.75,13659,13675.75
1660618800,13676,13676.5,13659,13663.25
1660622400,13663,13674.5,13662.5,13670.25
1660626000,13670.5,13672.75,13656.5,13670.75
1660629600,13670.5,13672,13649,13649.75
1660633200,13649.25,13655.5,13626.5,13653.5
1660636800,13653.5,13688,13648,13675.75
1660640400,13675.5,13678.25,13644.5,13655.25
1660644000,13654.75,13660,13640,13655
1660647600,13654.75,13677.75,13645.5,13664.5
1660651200,13665,13682,13629.25,13647.75
1660654800,13647.75,13659.75,13583,13611.75
1660658400,13612.5,13613.75,13522.75,13557
1660662000,13557.5,13681.25,13552,13673.5
1660665600,13674,13684.25,13631.25,13649.5
1660669200,13650.5,13702.5,13646,13698.25
1660672800,13698.5,13740.5,13581.25,13621.5
1660676400,13621.25,13688.25,13592.5,13653.75
1660680000,13654,13664.25,13638.25,13662.75
1660687200,13663,13663,13642.25,13646
1660690800,13646.5,13657,13639.25,13652
1660694400,13652,13671.5,13643.5,13655.25
1660698000,13655.25,13655.5,13637.25,13650.5
1660701600,13651.25,13652.75,13639.5,13644
1660705200,13644.5,13649.5,13641,13646.5
1660708800,13646.5,13658.25,13645.75,13655
1660712400,13654.75,13673.25,13651.75,13669.5
