time,open,high,low,close
1730412000,19985.5,19985.8,19965.4,19978
1730412900,19979.2,19988.6,19971.5,19986.1
1730413800,19986,20012.5,19982.2,19998.2
1730414700,19997.7,20006,19980.1,19992.4
1730415600,19991.6,20000.4,19967.5,19974.2
1730416500,19974.1,19993.4,19974.1,19988.2
1730417400,19988.4,19989.4,19976.6,19984.1
1730418300,19984,19986,19972.2,19975
1730419200,19974.8,19975.8,19951.4,19969.2
1730420100,19969,19986,19955.1,19983.8
1730421000,19983.8,19983.8,19966.8,19976.8
1730421900,19976.6,19985.1,19971.4,19974
1730422800,19973.9,19982.6,19967.9,19979.2
1730423700,19979.4,19982.8,19969.4,19972.4
1730424600,19971.2,19973.1,19960,19966.2
1730425500,19966.8,19968.9,19954.4,19959
1730426400,19959.6,19959.6,19919.2,19930.4
1730427300,19930.4,19965.6,19922.4,19965
1730428200,19964.9,19969.6,19960,19965.2
1730429100,19965.2,19976.4,19964.4,19976.2
1730430000,19976.1,19996.9,19973.4,19996.7
1730430900,19996.4,20002.2,19991.8,19993.9
1730431800,19994,20000.9,19990,19995.4
1730432700,19995.4,20000.2,19986.4,19988.1
1730433600,19988.4,19993.8,19985.8,19992.4
1730434500,19992.4,19997,19988.4,19993.6
1730435400,19992.8,20001.2,19990.4,19997
1730436300,19997.4,19997.4,19974.9,19982.8
1730437200,19982.4,19998.9,19978.4,19997.8
1730438100,19997.4,20018.9,19994.2,20018.8
1730439000,20018.9,20026.2,20015.8,20020.4
1730439900,20020.4,20027.9,20010.4,20022.2
1730440800,20022.6,20024.6,20012,20012.4
1730441700,20012.1,20013.4,19984.1,19991
1730442600,19991.2,19997.9,19984.4,19992
1730443500,19992.1,19998.9,19963.4,19977
1730444400,19976.8,19993.2,19969.8,19978.2
1730445300,19978.2,19994.1,19956.8,19960
1730446200,19959.7,19978.1,19959.2,19976.4
1730447100,19975.6,19999.4,19975.4,19991.4
1730448000,19991.4,20017.8,19986.9,20009.4
1730448900,20009.2,20012,19994.4,20006.8
1730449800,20005.2,20012.8,19993.4,20004.8
1730450700,20004.8,20004.8,19982.9,19997.4
1730451600,19998,20009.4,19990.6,20009.2
1730452500,20009.4,20013.2,19996.4,20009.4
1730453400,20009.9,20010.2,19989.4,19994.1
1730454300,19994.2,19997.9,19988.2,19995.8
1730455200,19996.4,20007.2,19989.6,20002.4
1730456100,20002.2,20012.9,19999.1,20006
1730457000,20006.4,20012.2,19999.4,20001.9
1730457900,20003.6,20021.8,20003.2,20012.8
1730458800,20012.6,20016.5,19993.8,20006.4
1730459700,20006.6,20017,20006.4,20013.1
1730460600,20013.2,20032,20012.9,20022.4
1730461500,20022.8,20022.8,20003,20010.2
1730462400,20011.6,20020.6,20011.4,20017
1730463300,20016.6,20021.6,19998.4,20001.4
1730464200,20002.2,20047.2,19984.6,20036
1730465100,20035.6,20036.1,20004.9,20014.9
1730466000,20015,20015,19984.6,19997.1
1730466900,19997.4,20001.1,19965.9,19970.1
1730467800,19969,20065.8,19958.8,20051.3
1730468700,20051.2,20076.5,20027.2,20069.8
1730469600,20071.4,20122.5,20033.4,20115.8
1730470500,20116.1,20171.6,20110.8,20171.6
1730471400,20172.1,20177.6,20080.8,20098.1
1730472300,20098.2,20137.6,20058.3,20136.6
1730473200,20136.3,20167.2,20115.1,20166.3
1730474100,20166.2,20190,20133.2,20185.5
1730475000,20186,20189.5,20140.9,20147
1730475900,20147.3,20156.8,20111.3,20125
1730476800,20125.3,20156.5,20119,20146.8
1730477700,20147.3,20151.4,20120.5,20123.5
1730478600,20123.4,20155.5,20097,20100.6
1730479500,20101.3,20127.5,20094.3,20113.5
1730480400,20114.2,20120.3,20071.8,20108.8
1730481300,20109.3,20155,20107,20149
1730482200,20149.4,20151.5,20067,20073.3
1730483100,20074.5,20103.3,20059,20060.5
1730484000,20060.4,20082,20040,20053.5
1730484900,20052,20077.3,20030.9,20064.3
1730485800,20063.6,20069.9,20051,20067.3
1730486700,20067,20082,20055.3,20069
1730487600,20068.8,20104.8,20057.3,20104.5
1730488500,20104.2,20104.2,20059.3,20059.8
1730489400,20060.2,20090.5,20053,20072
1730490300,20072,20081.3,20025.9,20049.4
1730491200,20049.5,20087.2,20048.6,20079.1
1730492100,20079.2,20083.6,20064.2,20073.1
1730493000,20072,20080.7,20066.3,20074.3
1730493900,20074,20075.1,20063.6,20072.8
1730674800,20007.6,20010.8,19974.3,20003.4
1730675700,20003.5,20042,19999,20039
1730676600,20039.5,20060.3,20038.8,20053.8
1730677500,20054,20055.8,20037.2,20037.3
1730678400,20039.4,20040.6,20021.4,20033
1730679300,20031.8,20048.2,20030.8,20038.8
1730680200,20039.8,20040,20025,20026.8
1730681100,20027,20038.3,20023.8,20032.2
1730682000,20032.2,20036.6,20026.8,20033.2
1730682900,20033,20058.8,20031.6,20050.2
1730683800,20050.3,20077.6,20049.3,20071.6
1730684700,20071.5,20102.5,20070.4,20093.3
1730685600,20093.6,20103.3,20086.5,20087.2
1730686500,20087.5,20131.6,20087,20129.6
1730687400,20129.6,20151.2,20118.2,20120.5
1730688300,20120.6,20126.8,20108.2,20113.8
1730689200,20114.5,20124.3,20108.8,20120.4
1730690100,20121.6,20132.8,20120.2,20132.4
1730691000,20132.5,20135.4,20116,20118.8
1730691900,20118.8,20127.3,20117.6,20121.6
1730692800,20121.6,20126.9,20118.8,20126.2
1730693700,20126,20130.9,20118.4,20129.8
1730694600,20130.3,20139,20122.8,20139
1730695500,20139.2,20143.8,20131.6,20136.6
1730696400,20136.3,20136.4,20121,20126.4
1730697300,20126.8,20130.3,20122.8,20128.8
1730698200,20128.8,20128.9,20123.8,20125.9
1730699100,20125.6,20133,20123.3,20132.8
1730700000,20133,20147.1,20130.2,20144.6
1730700900,20145.4,20149.4,20143.4,20145.6
1730701800,20144.8,20149.8,20141.4,20147.8
1730702700,20148,20149.8,20136.2,20140.4
1730703600,20139.8,20146.2,20126.6,20127.6
1730704500,20127.5,20133.6,20119.4,20119.6
1730705400,20120.2,20120.2,20095,20101.4
1730706300,20100.8,20101.2,20076.4,20082
1730707200,20084.2,20093.2,20068,20091.6
1730708100,20090.8,20107,20074.3,20081.6
1730709000,20080.6,20086.8,20043.8,20047.8
1730709900,20049.4,20071.2,20037.8,20070.8
1730710800,20070.6,20071.6,20052.2,20060
1730711700,20059.8,20068.6,20049,20055.6
1730712600,20055.6,20058.6,20038.6,20058
1730713500,20057.6,20074.2,20056.2,20067.8
1730714400,20067.8,20091.8,20066.3,20088.6
1730715300,20088.6,20095.8,20072.2,20093.6
1730716200,20093.8,20114.4,20090.6,20110.3
1730717100,20110.4,20111.4,20095.8,20101.2
1730718000,20101,20105.6,20081.8,20088
1730718900,20088.2,20093.5,20071.4,20071.4
1730719800,20072.4,20091,20071.6,20089.6
1730720700,20089.1,20092.8,20074.8,20084.4
1730721600,20085.6,20096.6,20072.3,20075.4
1730722500,20076.4,20076.5,20032.8,20043.6
1730723400,20043.8,20046.6,20003.5,20022.8
1730724300,20022.8,20071.5,20020.3,20068.2
1730725200,20068.8,20081.6,20050.4,20051.2
1730726100,20051.3,20072.2,20044.6,20063.8
1730727000,20063.8,20080.5,20056.5,20057.4
1730727900,20057.6,20069,20039.8,20049.3
1730728800,20049.4,20050.4,20021.5,20023.2
1730729700,20023.3,20034.8,19989.8,20023.6
1730730600,20022.8,20043.6,19916,20012.4
1730731500,20013.4,20038.3,19996,20033.4
1730732400,20033.5,20058.3,20022.4,20031.8
1730733300,20031.8,20106.8,20024.4,20085.8
1730734200,20086.5,20098,20064.2,20089.8
1730735100,20089.5,20112.1,20066.2,20088.5
1730736000,20088.6,20129,20087.6,20117.3
1730736900,20117,20122,20075.5,20080.3
1730737800,20080.8,20084.3,19998.6,20010.5
1730738700,20010,20012.3,19955.5,19979.8
1730739600,19979.8,19994.8,19940.2,19969.3
1730740500,19969,20026.5,19965.4,20024.3
1730741400,20025,20045.8,20012.4,20031.4
1730742300,20031.5,20058,20028,20039.6
1730743200,20039.8,20059.6,19995.5,20049
1730744100,20049.2,20077.6,20041.5,20048.3
1730745000,20048,20071.8,20040,20071.3
1730745900,20070.8,20086.8,20056,20060
1730746800,20061.6,20080.2,20056.5,20070.5
1730747700,20070.6,20073.7,20040.4,20043.8
1730748600,20043.5,20074.5,20034.4,20058.8
1730749500,20058.7,20063.2,20045,20047.3
1730750400,20047,20052.8,20027.5,20028
1730751300,20027.3,20051.5,20020.5,20029.5
1730752200,20029.7,20031,19981.5,20011.3
1730753100,20011,20019.8,19986.5,19996.3
1730754000,19996.8,20026.2,19984.4,20015.6
1730754900,20015.6,20026.6,20015.1,20022.1
1730755800,20022.2,20025.6,20013.6,20014
1730756700,20013.8,20022,20013.8,20018.8
1730761200,20031,20035.8,20018.8,20019
1730762100,20018.8,20024.2,20005.6,20007.2
1730763000,20007,20025.4,20006.4,20020.2
1730763900,20020.4,20020.4,19996.2,19999.2
1730764800,19999.3,20001.1,19986.6,19989.6
1730765700,19989.8,19998.8,19985.2,19993.4
1730766600,19993.2,19999.6,19986.6,19991.4
1730767500,19990.1,20000.2,19983.4,19987.4
1730768400,19987.4,19988.4,19965.6,19982.4
1730769300,19982.2,19986.6,19961.4,19968.4
1730770200,19968.1,19972.6,19953.6,19972.4
1730771100,19972.4,20020.4,19972,20011.6
1730772000,20010.6,20011,19991.6,19998.4
1730772900,19997.4,20014.6,19994.8,20014.4
1730773800,20014.2,20023,20009.6,20012
1730774700,20012.1,20016.6,20005.8,20014.6
1730775600,20014.4,20014.8,20008,20013.2
1730776500,20013.4,20026.1,20008,20026
1730777400,20025.7,20027.1,20009.9,20012.2
1730778300,20011.8,20022.8,20009.6,20014.4
1730779200,20013.8,20017.1,20006,20010.4
1730780100,20010.6,20016.1,20006.2,20013.2
1730781000,20013.3,20014,19994.6,19996.8
1730781900,19997,19999.8,19993.8,19996
1730782800,19996.2,20014.9,19996.2,20005.6
1730783700,20005.8,20016.1,20005.3,20013.2
1730784600,20014.1,20020.4,20013.2,20017.8
1730785500,20017.6,20018.4,20010.6,20014
1730786400,20014.1,20019.6,20010.6,20014.4
1730787300,20014.6,20022.6,20012,20017.6
1730788200,20017.2,20035.6,20017,20034.9
1730789100,20034.4,20035.6,20026.4,20029.2
1730790000,20029.8,20049.6,20023.6,20048.2
1730790900,20047.6,20053.4,20035.4,20036.3
1730791800,20036.2,20038.4,20028.8,20032.4
1730792700,20032,20042.4,20026.1,20038.2
1730793600,20039.2,20040,20013.4,20017.8
1730794500,20018.4,20033.4,20018.4,20032.6
1730795400,20032.4,20050.4,20027.4,20044.6
1730796300,20045,20058.6,20039.8,20058.2
1730797200,20057.3,20078.4,20048,20072.4
1730798100,20072.6,20077.4,20068.4,20071
1730799000,20070.8,20077.6,20062,20073
1730799900,20073.1,20073.2,20058.8,20061.3
1730800800,20060.6,20060.6,20037.4,20037.4
1730801700,20037.4,20053,20024.6,20049
1730802600,20049.1,20055,20043.8,20050.4
1730803500,20051.1,20056.3,20040.8,20054.3
1730804400,20054.4,20070.3,20054.2,20068.4
1730805300,20068.4,20074.6,20062.6,20071.2
1730806200,20071.6,20078.6,20064.4,20078.2
1730807100,20077.8,20082.3,20065.4,20065.6
1730808000,20065.6,20079.3,20062.4,20070.6
1730808900,20070.6,20075.6,20044.6,20046.4
