time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1048197600,1089,1108.6,1084,1100,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,1.0101010101010102,,
1048456800,1100,1100,1052.6,1054.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709,-3.2047750229568495,-3.2047750229568495,-4.172727272727281,-4.172727272727281,-4.172727272727281,-4.172727272727281,,
1048543200,1054.1,1083.7,1049.6,1071.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684,-1.597796143250697,-1.597796143250697,-2.58181818181819,-2.58181818181819,1.6601840432596529,1.6601840432596529,,
1048629600,1071.6,1083.1,1068.6,1075.6,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,-1.2304866850321479,-1.2304866850321479,-2.2181818181818262,-2.2181818181818262,0.37327360955580446,0.37327360955580446,,
1048716000,1075.6,1079,1057,1067.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,-1.9742883379247016,-1.9742883379247016,-2.9545454545454546,-2.9545454545454546,-0.7530680550390396,-0.7530680550390396,,
1048802400,1067.5,1071,1051.4,1054.9,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,629,-3.131313131313123,-3.131313131313123,-4.099999999999992,-4.099999999999992,-1.1803278688524506,-1.1803278688524506,,
1049061600,1054.9,1054.9,1021.1,1022.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,-6.143250688705232,-6.143250688705232,-3.1092994596644297,-3.1092994596644297,-3.1092994596644297,-3.1092994596644297,,
1049148000,1022.1,1039.1,1022.1,1028,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,0.577242931220035,0.577242931220035,-2.55000473978577,-2.55000473978577,0.577242931220035,0.577242931220035,,
1049234400,1028,1074.7,1028,1068.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718,4.500538107817228,4.500538107817228,1.2513034410844457,1.2513034410844457,3.9007782101167225,3.9007782101167225,,
1049320800,1068.1,1086.2,1065.6,1071.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,714,4.842970355151148,4.842970355151148,1.5830884444022957,1.5830884444022957,0.3276846737196892,0.3276846737196892,,
