time,open,high,low,close
1274734800,1808.2,1809.2,1791.7,1795.2
1274749200,1795.2,1796.9,1784.4,1786.7
1274763600,1786.7,1788.9,1767.9,1772.7
1274778000,1772.7,1781.2,1761.6,1771.9
1274792400,1771.9,1794.2,1755.9,1785.9
1274806800,1785.9,1822.9,1776.4,1822.4
1274821200,1822.4,1834.9,1821.9,1828.7
1274835600,1828.7,1828.7,1814.9,1827.2
1274850000,1827.2,1829.9,1813.1,1827.1
1274864400,1827.1,1837.9,1822.6,1827.6
1274878800,1827.6,1850.4,1824.1,1833.4
1274893200,1833.4,1837.4,1787.1,1792.9
1274907600,1792.9,1800.9,1783.1,1800.1
1274922000,1800.1,1816.6,1792.4,1813.4
1274936400,1813.4,1831.6,1811.1,1826.6
1274950800,1826.6,1842.1,1824.4,1829.4
1274965200,1829.4,1849.9,1828.4,1845.1
1274979600,1845.1,1864.9,1841.4,1864.4
1274994000,1864.4,1869.1,1858.8,1862.3
1275008400,1862.3,1868.8,1857.1,1858.3
1275022800,1858.3,1869.6,1855.1,1866.3
1275037200,1866.3,1874.8,1863.6,1866.1
1275051600,1866.1,1868.3,1836.6,1844.3
1275066000,1844.3,1867.6,1836.1,1851.8
1275253200,1851.8,1865.3,1850.8,1861.5
1275267600,1861.5,1866.5,1861,1866
1275282000,1866,1866.5,1859.5,1863.8
1275296400,1863.8,1865.5,1861.5,1863
1275310800,1863,1865,1858,1861
1275339600,1861,1862.5,1843.5,1847.5
1275354000,1847.5,1852.5,1843.7,1848
1275368400,1848,1855.2,1825,1829.7
1275382800,1829.7,1842,1825.2,1841.2
1275397200,1841.2,1878.5,1841,1859.5
1275411600,1859.5,1874,1829.2,1835
1275426000,1835,1840.2,1832,1840.2
1275440400,1840.2,1844.7,1833.5,1834
1275454800,1834,1847.2,1832.5,1836.4
1275469200,1836.4,1848.2,1836.4,1841.7
1275483600,1841.7,1864.4,1832.9,1864.2
1275498000,1864.2,1879.7,1851.4,1878.4
1275512400,1878.4,1882.2,1875.7,1880.7
1275526800,1880.7,1886.4,1879.2,1885.2
1275541200,1885.2,1890.4,1883.4,1888.9
1275555600,1888.9,1889.7,1879.2,1882.2
1275570000,1882.2,1894.9,1871.4,1879.7
1275584400,1879.7,1899.7,1876.2,1893.2
1275598800,1893.2,1897.4,1890.4,1896.7
1275613200,1896.7,1897.2,1891.7,1895.4
1275627600,1895.4,1902.9,1892.4,1901.4
1275642000,1901.4,1904.7,1852.9,1857.9
1275656400,1857.9,1880.1,1851.1,1859.4
1275670800,1859.4,1860.1,1824.6,1835.4
1275858000,1835.4,1835.4,1811.8,1816.1
1275872400,1816.1,1823.5,1812.1,1823.5
1275886800,1823.5,1831.5,1817.8,1830.8
1275901200,1830.8,1845.3,1828,1840.5
1275915600,1840.5,1845.8,1811.5,1828.8
1275930000,1828.8,1834.3,1794.3,1796.3
1275944400,1796.3,1805.8,1794.3,1805.5
1275958800,1805.5,1811,1805.3,1806.5
1275973200,1806.5,1818,1797.3,1797.5
1275987600,1797.5,1807.3,1791.8,1803.8
1276002000,1803.8,1806.8,1771.5,1791.3
1276016400,1791.3,1797.8,1770.3,1794.3
1276030800,1794.3,1795.3,1781.5,1785.8
1276045200,1785.8,1790.8,1783,1788.5
1276059600,1788.5,1797.5,1784.7,1788
1276074000,1788,1808,1782.5,1804.2
1276088400,1804.2,1823.7,1793.7,1813.7
1276102800,1813.7,1816.5,1774,1780.2
1276117200,1780.2,1781.7,1775.7,1777.7
1276131600,1777.7,1791.7,1777.7,1791.7
1276146000,1791.7,1801.5,1787,1798
1276160400,1798,1803,1786.7,1794
1276174800,1794,1819.2,1792.7,1807
1276189200,1807,1832,1802.7,1823.7
1276203600,1823.7,1825.5,1820.2,1821.4
1276218000,1821.4,1823.9,1818.9,1819.7
1276232400,1819.7,1826.2,1818.9,1823.7
1276246800,1823.7,1828.7,1808.4,1808.7
1276261200,1808.7,1843.2,1808.2,1831.9
1276275600,1831.9,1848.9,1823.9,1844.2
1276462800,1844.2,1868.1,1844.2,1853.4
1276477200,1853.4,1854.4,1850.1,1850.6
1276491600,1850.6,1859.6,1850.6,1858.6
1276506000,1858.6,1862.6,1854.6,1861.3
1276520400,1861.3,1877.3,1859.1,1864.6
1276534800,1864.6,1868.8,1844.1,1846.8
1276549200,1846.8,1853.8,1846.6,1853.3
1276563600,1853.3,1855.1,1848.3,1853.6
1276578000,1853.6,1857.3,1846.3,1857.3
1276592400,1857.3,1864.1,1853.1,1854.1
1276606800,1854.1,1883.1,1853.8,1882.6
1276621200,1882.6,1899.1,1878.6,1892.6
1276635600,1892.6,1893.6,1890.1,1891.3
1276650000,1891.3,1892,1890,1890.3
1276664400,1890.3,1893.3,1884.5,1888
1276678800,1888,1890.5,1880,1884
1276693200,1884,1909.8,1883.8,1903.8
1276707600,1903.8,1913.5,1898,1904.5
1276722000,1904.5,1904.5,1901,1902
1276736400,1902,1903.3,1898.8,1899
1276750800,1899,1907.5,1897.3,1906.8
1276765200,1906.8,1918,1905.3,1914
1276779600,1914,1916.8,1894,1904
1276794000,1904,1914,1897,1911
1276808400,1911,1911,1907.3,1910
1276822800,1910,1912.5,1908,1909.5
1276837200,1909.5,1913,1906.3,1912.5
1276851600,1912.5,1914.8,1905.5,1908.3
1276866000,1908.3,1925,1905.7,1909.5
1276880400,1909.5,1915.5,1907.2,1909.2
1277067600,1909.2,1937.7,1909.2,1937.2
1277082000,1937.2,1938.5,1922.2,1933
1277096400,1933,1941.5,1933,1939.2
1277110800,1939.2,1941.2,1930,1933.5
1277125200,1933.5,1939.2,1913,1918.5
1277139600,1918.5,1920.5,1884.2,1901
1277154000,1901,1903.2,1899.7,1903
1277168400,1903,1910.7,1900.5,1901
1277182800,1901,1904.7,1896.7,1902.2
1277197200,1902.2,1902.2,1890.5,1901.7
1277211600,1901.7,1917.2,1896.7,1908.5
1277226000,1908.5,1911.7,1877,1881.2
1277240400,1881.2,1883.2,1880.5,1881
1277254800,1881,1886,1880.7,1883.5
1277269200,1883.5,1889.2,1881.2,1887.5
1277283600,1887.5,1890.5,1885.5,1887.7
1277298000,1887.7,1888,1858.2,1873.5
1277312400,1873.5,1889.5,1865.2,1869.2
1277326800,1869.2,1870.5,1865.5,1869.5
1277341200,1869.5,1875,1868.7,1873.5
1277355600,1873.5,1875.5,1853.2,1855.5
1277370000,1855.5,1865.7,1854.5,1862.5
1277384400,1862.5,1870.2,1842.7,1852.7
1277398800,1852.7,1868.2,1837.9,1850
1277413200,1850,1850.2,1845.9,1846.4
1277427600,1846.4,1853.5,1844.4,1846.7
1277442000,1846.7,1855.5,1842.2,1844.2
1277456400,1844.2,1853.7,1837.7,1848.2
1277470800,1848.2,1852.2,1827.9,1840.7
1277485200,1840.7,1856.9,1834.7,1839.4
1277672400,1839.4,1844.2,1837.9,1839.9
1277686800,1839.9,1846.4,1838.2,1843.9
1277701200,1843.9,1846.4,1835.2,1845.4
1277715600,1845.4,1847.9,1835.7,1839.2
1277730000,1839.2,1851.9,1821.7,1843.4
1277744400,1843.4,1846.4,1831.7,1833.2
1277758800,1833.2,1839.7,1831.7,1839.2
1277773200,1839.2,1839.9,1822.2,1824.9
1277787600,1824.9,1824.9,1805.2,1809.4
1277802000,1809.4,1814.4,1806.2,1808.4
1277816400,1808.4,1811.4,1766.7,1774.7
1277830800,1774.7,1780.2,1750.7,1763.2
1277845200,1763.2,1766.9,1760.4,1766.7
1277859600,1766.7,1771.2,1764.9,1769.4
