time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1546383600,6332.1,6359.5,6325.4,6353,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6785,0.3300642756747309,0.3300642756747309,1.234961357660744,1.234961357660744,0.3300642756747309,0.3300642756747309,0.3300642756747309,0.3300642756747309
1546387200,6353,6365.7,6349.9,6357.9,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5535,0.40744776614392175,0.40744776614392175,1.3130427854354176,1.3130427854354176,0.40744776614392175,0.40744776614392175,0.07712891547299915,0.07712891547299915
1546390800,6357.9,6364.2,6323.6,6325.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11346,-0.10581007880483137,-0.10581007880483137,0.7951557644809121,0.7951557644809121,-0.10581007880483137,-0.10581007880483137,-0.5111750735305682,-0.5111750735305682
1546394400,6325.4,6327.3,6272.2,6286.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22089,-0.7185609829282544,-0.7185609829282544,0.17687833638754463,0.17687833638754463,-0.7185609829282544,-0.7185609829282544,-0.6133999430865917,-0.6133999430865917
1546398000,6286.6,6288.1,6274.6,6283.4,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9123,-0.7690971399693739,-0.7690971399693739,0.1258863835550894,0.1258863835550894,-0.7690971399693739,-0.7690971399693739,-0.05090191836605999,-0.05090191836605999
1546401600,6283.4,6285.3,6239.2,6256.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12395,-1.1891789453735755,-1.1891789453735755,-0.29798422436458954,-0.29798422436458954,-1.1891789453735755,-1.1891789453735755,-0.42333768341979594,-0.42333768341979594
1546405200,6256.8,6266.1,6234.6,6239,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8894,-1.4702863189147417,-1.4702863189147417,-0.5816269619950601,-0.5816269619950601,-1.4702863189147417,-1.4702863189147417,-0.284490474363895,-0.284490474363895
1546408800,6239,6256.8,6238.6,6247.4,1,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8153,-1.337628906681839,-1.337628906681839,-0.4477730858099014,-0.4477730858099014,-1.337628906681839,-1.337628906681839,0.1346369610514447,0.1346369610514447
1546412400,6247.4,6255.7,6227.3,6231.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17201,-1.583992672257232,-1.583992672257232,-0.6963588558680555,-0.6963588558680555,-1.583992672257232,-1.583992672257232,-0.24970387681274542,-0.24970387681274542
1546416000,6231.8,6232.8,6134.2,6153,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58295,-2.828445539394519,-2.828445539394519,-1.9520356943669825,-1.9520356943669825,-2.828445539394519,-2.828445539394519,-1.2644821720851147,-1.2644821720851147
