time,open,high,low,close
1430960400,2079.7,2081.3,2079.2,2080.5
1430974800,2080.5,2080.5,2067.65,2070.15
1430989200,2070.15,2079.85,2060.85,2073.35
1431003600,2073.35,2091.65,2073.15,2090.25
1431018000,2090.25,2091.65,2084.35,2087.55
1431032400,2087.55,2090.55,2087.55,2089.35
1431046800,2089.35,2091.25,2089.05,2090.35
1431061200,2090.35,2094.85,2089.05,2090.55
1431075600,2090.55,2110.45,2089.05,2107.65
1431090000,2107.65,2117.05,2105.65,2114.45
1431104400,2114.45,2116.15,2111.55,2112.15
1431291600,2112.15,2113.95,2112.15,2112.45
1431306000,2112.45,2112.45,2110.35,2111.25
1431320400,2111.25,2112.95,2108.95,2109.75
1431334800,2109.75,2113.45,2109.15,2112.85
1431349200,2112.85,2117.15,2108.45,2109.95
1431363600,2109.95,2112.15,2099.35,2100.35
1431378000,2100.35,2102.35,2100.15,2101.75
1431392400,2101.75,2102.35,2099.65,2100.95
1431406800,2100.95,2104.35,2086.05,2086.55
1431421200,2086.55,2092.05,2082.85,2091.25
1431435600,2091.25,2100.45,2083.75,2098.85
1431450000,2098.85,2103.95,2096.25,2099.15
1431464400,2099.15,2102.75,2099.15,2101.55
1431478800,2101.55,2105.15,2101.55,2103.45
1431493200,2103.45,2109.05,2101.75,2106.85
1431507600,2106.85,2108.25,2100.15,2101.95
1431522000,2101.95,2109.65,2095.95,2099.55
1431536400,2099.55,2103.45,2094.95,2099.45
1431550800,2099.45,2101.65,2098.65,2098.75
1431565200,2098.75,2099.45,2097.65,2098.75
1431579600,2098.75,2108.65,2095.25,2107.25
1431594000,2107.25,2110.95,2105.45,2109.95
1431608400,2109.95,2117.15,2106.65,2116.85
1431622800,2116.85,2121.35,2116.45,2120.85
1431637200,2120.85,2122.55,2119.65,2121.45
1431651600,2121.45,2121.65,2119.85,2119.95
1431666000,2119.95,2125.85,2119.35,2125.15
1431680400,2125.15,2125.85,2121.95,2122.45
1431694800,2122.45,2123.65,2116.25,2119.15
1431709200,2119.15,2122.45,2117.25,2121.65
1431896400,2121.65,2122.55,2120.15,2120.65
1431910800,2120.65,2121.25,2118.55,2120.55
1431925200,2120.55,2122.25,2115.25,2122.15
1431939600,2122.15,2122.65,2115.95,2118.55
1431954000,2118.55,2127.45,2117.45,2126.35
1431968400,2126.35,2131.45,2126.25,2129.55
1431982800,2129.55,2130.15,2129.05,2129.95
1431997200,2129.95,2131.65,2129.95,2131.15
1432011600,2131.15,2136.65,2130.05,2134.55
1432026000,2134.55,2135.45,2130.25,2131.25
1432040400,2131.25,2131.55,2125.15,2129.45
1432054800,2129.45,2132.85,2124.15,2126.65
1432069200,2126.65,2127.35,2124.85,2127.05
1432083600,2127.05,2128.35,2124.55,2128.35
1432098000,2128.35,2129.55,2124.55,2125.45
1432112400,2125.45,2129.05,2124.85,2128.05
1432126800,2128.05,2129.55,2122.15,2126.35
1432141200,2126.35,2134.75,2124.35,2124.55
1432155600,2124.55,2124.55,2117.85,2121.15
1432170000,2121.15,2121.55,2119.35,2121.25
1432184400,2121.25,2122.55,2119.25,2120.05
1432198800,2120.05,2123.35,2120.05,2122.45
1432213200,2122.45,2133.45,2122.15,2131.45
1432227600,2131.45,2134.55,2128.55,2131.45
1432242000,2131.45,2132.25,2129.75,2130.35
1432256400,2130.35,2133.55,2130.05,2133.35
1432270800,2133.35,2133.35,2130.35,2130.35
1432285200,2130.35,2132.05,2125.7,2127.6
1432299600,2127.6,2131.2,2126,2129.1
1432314000,2129.1,2132.5,2125.5,2126.8
1432501200,2126.8,2128.5,2126.1,2127.9
1432515600,2127.9,2129.2,2126.6,2127.7
1432530000,2127.7,2128,2124.55,2124.55
1432544400,2124.55,2124.55,2120.95,2123.35
1432558800,2123.35,2127.85,2123.15,2124.75
1432573200,2124.75,2125.55,2124.75,2125.55
1432587600,2125.55,2125.55,2121.45,2123.25
1432602000,2123.25,2123.85,2121.85,2122.05
1432616400,2122.05,2126.85,2117.45,2119.15
1432630800,2119.15,2124.65,2117.75,2120.25
1432645200,2120.25,2121.35,2102.55,2103.45
1432659600,2103.45,2108.05,2098.35,2107.55
1432674000,2107.55,2108.55,2105.35,2106.55
1432688400,2106.55,2107.25,2104.55,2105.15
1432702800,2105.15,2107.65,2103.55,2106.65
1432717200,2106.65,2111.65,2106.55,2109.05
1432731600,2109.05,2119.65,2104.75,2117.75
1432746000,2117.75,2126.35,2117.75,2121.95
1432760400,2121.95,2123.65,2121.95,2123.15
1432774800,2123.15,2123.55,2121.15,2121.45
1432789200,2121.45,2121.65,2117.45,2120.75
1432803600,2120.75,2121.75,2117.35,2118.5
1432818000,2118.5,2122.1,2112.4,2115.2
1432832400,2115.2,2124.6,2114.6,2124.4
1432846800,2124.4,2124.8,2123.1,2124.4
1432861200,2124.4,2124.5,2122.5,2123.5
1432875600,2123.5,2123.8,2114,2116.8
1432890000,2116.8,2123.8,2114.6,2118.2
1432904400,2118.2,2120.5,2104,2113.1
1432918800,2113.1,2116.7,2105,2108.6
1433106000,2108.6,2111.8,2107.2,2109.6
1433120400,2109.6,2112,2109.3,2111.7
1433134800,2111.7,2115.45,2108.75,2111.25
1433149200,2111.25,2117.35,2105.75,2113.55
1433163600,2113.55,2116.75,2101.95,2115.75
1433178000,2115.75,2119.25,2110.15,2112.35
1433192400,2112.35,2113.45,2111.95,2113.25
1433206800,2113.25,2114.45,2109.95,2110.05
1433221200,2110.05,2113.65,2096.05,2097.65
1433235600,2097.65,2111.35,2096.85,2106.65
1433250000,2106.65,2116.75,2097.85,2115.65
1433264400,2115.65,2117.35,2107.35,2108.45
1433278800,2108.45,2110.05,2108.05,2109.75
1433293200,2109.75,2109.75,2108.15,2109.55
1433307600,2109.55,2114.05,2108.35,2110.95
1433322000,2110.95,2121.35,2110.35,2115.45
1433336400,2115.45,2122.15,2108.95,2113.65
1433350800,2113.65,2118.05,2112.45,2117.45
1433365200,2117.45,2117.55,2115.35,2115.55
1433379600,2115.55,2116.45,2113.85,2114.25
1433394000,2114.25,2114.75,2100.95,2105.35
1433408400,2105.35,2109.95,2102.75,2108.25
1433422800,2108.25,2113.05,2098.75,2100.15
1433437200,2100.15,2100.55,2092.75,2100.25
1433451600,2100.25,2101.05,2098.85,2100.55
1433466000,2100.55,2100.75,2098.45,2098.65
1433480400,2098.65,2104.25,2097.95,2099.45
1433494800,2099.45,2100.75,2087.75,2094.05
