time,open,high,low,close
1546383600,2507,2519.6,2505.6,2515.8
1546387200,2515.8,2519.6,2514.6,2516.6
1546390800,2516.6,2518.4,2504,2504.4
1546394400,2504.4,2504.8,2486.6,2491.8
1546398000,2491.8,2493.4,2488.6,2491.8
1546401600,2491.8,2492.2,2477.8,2484.2
1546405200,2484.2,2486.4,2475.8,2476.8
1546408800,2476.8,2484.2,2476.6,2480.8
1546412400,2480.8,2483,2474.4,2475.2
1546416000,2475.2,2475.4,2451.4,2456
1546419600,2456,2468,2455,2466.6
1546423200,2466.6,2469.8,2462.4,2464.2
1546426800,2464.2,2470.6,2462.4,2468.2
1546430400,2468.2,2476.6,2466.4,2466.4
1546434000,2466.4,2469.4,2460,2463.4
1546437600,2463.4,2480.4,2463,2478.4
1546441200,2478.4,2498,2472.6,2495.2
1546444800,2495.2,2511.4,2492.4,2495.6
1546448400,2495.6,2510,2493.6,2508.4
1546452000,2508.4,2519,2508,2518.4
1546455600,2518.4,2518.6,2504,2505.2
1546459200,2505.2,2511.8,2493.8,2509.4
1546462800,2509.4,2510.8,2487,2490.4
1546470000,2490.4,2490.4,2469.6,2473.4
1546473600,2473.4,2479.4,2473.4,2473.8
1546477200,2473.8,2483.4,2472.8,2482
1546480800,2482,2483.6,2475.8,2476.4
1546484400,2476.4,2478.4,2474.4,2477.2
1546488000,2477.2,2478.4,2474.4,2476.4
1546491600,2476.4,2477.2,2469.4,2472
1546495200,2472,2473,2461.4,2470.6
1546498800,2470.6,2479,2470.4,2473.4
1546502400,2473.4,2479.8,2471,2473.4
1546506000,2473.4,2478,2468.8,2469.4
1546509600,2469.4,2472.6,2465.8,2468
1546513200,2468,2473.6,2464.8,2470.4
1546516800,2470.4,2479.4,2469.8,2479.2
1546520400,2479.2,2489.4,2477.8,2487.4
1546524000,2487.4,2492,2474,2478.4
1546527600,2478.4,2478.4,2446.2,2459.4
1546531200,2459.4,2488,2456.2,2477.2
1546534800,2477.2,2479.4,2466.4,2476.2
1546538400,2476.2,2476.4,2453.6,2457.6
1546542000,2457.6,2472.4,2451,2454.6
1546545600,2454.6,2460.2,2442.2,2447
1546549200,2447,2453.6,2445.4,2450.2
1546556400,2450.2,2454.6,2447,2448.4
1546560000,2448.4,2450.2,2437.2,2440.6
1546563600,2440.6,2451.4,2439.8,2447.6
1546567200,2447.6,2454.4,2444.2,2454.2
1546570800,2454.2,2460.6,2453.6,2457.6
1546574400,2457.6,2460.6,2456.4,2459.4
1546578000,2459.4,2464,2457.8,2462.2
1546581600,2462.2,2470.6,2461.6,2469.4
1546585200,2469.4,2473.2,2466.6,2471.4
1546588800,2471.4,2476.2,2466.4,2472
1546592400,2472,2482,2468.6,2476.8
1546596000,2476.8,2482.4,2475,2481.6
1546599600,2481.6,2485.4,2478,2481.6
1546603200,2481.6,2483,2476.2,2478
1546606800,2478,2482.6,2469.4,2477.6
1546610400,2477.6,2497.8,2474.4,2497.6
1546614000,2497.6,2520.2,2486.8,2516.8
1546617600,2516.8,2525.2,2509,2518.6
1546621200,2518.6,2534.2,2512.8,2531.2
1546624800,2531.2,2538,2524.6,2528.6
1546628400,2528.6,2534.6,2522.2,2523.6
1546632000,2523.6,2533.4,2521.6,2531.6
1546635600,2531.6,2533.2,2526.6,2528.6
1546815600,2528.6,2537.8,2528.6,2537
1546819200,2537,2550.6,2535.8,2542.8
1546822800,2542.8,2545.6,2538.6,2540
1546826400,2540,2542.4,2537.6,2537.6
1546830000,2537.6,2539,2536,2538.6
1546833600,2538.6,2539.2,2536.4,2537.6
1546837200,2537.6,2539.2,2534.2,2534.8
1546840800,2534.8,2537.4,2531.6,2536.8
1546844400,2536.8,2540.6,2535,2539
1546848000,2539,2539.2,2530.6,2530.6
1546851600,2530.6,2533.6,2525.2,2526
1546855200,2526,2530.6,2524.6,2528.6
1546858800,2528.6,2529.4,2522.8,2527
1546862400,2527,2532.6,2525.8,2531.4
1546866000,2531.4,2533.2,2526.6,2527.8
1546869600,2527.8,2535.6,2523.6,2531.8
1546873200,2531.8,2548.6,2528,2545.6
1546876800,2545.6,2560.8,2544,2560.8
1546880400,2560.8,2563.6,2554.6,2561.4
1546884000,2561.4,2566,2554.4,2555
1546887600,2555,2558.2,2546.2,2547.8
1546891200,2547.8,2558.4,2547.2,2549.6
1546894800,2549.6,2553.2,2547.6,2552.2
1546902000,2552.2,2553.4,2548.2,2549.8
1546905600,2549.8,2556.9,2549.8,2556.6
1546909200,2556.6,2558,2552.6,2555.4
1546912800,2555.4,2560.8,2555,2558.8
1546916400,2558.8,2560.8,2558,2558.2
1546920000,2558.2,2562,2556.8,2561.6
1546923600,2561.6,2562,2553.2,2554.6
1546927200,2554.6,2557.6,2553,2556.8
1546930800,2556.8,2560,2553.2,2553.2
1546934400,2553.2,2563.8,2552.8,2563.2
1546938000,2563.2,2567.4,2560.2,2560.6
1546941600,2560.6,2566.2,2558.8,2565.6
1546945200,2565.6,2570.8,2563.4,2569
1546948800,2569,2570.8,2562.8,2566.6
1546952400,2566.6,2573.8,2564.4,2573.4
1546956000,2573.4,2580,2566.8,2569
1546959600,2569,2573.8,2546.6,2551.4
1546963200,2551.4,2560.2,2549.6,2559.6
1546966800,2559.6,2567.2,2553.6,2558.6
1546970400,2558.6,2571.4,2555.6,2568.6
1546974000,2568.6,2572.2,2565.8,2568.8
1546977600,2568.8,2575.8,2564.6,2573.6
1546981200,2573.6,2574.8,2568.4,2570.2
1546988400,2570.2,2576.2,2567.8,2576.2
1546992000,2576.2,2578.6,2574,2574.8
1546995600,2574.8,2583.6,2574.2,2582.6
1546999200,2582.6,2585.8,2580,2582.8
1547002800,2582.8,2583.8,2581.4,2583.4
1547006400,2583.4,2584.2,2581.6,2582.8
1547010000,2582.8,2584,2581.6,2582.6
1547013600,2582.6,2582.8,2577,2577.6
1547017200,2577.6,2581.6,2574.6,2575.8
1547020800,2575.8,2582.5,2574.6,2581
1547024400,2581,2584.2,2578.8,2581.8
1547028000,2581.8,2582.6,2576.2,2580.4
1547031600,2580.4,2581.2,2575,2578
1547035200,2578,2580.6,2573.8,2580
1547038800,2580,2584.6,2579.2,2583
1547042400,2583,2588,2577,2586.8
1547046000,2586.8,2589.2,2568,2575.6
1547049600,2575.6,2591.8,2574.6,2588
1547053200,2588,2594.2,2585.6,2593.6
1547056800,2593.6,2594,2585.2,2587.8
