row_id,symbol,local_symbol,buy_sell,trade_time,tradeDate,server_date_time,user_price,order_type,alert_data,entry_id,lmt_id,stp_id,alert_status,strategy_name,pages
20538509,MNQ1!,MNQU6,BUY,2026-08-02T20:00:00-0500,2026-08-03,2026-08-03 01:00:00.983932,28614.65,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T20:00:00-0500', 'data': 'BUY', 'quantity': 5, 'risk_percentage': 0.0, 'price': '28614.65', 'stp_limit_stp_price': 0, 'tp': 28647.05, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28582.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_6', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725403157,597725403158,597725403159,Order Placed,,1
20538508,MNQ1!,MNQU6,BUY,2026-08-02T20:00:00-0500,2026-08-03,2026-08-03 01:00:01.024953,28614.65,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T20:00:00-0500', 'data': 'BUY', 'quantity': 5, 'risk_percentage': 0.0, 'price': '28614.65', 'stp_limit_stp_price': 0, 'tp': 28647.05, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28582.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656732675,602656732676,602656732677,Order Placed,,1
20538507,MNQ1!,MNQU6,BUY,2026-08-02T20:00:00-0500,2026-08-03,2026-08-03 01:00:01.004182,28614.65,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T20:00:00-0500', 'data': 'BUY', 'quantity': 5, 'risk_percentage': 0.0, 'price': '28614.65', 'stp_limit_stp_price': 0, 'tp': 28647.05, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28582.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_4', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725413226,597725413227,597725413228,Order Placed,,1
20538506,MNQ1!,MNQU6,BUY,2026-08-02T20:00:00-0500,2026-08-03,2026-08-03 01:00:01.082802,28614.65,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T20:00:00-0500', 'data': 'BUY', 'quantity': 5, 'risk_percentage': 0.0, 'price': '28614.65', 'stp_limit_stp_price': 0, 'tp': 28647.05, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28582.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656773110,602656773111,602656773112,Order Placed,,1
20538505,MNQ1!,MNQU6,BUY,2026-08-02T20:00:00-0500,2026-08-03,2026-08-03 01:00:01.053699,28614.65,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T20:00:00-0500', 'data': 'BUY', 'quantity': 5, 'risk_percentage': 0.0, 'price': '28614.65', 'stp_limit_stp_price': 0, 'tp': 28647.05, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28582.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_8', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656702579,602656702580,602656702581,Order Placed,,1
20537899,MNQ1!,MNQU6,BUY,2026-08-02T19:41:00-0500,2026-08-03,2026-08-03 00:41:00.416831,28594.4,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T19:41:00-0500', 'data': 'BUY', 'quantity': 16, 'risk_percentage': 0.0, 'price': '28594.40', 'stp_limit_stp_price': 0, 'tp': 28604.8, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28584.0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_4', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725413220,597725413221,597725413222,Order Placed,,1
20537898,MNQ1!,MNQU6,BUY,2026-08-02T19:41:00-0500,2026-08-03,2026-08-03 00:41:00.437163,28594.4,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T19:41:00-0500', 'data': 'BUY', 'quantity': 16, 'risk_percentage': 0.0, 'price': '28594.40', 'stp_limit_stp_price': 0, 'tp': 28604.8, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28584.0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656732643,602656732644,602656732645,Order Placed,,1
20537897,MNQ1!,MNQU6,BUY,2026-08-02T19:41:00-0500,2026-08-03,2026-08-03 00:41:00.477903,28594.4,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T19:41:00-0500', 'data': 'BUY', 'quantity': 16, 'risk_percentage': 0.0, 'price': '28594.40', 'stp_limit_stp_price': 0, 'tp': 28604.8, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28584.0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656773078,602656773079,602656773080,Order Placed,,1
20537896,MNQ1!,MNQU6,BUY,2026-08-02T19:41:00-0500,2026-08-03,2026-08-03 00:41:00.458022,28594.4,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T19:41:00-0500', 'data': 'BUY', 'quantity': 16, 'risk_percentage': 0.0, 'price': '28594.40', 'stp_limit_stp_price': 0, 'tp': 28604.8, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28584.0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_8', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656702547,602656702548,602656702549,Order Placed,,1
20537895,MNQ1!,MNQU6,BUY,2026-08-02T19:41:00-0500,2026-08-03,2026-08-03 00:41:00.395673,28594.4,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-08-02T19:41:00-0500', 'data': 'BUY', 'quantity': 16, 'risk_percentage': 0.0, 'price': '28594.40', 'stp_limit_stp_price': 0, 'tp': 28604.8, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28584.0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_6', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725403125,597725403126,597725403127,Order Placed,,1
