row_id,symbol,local_symbol,buy_sell,trade_time,tradeDate,server_date_time,user_price,order_type,alert_data,entry_id,lmt_id,stp_id,alert_status,strategy_name,pages
20373504,MNQ1!,MNQU6,SELL,2026-07-29T19:53:00-0500,2026-07-30,2026-07-30 00:53:00.374817,27519.25,LMT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T19:53:00-0500', 'data': 'SELL', 'quantity': 9, 'risk_percentage': 0.0, 'price': '27519.25', 'stp_limit_stp_price': 0, 'tp': 27506.25, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 27532.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_4', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725411559,597725411560,597725411561,Order Placed,,6
20373503,MNQ1!,MNQU6,SELL,2026-07-29T19:53:00-0500,2026-07-30,2026-07-30 00:53:00.432194,27519.25,LMT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T19:53:00-0500', 'data': 'SELL', 'quantity': 9, 'risk_percentage': 0.0, 'price': '27519.25', 'stp_limit_stp_price': 0, 'tp': 27506.25, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 27532.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_6', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725401427,597725401428,597725401429,Order Placed,,6
20373502,MNQ1!,MNQU6,SELL,2026-07-29T19:53:00-0500,2026-07-30,2026-07-30 00:53:00.409202,27519.25,LMT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T19:53:00-0500', 'data': 'SELL', 'quantity': 9, 'risk_percentage': 0.0, 'price': '27519.25', 'stp_limit_stp_price': 0, 'tp': 27506.25, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 27532.25, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_5', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725391456,597725391457,597725391458,Order Placed,,6
20367246,MNQ1!,MNQU6,CLOSE,2026-07-29T17:55:00-0500,2026-07-29,2026-07-29 22:55:01.097487,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T17:55:00-0500', 'data': 'CLOSE', 'quantity': 1, 'risk_percentage': 0.0, 'price': '0.00', 'order_type': 'MKT', 'stp_limit_stp_price': 0, 'dollar_tp': 0, 'percentage_tp': 0, 'tp': 0, 'dollar_sl': 0, 'percentage_sl': 0, 'sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'full_closed': True, 'account_id': 'YOUR_ACCOUNT_ID_6', 'comment': '', 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,Position Closed 597725401354,,6
20367245,MNQ1!,MNQU6,CLOSE,2026-07-29T17:55:00-0500,2026-07-29,2026-07-29 22:55:01.065781,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T17:55:00-0500', 'data': 'CLOSE', 'quantity': 1, 'risk_percentage': 0.0, 'price': '0.00', 'order_type': 'MKT', 'stp_limit_stp_price': 0, 'dollar_tp': 0, 'percentage_tp': 0, 'tp': 0, 'dollar_sl': 0, 'percentage_sl': 0, 'sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'full_closed': True, 'account_id': 'YOUR_ACCOUNT_ID_5', 'comment': '', 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,Position Closed 597725391399,,6
20367244,MNQ1!,MNQU6,CLOSE,2026-07-29T17:55:00-0500,2026-07-29,2026-07-29 22:55:01.032776,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T17:55:00-0500', 'data': 'CLOSE', 'quantity': 1, 'risk_percentage': 0.0, 'price': '0.00', 'order_type': 'MKT', 'stp_limit_stp_price': 0, 'dollar_tp': 0, 'percentage_tp': 0, 'tp': 0, 'dollar_sl': 0, 'percentage_sl': 0, 'sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'full_closed': True, 'account_id': 'YOUR_ACCOUNT_ID_4', 'comment': '', 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,Position Closed 597725411446,,6
20367231,MNQ1!,MNQU6,BUY,2026-07-29T17:54:00-0500,2026-07-29,2026-07-29 22:54:01.390043,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T17:54:00-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '0.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_5', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725391390,,,Order Placed,,6
20367230,MNQ1!,MNQU6,BUY,2026-07-29T17:54:00-0500,2026-07-29,2026-07-29 22:54:01.423113,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T17:54:00-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '0.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_6', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725401345,,,Order Placed,,6
20367229,MNQ1!,MNQU6,BUY,2026-07-29T17:54:00-0500,2026-07-29,2026-07-29 22:54:01.359648,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T17:54:00-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '0.00', 'stp_limit_stp_price': 0, 'tp': 0, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 0, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'order_type': 'MKT', 'account_id': 'YOUR_ACCOUNT_ID_4', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",597725411437,,,Order Placed,,6
20363674,MNQ1!,MNQU6,CLOSE,2026-07-29T15:29:00-0500,2026-07-29,2026-07-29 20:29:00.683469,0,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-29T15:29:00-0500', 'data': 'CLOSE', 'quantity': 1, 'risk_percentage': 0.0, 'price': '0.00', 'order_type': 'MKT', 'stp_limit_stp_price': 0, 'dollar_tp': 0, 'percentage_tp': 0, 'tp': 0, 'dollar_sl': 0, 'percentage_sl': 0, 'sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': True, 'same_direction_ignore': False, 'reverse_order_close': True, 'full_closed': True, 'account_id': 'YOUR_ACCOUNT_ID_6', 'comment': '', 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Position Closed ",,6
