Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-01-09 03:15,Bracket Stop Loss,21270,1,42621.5,81.5,0.19,0,186.5,0.44,-38,-0.09,81.5,0.01,18
1,Entry short,2025-01-08 22:45,Sell market order,21310.75,1,42621.5,81.5,0.19,0,186.5,0.44,-38,-0.09,81.5,0.01,18
2,Exit short,2025-01-09 03:15,Bracket Stop Loss,21270,2,85104,24,0.03,0,234,0.27,-18,-0.02,105.5,0.01,4
2,Entry short,2025-01-09 02:15,Sell market order,21276,2,85104,24,0.03,0,234,0.27,-18,-0.02,105.5,0.01,4
3,Exit short,2025-01-09 19:00,Buy market order,21199.75,1,42583.5,184,0.43,0,197.5,0.46,-85,-0.20,289.5,0.03,18
3,Entry short,2025-01-09 06:00,Sell market order,21291.75,1,42583.5,184,0.43,0,197.5,0.46,-85,-0.20,289.5,0.03,18
4,Exit short,2025-01-09 19:00,Buy market order,21199.75,2,85140,341,0.40,0,368,0.43,-197,-0.23,630.5,0.06,16
4,Entry short,2025-01-09 06:30,Sell market order,21285,2,85140,341,0.40,0,368,0.43,-197,-0.23,630.5,0.06,16
5,Exit short,2025-01-09 20:00,Close position,21228.5,3,127825.5,454.5,0.36,0,751.5,0.59,-37.5,-0.03,1085,0.11,11
5,Entry short,2025-01-09 08:45,Sell market order,21304.25,3,127825.5,454.5,0.36,0,751.5,0.59,-37.5,-0.03,1085,0.11,11
6,Exit long,2025-01-10 02:00,Bracket Stop Loss,21235,1,42575,-105,-0.25,0,6.5,0.02,-105,-0.25,980,0.10,4
6,Entry long,2025-01-10 01:00,Buy market order,21287.5,1,42575,-105,-0.25,0,6.5,0.02,-105,-0.25,980,0.10,4
7,Exit long,2025-01-10 04:00,Bracket Stop Loss,21258,1,42530.5,-14.5,-0.03,0,69.5,0.16,-14.5,-0.03,965.5,0.10,8
7,Entry long,2025-01-10 02:00,Buy market order,21265.25,1,42530.5,-14.5,-0.03,0,69.5,0.16,-14.5,-0.03,965.5,0.10,8
8,Exit long,2025-01-10 04:00,Bracket Stop Loss,21258,2,85164,-132,-0.15,0,36,0.04,-132,-0.15,833.5,0.08,4
8,Entry long,2025-01-10 03:00,Buy market order,21291,2,85164,-132,-0.15,0,36,0.04,-132,-0.15,833.5,0.08,4
9,Exit long,2025-01-10 07:00,Bracket Stop Loss,21285.5,1,42632,-61,-0.14,0,113,0.27,-61,-0.14,772.5,0.08,6
9,Entry long,2025-01-10 05:30,Buy market order,21316,1,42632,-61,-0.14,0,113,0.27,-61,-0.14,772.5,0.08,6
