Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-08-10 10:00,Bracket Stop Loss,29841.75,1,59551,-132.5,-0.22,0,42.5,0.07,-132.5,-0.22,-132.5,-0.01,2
1,Entry short,2026-08-10 09:30,Sell market order,29775.5,1,59551,-132.5,-0.22,0,42.5,0.07,-132.5,-0.22,-132.5,-0.01,2
2,Exit long,2026-08-10 10:45,Bracket Stop Loss,29788,1,59717.5,-141.5,-0.24,0,82.5,0.14,-141.5,-0.24,-274,-0.03,2
2,Entry long,2026-08-10 10:15,Buy limit order,29858.75,1,59717.5,-141.5,-0.24,0,82.5,0.14,-141.5,-0.24,-274,-0.03,2
3,Exit short,2026-08-10 18:00,Close position,29761,1,59618,96,0.16,0,172.5,0.29,-99.5,-0.17,-178,-0.02,23
3,Entry short,2026-08-10 11:15,Sell limit order,29809,1,59618,96,0.16,0,172.5,0.29,-99.5,-0.17,-178,-0.02,23
4,Exit short,2026-08-10 18:00,Close position,29761,1,59601.5,79.5,0.13,0,156,0.26,-21.5,-0.04,-98.5,-0.01,16
4,Entry short,2026-08-10 13:00,Sell stop-limit order,29800.75,1,59601.5,79.5,0.13,0,156,0.26,-21.5,-0.04,-98.5,-0.01,16
5,Exit short,2026-08-11 15:15,Bracket Stop Loss,29618.75,1,59524.5,287,0.48,0,457.5,0.77,-85.5,-0.14,188.5,0.02,21
5,Entry short,2026-08-11 10:00,Sell market order,29762.25,1,59524.5,287,0.48,0,457.5,0.77,-85.5,-0.14,188.5,0.02,21
6,Exit short,2026-08-12 11:30,Bracket Take Profit,29822.5,1,59846,201,0.34,0,201,0.34,-94,-0.16,389.5,0.04,7
6,Entry short,2026-08-12 09:45,Sell limit order,29923,1,59846,201,0.34,0,201,0.34,-94,-0.16,389.5,0.04,7
7,Exit short,2026-08-12 18:00,Close position,29805.5,1,59657,46,0.08,0,56,0.09,-200.5,-0.34,435.5,0.04,22
7,Entry short,2026-08-12 11:30,Sell market order,29828.5,1,59657,46,0.08,0,56,0.09,-200.5,-0.34,435.5,0.04,22
8,Exit long,2026-08-13 10:15,Bracket Take Profit,30234,1,60014,454,0.76,0,454,0.76,-3,0.00,889.5,0.09,2
8,Entry long,2026-08-13 09:45,Buy limit order,30007,1,60014,454,0.76,0,454,0.76,-3,0.00,889.5,0.09,2
9,Exit long,2026-08-14 10:15,Bracket Stop Loss,30169.25,1,60489.5,-151,-0.25,0,72,0.12,-151,-0.25,738.5,0.07,2
9,Entry long,2026-08-14 09:45,Buy limit order,30244.75,1,60489.5,-151,-0.25,0,72,0.12,-151,-0.25,738.5,0.07,2
10,Exit short,2026-08-16 18:00,Close position,30197,1,60311,-83,-0.14,0,261,0.43,-95,-0.16,655.5,0.07,26
10,Entry short,2026-08-14 10:30,Sell market order,30155.5,1,60311,-83,-0.14,0,261,0.43,-95,-0.16,655.5,0.07,26
11,Exit short,2026-08-17 11:00,Bracket Stop Loss,30266.75,1,60392,-141.5,-0.23,0,79,0.13,-141.5,-0.23,514,0.05,6
11,Entry short,2026-08-17 09:30,Sell market order,30196,1,60392,-141.5,-0.23,0,79,0.13,-141.5,-0.23,514,0.05,6
12,Exit long,2026-08-17 12:15,Bracket Stop Loss,30197.5,1,60463.5,-68.5,-0.11,0,82.5,0.14,-68.5,-0.11,445.5,0.04,3
12,Entry long,2026-08-17 11:30,Buy limit order,30231.75,1,60463.5,-68.5,-0.11,0,82.5,0.14,-68.5,-0.11,445.5,0.04,3
