symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQU6,-2,0,0.25,606540440031,606540440008,1,28566.00,28586.00,$40.00,08/03/2026 10:07:05,08/03/2026 10:07:00,4sec
MNQU6,-2,0,0.25,606540440068,606540440046,1,28618.75,28628.75,$20.00,08/03/2026 10:19:04,08/03/2026 10:19:00,3sec
MNQU6,-2,0,0.25,606540440083,606540440105,7,28659.50,28673.75,$199.50,08/03/2026 10:27:52,08/03/2026 10:29:19,1min 26sec
MNQU6,-2,0,0.25,606540440083,606540440117,2,28659.50,28673.75,$57.00,08/03/2026 10:27:52,08/03/2026 10:29:19,1min 26sec
MNQU6,-2,0,0.25,606540440083,606540440129,1,28659.50,28673.75,$28.50,08/03/2026 10:27:52,08/03/2026 10:29:19,1min 26sec
MNQU6,-2,0,0.25,606540440083,606540440137,1,28659.50,28673.75,$28.50,08/03/2026 10:27:52,08/03/2026 10:29:19,1min 26sec
MNQU6,-2,0,0.25,606540440083,606540440149,1,28659.50,28673.75,$28.50,08/03/2026 10:27:52,08/03/2026 10:29:19,1min 26sec
MNQU6,-2,0,0.25,606540440164,606540440186,30,28926.25,28921.25,$(300.00),08/03/2026 14:20:59,08/03/2026 14:21:07,8sec
MNQU6,-2,0,0.25,606540440201,606540440223,30,28900.25,28894.00,$(375.00),08/03/2026 14:28:19,08/03/2026 14:28:35,16sec
MNQU6,-2,0,0.25,606540440238,606540440260,14,28906.25,28918.75,$350.00,08/03/2026 14:43:48,08/03/2026 14:45:06,1min 17sec
