Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-06-20 08:29",6015.5,6017,6006.25,6008,-8.25,-0.14%,116
"2025-06-20 08:28",6015.75,6020,6013,6016.25,0.75,+0.01%,153
"2025-06-20 08:27",6007.75,6015.5,6007.5,6015.5,8.25,+0.14%,155
"2025-06-20 08:26",6006,6009,6006,6007.25,1.75,+0.03%,95
"2025-06-20 08:25",6007.25,6007.25,6003.25,6005.5,-2.25,-0.04%,160
"2025-06-20 08:24",6008,6008.25,6006.75,6007.75,-0.75,-0.01%,158
"2025-06-20 08:23",6007.5,6008.5,6007.5,6008.5,1,+0.02%,32
"2025-06-20 08:22",6006,6008,6006,6007.5,1.5,+0.02%,68
"2025-06-20 08:21",6005.5,6006.25,6005.5,6006,0.75,+0.01%,48
"2025-06-20 08:20",6005.5,6006.25,6005.25,6005.25,-1.,-0.02%,29
"2025-06-20 08:19",6004,6006.5,6004,6006.25,2.5,+0.04%,109
"2025-06-20 08:18",6002.25,6004,6002.25,6003.75,1.75,+0.03%,46
"2025-06-20 08:17",6002.25,6002.25,6001.75,6002,0,0.00%,24
"2025-06-20 08:16",6003.25,6003.25,6001.75,6002,-0.75,-0.01%,48
"2025-06-20 08:15",6003.25,6003.25,6002.25,6002.75,-0.25,0.00%,31
"2025-06-20 08:14",6003,6003.5,6002.5,6003,-0.5,-0.01%,35
"2025-06-20 08:13",6002.75,6003.5,6002.5,6003.5,0.75,+0.01%,19
"2025-06-20 08:12",6002.5,6003.25,6002.25,6002.75,0,0.00%,20
"2025-06-20 08:11",6002.75,6003,6001.75,6002.75,0.5,+0.01%,44
"2025-06-20 08:10",6003.25,6004.75,6002.25,6002.25,-1.,-0.02%,95
"2025-06-20 08:09",6003.5,6003.5,6002,6003.25,0,0.00%,44
"2025-06-20 08:08",6002.5,6003.25,6002.25,6003.25,1,+0.02%,15
"2025-06-20 08:07",6001.25,6002.75,6001,6002.25,0.5,+0.01%,45
"2025-06-20 08:06",6002,6002,6001,6001.75,-0.5,-0.01%,29
"2025-06-20 08:05",6002.25,6003,6002.25,6002.25,-0.25,0.00%,17
"2025-06-20 08:04",6002.25,6002.5,6002,6002.5,1,+0.02%,32
"2025-06-20 08:03",6002.5,6002.5,6001,6001.5,-1.25,-0.02%,80
"2025-06-20 08:02",6002.5,6003.25,6002.5,6002.75,0.75,+0.01%,26
"2025-06-20 08:01",6001.5,6002.75,6001.5,6002,0.75,+0.01%,40
"2025-06-20 08:00",6001,6002,6001,6001.25,0.75,+0.01%,50
"2025-06-20 07:59",6000.5,6001,6000,6000.5,-0.75,-0.01%,25
"2025-06-20 07:58",6002,6002,6001,6001.25,-0.75,-0.01%,35
"2025-06-20 07:57",6001.25,6002.25,6001,6002,1.25,+0.02%,71
"2025-06-20 07:56",6000,6001.25,5998.5,6000.75,0.5,+0.01%,56
"2025-06-20 07:55",6000,6002.25,5999.5,6000.25,0.25,0.00%,156
"2025-06-20 07:54",6000,6000.25,5999.75,6000,0.5,+0.01%,37
"2025-06-20 07:53",6000,6000,5999.25,5999.5,0,0.00%,48
"2025-06-20 07:52",6000.75,6000.75,5999.25,5999.5,-1.25,-0.02%,61
"2025-06-20 07:51",5998.75,6001,5998.75,6000.75,2.25,+0.04%,115
"2025-06-20 07:50",5998.5,5998.75,5998,5998.5,-0.5,-0.01%,57
"2025-06-20 07:49",5998.5,5999,5998.25,5999,0.75,+0.01%,84
"2025-06-20 07:48",5998,5998.75,5997.75,5998.25,0.5,+0.01%,21
"2025-06-20 07:47",5996.75,5998.25,5996.5,5997.75,1.25,+0.02%,31
"2025-06-20 07:46",5997.75,5998,5996.5,5996.5,-0.5,-0.01%,53
"2025-06-20 07:45",5995.5,5997,5995.25,5997,1.5,+0.03%,54
"2025-06-20 07:44",5996.25,5996.75,5995,5995.5,-0.75,-0.01%,20
"2025-06-20 07:43",5994.75,5996.25,5994.5,5996.25,0.75,+0.01%,43
"2025-06-20 07:42",5994.25,5996,5994.25,5995.5,1.5,+0.03%,54
"2025-06-20 07:41",5995.75,5997.25,5994,5994,-2.5,-0.04%,67
"2025-06-20 07:40",5997.25,5997.5,5995,5996.5,-1.,-0.02%,50
"2025-06-20 07:39",5996.25,5997.75,5996.25,5997.5,1.5,+0.03%,27
"2025-06-20 07:38",5996.25,5997,5994.75,5996,-0.25,0.00%,58
"2025-06-20 07:37",5994.75,5997.25,5993,5996.25,1.25,+0.02%,92
"2025-06-20 07:36",5997,5997,5994.5,5995,-1.75,-0.03%,55
"2025-06-20 07:35",5997.75,5999.25,5995.5,5996.75,-2.5,-0.04%,82
"2025-06-20 07:34",5992,6000,5992,5999.25,7,+0.12%,292
"2025-06-20 07:33",5992,5996.75,5990.75,5992.25,0,0.00%,266
"2025-06-20 07:32",5992.25,5992.5,5991.25,5992.25,0,0.00%,13
"2025-06-20 07:31",5991,5992.75,5990.5,5992.25,1,+0.02%,55
"2025-06-20 07:30",5991.75,5991.75,5984.75,5991.25,1.75,+0.03%,49
"2025-06-20 07:29",5990.5,5991.75,5989.5,5989.5,-0.5,-0.01%,17
"2025-06-20 07:28",5990.25,5991.25,5989.75,5990,-0.5,-0.01%,17
"2025-06-20 07:27",5987,5990.5,5987,5990.5,3,+0.05%,34
"2025-06-20 07:26",5987.75,5988,5987.25,5987.5,0,0.00%,16
"2025-06-20 07:25",5987.5,5987.75,5987,5987.5,0,0.00%,15
"2025-06-20 07:24",5988.25,5989,5987,5987.5,-1.25,-0.02%,27
"2025-06-20 07:23",5990,5990,5988.75,5988.75,-1.,-0.02%,27
"2025-06-20 07:22",5990.5,5990.5,5989.25,5989.75,-1.25,-0.02%,15
"2025-06-20 07:21",5991.25,5991.75,5991,5991,-0.5,-0.01%,27
"2025-06-20 07:20",5991.5,5991.5,5990,5991.5,-0.5,-0.01%,40
"2025-06-20 07:19",5989.75,5992,5989.75,5992,3.25,+0.05%,58
"2025-06-20 07:18",5989,5989,5988,5988.75,0.25,0.00%,12
"2025-06-20 07:17",5989.25,5989.25,5988,5988.5,-1.,-0.02%,21
"2025-06-20 07:16",5990,5990.25,5989.5,5989.5,0.25,0.00%,59
"2025-06-20 07:15",5988.75,5989.5,5988.75,5989.25,1,+0.02%,17
"2025-06-20 07:14",5988.5,5988.75,5988.25,5988.25,-0.75,-0.01%,21
"2025-06-20 07:13",5989,5990,5989,5989,0.25,0.00%,19
"2025-06-20 07:12",5987,5989.25,5986,5988.75,2.25,+0.04%,62
"2025-06-20 07:11",5986.5,5987.25,5986.25,5986.5,0,0.00%,14
"2025-06-20 07:10",5986.25,5987,5986.25,5986.5,0.25,0.00%,13
"2025-06-20 07:09",5985,5986.5,5984.5,5986.25,0.5,+0.01%,65
"2025-06-20 07:08",5986.25,5986.75,5985,5985.75,-1.5,-0.03%,45
"2025-06-20 07:07",5988.75,5989,5986.5,5987.25,-1.25,-0.02%,48
"2025-06-20 07:06",5987.5,5988.5,5986.75,5988.5,0.75,+0.01%,29
"2025-06-20 07:05",5987.75,5989.25,5987.75,5987.75,-0.25,0.00%,40
"2025-06-20 07:04",5987.5,5988.25,5987.25,5988,0.75,+0.01%,29
"2025-06-20 07:03",5988,5988,5986.5,5987.25,-1.,-0.02%,42
"2025-06-20 07:02",5987.75,5988.25,5987.5,5988.25,-0.5,-0.01%,30
"2025-06-20 07:01",5985.25,5988.75,5985,5988.75,3.75,+0.06%,56
"2025-06-20 07:00",5983.5,5985.75,5983,5985,1.5,+0.03%,59
"2025-06-20 06:59",5984.5,5984.75,5983.5,5983.5,-0.75,-0.01%,52
"2025-06-20 06:58",5983.75,5984.75,5982.75,5984.25,0.25,0.00%,33
"2025-06-20 06:57",5986.25,5986.25,5983.75,5984,-1.5,-0.03%,66
"2025-06-20 06:56",5988.25,5988.75,5985.5,5985.5,-3.,-0.05%,42
"2025-06-20 06:55",5988.5,5989.5,5987.75,5988.5,-1.,-0.02%,47
"2025-06-20 06:54",5989,5990.25,5988.75,5989.5,0.5,+0.01%,27
"2025-06-20 06:53",5990,5990.5,5988.5,5989,-1.,-0.02%,37
"2025-06-20 06:52",5989.75,5990.5,5988.75,5990,1,+0.02%,66
"2025-06-20 06:51",5987.75,5990,5986.75,5989,1.5,+0.03%,61
"2025-06-20 06:50",5991.5,5991.75,5987.25,5987.5,-3.5,-0.06%,95
"2025-06-20 06:49",5991.5,5993.25,5990.5,5991,-0.5,-0.01%,70
"2025-06-20 06:48",5992,5994.25,5990.25,5991.5,-0.25,0.00%,409
"2025-06-20 06:47",5989.5,5992.25,5988.25,5991.75,3.75,+0.06%,198
"2025-06-20 06:46",5987.5,5994.5,5987.5,5988,1.25,+0.02%,189
"2025-06-20 06:45",5987.75,5997.5,5986,5986.75,-0.25,0.00%,552
"2025-06-20 06:44",5980,5988.5,5979.75,5987,7.25,+0.12%,256
"2025-06-20 06:43",5980.25,5980.5,5979.75,5979.75,-0.5,-0.01%,8
"2025-06-20 06:42",5979.75,5980.25,5979.75,5980.25,0.5,+0.01%,6
"2025-06-20 06:41",5980,5980.5,5979.75,5979.75,1,+0.02%,30
"2025-06-20 06:40",5978.5,5979.5,5978.5,5978.75,0.25,0.00%,26
"2025-06-20 06:39",5978.5,5978.75,5978.5,5978.5,-0.25,0.00%,8
"2025-06-20 06:38",5978.25,5980,5978.25,5978.75,0.25,0.00%,50
"2025-06-20 06:37",5977,5978.75,5977,5978.5,1.75,+0.03%,30
"2025-06-20 06:36",5976,5976.75,5975.5,5976.75,1.25,+0.02%,23
"2025-06-20 06:35",5975.75,5976,5975.5,5975.5,0,0.00%,8
"2025-06-20 06:34",5975,5975.5,5974.5,5975.5,0.5,+0.01%,8
"2025-06-20 06:33",5974.5,5975,5974.25,5975,0,0.00%,18
"2025-06-20 06:32",5974.5,5975,5974.5,5975,1,+0.02%,4
"2025-06-20 06:31",5973.5,5974,5973.5,5974,1,+0.02%,4
"2025-06-20 06:30",5973.25,5973.75,5972.75,5973,0,0.00%,34
"2025-06-20 06:29",5973,5973,5973,5973,-0.5,-0.01%,1
"2025-06-20 06:28",5973.5,5973.5,5973.25,5973.5,0,0.00%,11
"2025-06-20 06:27",5973.25,5974.25,5973.25,5973.5,-0.5,-0.01%,10
"2025-06-20 06:26",5974,5974,5974,5974,0.5,+0.01%,2
"2025-06-20 06:24",5973.75,5974.25,5972.75,5973.5,-0.75,-0.01%,28
"2025-06-20 06:23",5974.5,5974.5,5973.25,5974.25,0.5,+0.01%,12
"2025-06-20 06:22",5974.25,5974.25,5973.5,5973.75,-0.25,0.00%,6
"2025-06-20 06:21",5975.25,5975.75,5974,5974,-2.,-0.03%,20
"2025-06-20 06:20",5974.75,5976,5974.75,5976,1.75,+0.03%,10
"2025-06-20 06:19",5975.75,5976,5974,5974.25,-1.25,-0.02%,22
"2025-06-20 06:18",5973.5,5975.75,5973.5,5975.5,2,+0.03%,18
"2025-06-20 06:17",5973.5,5973.5,5973.5,5973.5,0.5,+0.01%,1
"2025-06-20 06:16",5973.75,5973.75,5973,5973,-1.,-0.02%,19
"2025-06-20 06:15",5972.75,5974.25,5972.75,5974,1,+0.02%,27
"2025-06-20 06:14",5973.25,5973.25,5973,5973,0,0.00%,5
"2025-06-20 06:13",5973,5973.25,5973,5973,-1.25,-0.02%,15
"2025-06-20 06:12",5974,5974.25,5973.5,5974.25,0,0.00%,5
"2025-06-20 06:11",5974,5974.25,5973.5,5974.25,0,0.00%,22
"2025-06-20 06:10",5974.25,5974.75,5974,5974.25,0,0.00%,28
"2025-06-20 06:09",5974.5,5974.75,5973.75,5974.25,-0.25,0.00%,8
"2025-06-20 06:08",5973.25,5975,5973.25,5974.5,1.5,+0.03%,33
"2025-06-20 06:07",5973,5973,5973,5973,-0.5,-0.01%,3
"2025-06-20 06:06",5972.75,5974,5972.75,5973.5,1.5,+0.03%,5
"2025-06-20 06:05",5972.5,5974.25,5972,5972,-0.25,0.00%,36
"2025-06-20 06:04",5972.25,5972.25,5971.75,5972.25,0.75,+0.01%,12
"2025-06-20 06:03",5971.5,5971.5,5970.75,5971.5,0.75,+0.01%,15
"2025-06-20 06:02",5971.75,5971.75,5970.75,5970.75,-1.,-0.02%,7
"2025-06-20 06:01",5971.5,5972.5,5971.5,5971.75,0.75,+0.01%,24
"2025-06-20 06:00",5970.75,5971.5,5970.5,5971,0.25,0.00%,17
"2025-06-20 05:59",5971.25,5971.5,5970.75,5970.75,-1.,-0.02%,6
"2025-06-20 05:58",5972,5972.25,5971.75,5971.75,-0.25,0.00%,20
"2025-06-20 05:57",5972,5972,5971.25,5972,-0.25,0.00%,10
"2025-06-20 05:56",5973.25,5973.25,5972.25,5972.25,-0.75,-0.01%,11
"2025-06-20 05:55",5972.5,5973.25,5972.25,5973,0.75,+0.01%,28
"2025-06-20 05:54",5971.5,5972.25,5971.5,5972.25,2,+0.03%,8
"2025-06-20 05:53",5970.75,5971,5969.75,5970.25,-0.25,0.00%,7
"2025-06-20 05:52",5969.75,5970.5,5969,5970.5,0,0.00%,46
"2025-06-20 05:51",5969.75,5970.5,5969.75,5970.5,0,0.00%,7
"2025-06-20 05:50",5970.75,5970.75,5970.25,5970.5,-1.,-0.02%,13
"2025-06-20 05:49",5971.75,5972.25,5971.5,5971.5,0,0.00%,17
"2025-06-20 05:48",5971.25,5971.5,5971,5971.5,0.75,+0.01%,4
"2025-06-20 05:46",5970.75,5971.5,5970.75,5970.75,-0.5,-0.01%,14
"2025-06-20 05:45",5970.75,5971.5,5970.75,5971.25,0,0.00%,21
