Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-09-19 08:29",6656.25,6659.75,6654.25,6658.5,1.75,+0.03%,94
"2025-09-19 08:28",6654.25,6657.75,6651.5,6656.75,2.5,+0.04%,125
"2025-09-19 08:27",6653.75,6655.5,6653.25,6654.25,0.5,+0.01%,112
"2025-09-19 08:26",6653.5,6654.75,6651.25,6653.75,-0.25,0.00%,174
"2025-09-19 08:25",6653,6655.25,6652,6654,1,+0.02%,182
"2025-09-19 08:24",6652.75,6653,6652.5,6653,0.5,+0.01%,30
"2025-09-19 08:23",6653.75,6653.75,6652.25,6652.5,-1.25,-0.02%,67
"2025-09-19 08:22",6654,6655.75,6653.5,6653.75,0,0.00%,85
"2025-09-19 08:21",6652.25,6653.75,6652.25,6653.75,1.5,+0.02%,59
"2025-09-19 08:20",6651.25,6652.25,6650.75,6652.25,1.5,+0.02%,39
"2025-09-19 08:19",6650.5,6651.5,6650.5,6650.75,-0.5,-0.01%,33
"2025-09-19 08:18",6651.75,6651.75,6650.5,6651.25,-0.25,0.00%,60
"2025-09-19 08:17",6651,6652.75,6651,6651.5,0.5,+0.01%,88
"2025-09-19 08:16",6650.75,6651.25,6650.5,6651,0.75,+0.01%,25
"2025-09-19 08:15",6650,6650.75,6650,6650.25,0.25,0.00%,49
"2025-09-19 08:14",6649.5,6650,6649.5,6650,0,0.00%,5
"2025-09-19 08:13",6649.75,6650,6649.5,6650,0.5,+0.01%,26
"2025-09-19 08:12",6649.5,6650.5,6649.5,6649.5,0.25,0.00%,65
"2025-09-19 08:11",6649.25,6649.5,6649,6649.25,0.25,0.00%,6
"2025-09-19 08:10",6649,6649.75,6648.75,6649,0.25,0.00%,51
"2025-09-19 08:09",6648.5,6648.75,6648.25,6648.75,0.5,+0.01%,24
"2025-09-19 08:08",6648,6648.75,6648,6648.25,0.5,+0.01%,25
"2025-09-19 08:07",6647.5,6647.75,6647.5,6647.75,-0.25,0.00%,6
"2025-09-19 08:06",6647.25,6648,6647.25,6648,1.25,+0.02%,20
"2025-09-19 08:05",6647.25,6647.75,6646.75,6646.75,-0.75,-0.01%,32
"2025-09-19 08:04",6646.75,6647.5,6646.75,6647.5,1,+0.02%,16
"2025-09-19 08:03",6646.5,6647.25,6645.75,6646.5,0,0.00%,34
"2025-09-19 08:02",6645.25,6646.5,6645.25,6646.5,1.5,+0.02%,30
"2025-09-19 08:01",6645.25,6645.75,6645,6645,0,0.00%,135
"2025-09-19 08:00",6644.5,6645.25,6644,6645,0,0.00%,58
"2025-09-19 07:59",6645,6645,6645,6645,0.25,0.00%,3
"2025-09-19 07:58",6644.5,6645,6644,6644.75,0,0.00%,30
"2025-09-19 07:57",6644.75,6645.5,6644.75,6644.75,0,0.00%,8
"2025-09-19 07:56",6644.25,6645.25,6644.25,6644.75,0.5,+0.01%,37
"2025-09-19 07:55",6645,6645.25,6644.25,6644.25,-0.75,-0.01%,37
"2025-09-19 07:54",6646.25,6646.25,6645,6645,-0.75,-0.01%,25
"2025-09-19 07:53",6646.5,6646.5,6645.5,6645.75,-0.75,-0.01%,32
"2025-09-19 07:52",6646.25,6646.75,6646.25,6646.5,0.25,0.00%,25
