Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-12-19 08:29",6794.5,6800,6792,6794.25,-0.5,-0.01%,69
"2025-12-19 08:28",6783.5,6796,6783.5,6794.75,9,+0.13%,72
"2025-12-19 08:27",6785.75,6785.75,6780,6785.75,4,+0.06%,46
"2025-12-19 08:26",6782.75,6787,6781.75,6781.75,-1.5,-0.02%,17
"2025-12-19 08:25",6791.75,6792.25,6781.5,6783.25,-8.75,-0.13%,61
"2025-12-19 08:24",6792,6794,6791.75,6792,0,0.00%,19
"2025-12-19 08:23",6792.75,6793.25,6792,6792,-0.75,-0.01%,19
"2025-12-19 08:22",6791.75,6793.25,6791.75,6792.75,0.25,0.00%,44
"2025-12-19 08:21",6793,6793.25,6792,6792.5,0.5,+0.01%,19
"2025-12-19 08:20",6791,6793,6789,6792,-4.75,-0.07%,125
"2025-12-19 08:19",6792.5,6796.75,6790.25,6796.75,4.25,+0.06%,97
"2025-12-19 08:18",6791.5,6793.75,6790.25,6792.5,0,0.00%,86
"2025-12-19 08:17",6792,6793.25,6789.5,6792.5,1.5,+0.02%,115
"2025-12-19 08:16",6789.75,6791.75,6788.25,6791,1.5,+0.02%,69
"2025-12-19 08:15",6788,6789.5,6787.25,6789.5,1.25,+0.02%,48
"2025-12-19 08:14",6788,6789,6787.25,6788.25,0.75,+0.01%,51
"2025-12-19 08:13",6786.5,6787.75,6786.5,6787.5,1.75,+0.03%,28
"2025-12-19 08:12",6786.5,6787,6785.5,6785.75,-1.5,-0.02%,20
"2025-12-19 08:11",6787,6787.5,6786.5,6787.25,0.5,+0.01%,18
"2025-12-19 08:10",6786.5,6787,6784.75,6786.75,0,0.00%,32
"2025-12-19 08:09",6785.75,6786.75,6785.75,6786.75,1.25,+0.02%,24
"2025-12-19 08:08",6785.25,6786.75,6785,6785.5,0.25,0.00%,64
"2025-12-19 08:07",6783.5,6785.25,6783.25,6785.25,2.75,+0.04%,26
"2025-12-19 08:06",6785.25,6785.25,6782.5,6782.5,-2.5,-0.04%,42
"2025-12-19 08:05",6784.75,6786,6784.5,6785,0.25,0.00%,49
"2025-12-19 08:04",6782,6785.75,6782,6784.75,2,+0.03%,27
"2025-12-19 08:03",6780.25,6783.5,6779.25,6782.75,2.75,+0.04%,56
"2025-12-19 08:02",6782.75,6783.75,6780,6780,-2.75,-0.04%,34
"2025-12-19 08:01",6782,6784,6781.5,6782.75,1.25,+0.02%,99
"2025-12-19 08:00",6784.25,6784.5,6779.75,6781.5,-2.5,-0.04%,124
"2025-12-19 07:59",6783.75,6784.5,6783.75,6784,0,0.00%,13
"2025-12-19 07:58",6783.75,6784.75,6783.75,6784,0,0.00%,14
"2025-12-19 07:57",6784,6785.25,6783.75,6784,0,0.00%,27
"2025-12-19 07:56",6784,6785,6783,6784,-0.25,0.00%,42
"2025-12-19 07:55",6784.5,6785,6783.75,6784.25,-0.25,0.00%,34
"2025-12-19 07:54",6784.5,6784.5,6784.5,6784.5,-0.5,-0.01%,2
"2025-12-19 07:53",6785.75,6786,6785,6785,-1.25,-0.02%,4
"2025-12-19 07:52",6785,6786.5,6784.75,6786.25,1.25,+0.02%,14
"2025-12-19 07:51",6785.5,6785.5,6785,6785,-0.5,-0.01%,6
"2025-12-19 07:50",6786.25,6786.75,6785.25,6785.5,-0.25,0.00%,23
"2025-12-19 07:49",6784.25,6786.25,6784.25,6785.75,1.25,+0.02%,47
"2025-12-19 07:48",6782.75,6784.5,6781.75,6784.5,1.75,+0.03%,16
"2025-12-19 07:47",6783,6783,6781.75,6782.75,0,0.00%,27
"2025-12-19 07:46",6783.25,6783.5,6782.5,6782.75,0.25,0.00%,14
"2025-12-19 07:45",6783.25,6784.25,6782.25,6782.5,-1.5,-0.02%,18
"2025-12-19 07:44",6784.5,6784.75,6783.25,6784,-0.5,-0.01%,14
"2025-12-19 07:43",6782.75,6784.5,6782.75,6784.5,1.5,+0.02%,14
"2025-12-19 07:42",6782.5,6783,6781.5,6783,-0.5,-0.01%,43
"2025-12-19 07:41",6786.75,6786.75,6781.75,6783.5,-3.,-0.04%,46
"2025-12-19 07:40",6786.75,6787.25,6786.5,6786.5,-1.,-0.01%,18
"2025-12-19 07:39",6787.25,6788,6787,6787.5,0.25,0.00%,52
"2025-12-19 07:38",6787.5,6787.75,6786.25,6787.25,0.5,+0.01%,28
"2025-12-19 07:37",6784.25,6787,6783,6786.75,4,+0.06%,49
"2025-12-19 07:36",6783.75,6783.75,6782.5,6782.75,0.5,+0.01%,8
"2025-12-19 07:35",6782.75,6784.5,6782.25,6782.25,0,0.00%,36
"2025-12-19 07:34",6782.5,6784.25,6781.75,6782.25,-1.25,-0.02%,37
"2025-12-19 07:33",6782.75,6783.5,6781.5,6783.5,1.25,+0.02%,19
"2025-12-19 07:32",6781.75,6782.25,6780,6782.25,0,0.00%,77
"2025-12-19 07:31",6783,6783.25,6781.5,6782.25,-0.25,0.00%,20
"2025-12-19 07:30",6782.5,6782.5,6781.75,6782.5,0,0.00%,5
"2025-12-19 07:29",6781.75,6782.5,6781.75,6782.5,1.75,+0.03%,2
