Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-06-20 08:25",21834.75,21899,21807.75,21855.5,20,+0.09%,961
"2025-06-20 08:20",21828,21840,21825.75,21835.5,7.5,+0.03%,393
"2025-06-20 08:15",21813.75,21830,21806,21828,16.5,+0.08%,290
"2025-06-20 08:10",21809,21815,21802.5,21811.5,1.5,+0.01%,111
"2025-06-20 08:05",21811.5,21812.25,21802.5,21810,-2.,-0.01%,129
"2025-06-20 08:00",21805.5,21818.5,21805.5,21812,7.25,+0.03%,184
"2025-06-20 07:55",21804.25,21815.5,21798.75,21804.75,4.5,+0.02%,134
"2025-06-20 07:50",21795.75,21805.5,21795,21800.25,4.5,+0.02%,195
"2025-06-20 07:45",21786.75,21800,21786.75,21795.75,9.75,+0.04%,98
"2025-06-20 07:40",21787.5,21790,21779.25,21786,-1.25,-0.01%,94
"2025-06-20 07:35",21787.75,21789.75,21769.5,21787.25,-2.25,-0.01%,130
"2025-06-20 07:30",21774,21793.5,21762,21789.5,24.5,+0.11%,251
"2025-06-20 07:25",21759.75,21777,21751.75,21765,10,+0.05%,82
"2025-06-20 07:20",21771.75,21772.5,21754,21755,-20.75,-0.10%,171
"2025-06-20 07:15",21764.25,21780,21758.25,21775.75,12.25,+0.06%,122
"2025-06-20 07:10",21759,21767.75,21756.75,21763.5,11.75,+0.05%,67
"2025-06-20 07:05",21758.25,21771.75,21751.5,21751.75,-11.25,-0.05%,144
"2025-06-20 07:00",21745.5,21767.25,21741,21763,18,+0.08%,112
"2025-06-20 06:55",21766.25,21767.25,21740,21745,-21.75,-0.10%,217
"2025-06-20 06:50",21764.25,21772.25,21757.25,21766.75,-2.5,-0.01%,106
"2025-06-20 06:45",21751.5,21783,21743.25,21769.25,18.25,+0.08%,441
"2025-06-20 06:40",21708.75,21751.75,21708,21751,42.25,+0.19%,259
"2025-06-20 06:35",21697.75,21712.25,21695.25,21708.75,12.75,+0.06%,81
"2025-06-20 06:30",21689.5,21697,21681,21696,1,0.00%,69
"2025-06-20 06:25",21689.5,21699,21689.25,21695,-5.75,-0.03%,27
"2025-06-20 06:20",21697.75,21703.25,21685.5,21700.75,7.75,+0.04%,60
"2025-06-20 06:15",21702.25,21705.5,21687.25,21693,1,0.00%,78
"2025-06-20 06:10",21702,21710,21692,21692,-6.5,-0.03%,69
"2025-06-20 06:05",21693.5,21702,21689.25,21698.5,5,+0.02%,65
"2025-06-20 06:00",21680,21693.75,21680,21693.5,8,+0.04%,49
"2025-06-20 05:55",21689,21695,21685,21685.5,-1.,0.00%,54
"2025-06-20 05:50",21685.25,21687,21674,21686.5,0.5,0.00%,42
"2025-06-20 05:45",21683,21688.5,21680.25,21686,3,+0.01%,33
"2025-06-20 05:40",21681.5,21683.25,21680,21683,-1.,0.00%,30
"2025-06-20 05:35",21681.75,21690,21677.75,21684,4.5,+0.02%,84
"2025-06-20 05:30",21669.75,21681.5,21667,21679.5,7.75,+0.04%,41
"2025-06-20 05:25",21668.75,21675.5,21668,21671.75,2.75,+0.01%,20
"2025-06-20 05:20",21670.5,21674.25,21666,21669,-3.,-0.01%,33
"2025-06-20 05:15",21670,21672.75,21666.25,21672,-6.,-0.03%,71
"2025-06-20 05:10",21676.25,21686.25,21676.25,21678,1.75,+0.01%,52
"2025-06-20 05:05",21681,21683.25,21674.75,21676.25,-4.75,-0.02%,78
"2025-06-20 05:00",21687.75,21692.75,21677.75,21681,-1.5,-0.01%,50
"2025-06-20 04:55",21682.5,21690.75,21681,21682.5,0,0.00%,41
"2025-06-20 04:50",21669,21690,21668.75,21682.5,9.5,+0.04%,54
"2025-06-20 04:45",21672.75,21678,21668,21673,-2.75,-0.01%,51
"2025-06-20 04:40",21669,21675.75,21665.25,21675.75,10.75,+0.05%,64
"2025-06-20 04:35",21666.25,21667.25,21661.25,21665,-0.75,0.00%,39
"2025-06-20 04:30",21668.25,21672.25,21661,21665.75,-2.75,-0.01%,30
"2025-06-20 04:25",21678,21678,21668,21668.5,-7.,-0.03%,32
"2025-06-20 04:20",21683,21685.75,21672,21675.5,-3.75,-0.02%,76
"2025-06-20 04:15",21678,21687.25,21678,21679.25,2,+0.01%,103
"2025-06-20 04:10",21670.25,21678.75,21665.5,21677.25,7.25,+0.03%,41
"2025-06-20 04:05",21655.75,21672.75,21654.5,21670,16.5,+0.08%,140
"2025-06-20 04:00",21648.75,21660.75,21648.75,21653.5,3.25,+0.02%,60
"2025-06-20 03:55",21660,21660,21642,21650.25,-9.75,-0.05%,105
"2025-06-20 03:50",21667.25,21668.25,21650.25,21660,-5.5,-0.03%,120
"2025-06-20 03:45",21678,21678,21665,21665.5,-12.,-0.06%,116
"2025-06-20 03:40",21684.25,21687.25,21675,21677.5,-8.25,-0.04%,74
"2025-06-20 03:35",21690.75,21696,21684.25,21685.75,-2.75,-0.01%,43
"2025-06-20 03:30",21695.25,21698,21684.25,21688.5,-7.75,-0.04%,70
"2025-06-20 03:25",21703.75,21705.5,21692.25,21696.25,-12.25,-0.06%,52
"2025-06-20 03:20",21710.25,21711,21703.25,21708.5,-0.25,0.00%,50
"2025-06-20 03:15",21727.5,21727.5,21707.25,21708.75,-17.25,-0.08%,78
"2025-06-20 03:10",21720.75,21731,21720.75,21726,7.5,+0.03%,148
"2025-06-20 03:05",21715.5,21724,21709.5,21718.5,4.5,+0.02%,69
"2025-06-20 03:00",21708.75,21723,21700,21714,7,+0.03%,149
"2025-06-20 02:55",21705.25,21710.75,21703.5,21707,-1.,0.00%,31
"2025-06-20 02:50",21706,21714.75,21706,21708,6.75,+0.03%,86
"2025-06-20 02:45",21697.5,21708.75,21691,21701.25,7.5,+0.03%,60
"2025-06-20 02:40",21693,21697.5,21689,21693.75,-3.5,-0.02%,38
"2025-06-20 02:35",21692.5,21697.25,21687.75,21697.25,5.25,+0.02%,40
"2025-06-20 02:30",21698.25,21705.75,21691.75,21692,-6.5,-0.03%,65
"2025-06-20 02:25",21693,21702.75,21690.75,21698.5,3.25,+0.01%,70
"2025-06-20 02:20",21690,21702.75,21690,21695.25,7.5,+0.03%,58
"2025-06-20 02:15",21684.5,21690.75,21680,21687.75,0,0.00%,50
"2025-06-20 02:10",21684.75,21688,21678.75,21687.75,6,+0.03%,19
"2025-06-20 02:05",21678,21686.75,21673.5,21681.75,2,+0.01%,86
"2025-06-20 02:00",21685.5,21690.25,21678.25,21679.75,-5.75,-0.03%,33
"2025-06-20 01:55",21685.25,21692.75,21682.5,21685.5,-2.5,-0.01%,38
"2025-06-20 01:50",21681.25,21690,21677.5,21688,4,+0.02%,67
"2025-06-20 01:45",21702.75,21702.75,21681.5,21684,-18.75,-0.09%,261
"2025-06-20 01:40",21703,21707.25,21699,21702.75,-3.25,-0.01%,36
"2025-06-20 01:35",21705,21709.25,21703,21706,0.75,0.00%,50
"2025-06-20 01:30",21717.5,21717.5,21705.25,21705.25,-8.25,-0.04%,70
