Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-09-19 08:25",24527.75,24625.5,24527.75,24566,38.5,+0.16%,1242
"2025-09-19 08:20",24518.25,24529.5,24516.25,24527.5,9.25,+0.04%,226
"2025-09-19 08:15",24517,24526.5,24517,24518.25,2.75,+0.01%,245
"2025-09-19 08:10",24508.25,24531.5,24505.5,24515.5,11.25,+0.05%,528
"2025-09-19 08:05",24498.5,24508,24498.25,24504.25,5.25,+0.02%,194
"2025-09-19 08:00",24493,24501.5,24491.5,24499,4,+0.02%,295
"2025-09-19 07:55",24492.75,24498.5,24490.75,24495,4,+0.02%,120
"2025-09-19 07:50",24505,24506.5,24491,24491,-12.25,-0.05%,108
"2025-09-19 07:45",24496.25,24504,24494.5,24503.25,9.25,+0.04%,58
"2025-09-19 07:40",24501.75,24506.25,24492.25,24494,-8.75,-0.04%,102
"2025-09-19 07:35",24502.25,24506.75,24493.5,24502.75,2,+0.01%,126
"2025-09-19 07:30",24506.25,24509.75,24500.75,24500.75,-6.25,-0.03%,104
"2025-09-19 07:25",24498,24510.25,24496.5,24507,5.5,+0.02%,151
"2025-09-19 07:20",24498,24502,24495,24501.5,3.5,+0.01%,150
"2025-09-19 07:15",24500.25,24500.25,24497,24498,0.5,0.00%,76
"2025-09-19 07:10",24495.75,24500.75,24494.25,24497.5,3,+0.01%,37
"2025-09-19 07:05",24499,24500.75,24494.5,24494.5,-1.5,-0.01%,88
"2025-09-19 07:00",24492,24498.75,24488.25,24496,2.5,+0.01%,65
"2025-09-19 06:55",24489,24493.5,24486.75,24493.5,4.5,+0.02%,54
"2025-09-19 06:50",24483.5,24489,24483.5,24489,5.25,+0.02%,42
"2025-09-19 06:45",24477,24486,24477,24483.75,4.75,+0.02%,18
"2025-09-19 06:40",24486,24487.5,24479,24479,-7.75,-0.03%,104
"2025-09-19 06:35",24481.5,24486.75,24480,24486.75,5.5,+0.02%,65
"2025-09-19 06:30",24478.5,24481.25,24474.5,24481.25,1.5,+0.01%,115
"2025-09-19 06:25",24475.25,24481,24474.25,24479.75,2,+0.01%,54
"2025-09-19 06:20",24477.75,24479.75,24472.5,24477.75,0,0.00%,40
"2025-09-19 06:15",24476.25,24479,24474,24477.75,0.75,0.00%,48
"2025-09-19 06:10",24480,24480,24469.75,24477,-2.25,-0.01%,41
"2025-09-19 06:05",24486,24486.25,24479,24479.25,-5.,-0.02%,44
"2025-09-19 06:00",24481.75,24492.5,24479.5,24484.25,2.75,+0.01%,60
"2025-09-19 05:55",24475.25,24484,24468.75,24481.5,5.25,+0.02%,50
"2025-09-19 05:50",24473.25,24478.75,24473.25,24476.25,1.25,+0.01%,42
"2025-09-19 05:45",24480.5,24483.5,24473.5,24475,-5.5,-0.02%,57
"2025-09-19 05:40",24484,24487.25,24480.5,24480.5,-3.75,-0.02%,28
"2025-09-19 05:35",24479.5,24487.75,24477.75,24484.25,5.25,+0.02%,86
"2025-09-19 05:30",24479.5,24481,24476.5,24479,-2.,-0.01%,32
"2025-09-19 05:25",24473.25,24481.25,24473.25,24481,10,+0.04%,47
"2025-09-19 05:20",24475,24475,24470,24471,-7.5,-0.03%,30
"2025-09-19 05:15",24469.5,24485,24469.5,24478.5,9.75,+0.04%,64
"2025-09-19 05:10",24467.25,24472.5,24462.75,24468.75,0.75,0.00%,72
"2025-09-19 05:05",24464.5,24469,24463.75,24468,3.5,+0.01%,56
"2025-09-19 05:00",24463.5,24465.5,24458.75,24464.5,-0.75,0.00%,116
"2025-09-19 04:55",24465.5,24469,24463.75,24465.25,-0.25,0.00%,33
"2025-09-19 04:50",24477.75,24478.25,24463.25,24465.5,-13.25,-0.05%,62
"2025-09-19 04:45",24480,24485,24476.25,24478.75,-3.,-0.01%,135
"2025-09-19 04:40",24483,24486.75,24481.5,24481.75,-4.,-0.02%,28
"2025-09-19 04:35",24482,24486.75,24481.5,24485.75,2,+0.01%,47
"2025-09-19 04:30",24478.75,24486,24477.5,24483.75,7,+0.03%,54
"2025-09-19 04:25",24479,24481.5,24476.75,24476.75,-0.5,0.00%,71
"2025-09-19 04:20",24470.25,24479,24470.25,24477.25,7,+0.03%,65
"2025-09-19 04:15",24465.5,24471.5,24464,24470.25,6.25,+0.03%,33
"2025-09-19 04:10",24467.25,24468,24464,24464,-6.25,-0.03%,18
"2025-09-19 04:05",24464.75,24472.5,24462.75,24470.25,6.5,+0.03%,28
"2025-09-19 04:00",24463,24472,24458.5,24463.75,1,0.00%,86
"2025-09-19 03:55",24461,24464.75,24460,24462.75,-2.5,-0.01%,28
"2025-09-19 03:50",24458.75,24465.25,24457.75,24465.25,6.5,+0.03%,73
"2025-09-19 03:45",24461.5,24462.75,24458.75,24458.75,-3.75,-0.02%,32
"2025-09-19 03:40",24467.5,24467.5,24459.5,24462.5,-6.25,-0.03%,61
"2025-09-19 03:35",24468.25,24472,24466.75,24468.75,1.5,+0.01%,41
"2025-09-19 03:30",24466.5,24468.25,24463.5,24467.25,0.25,0.00%,67
"2025-09-19 03:25",24462,24467.5,24458.25,24467,5.25,+0.02%,72
"2025-09-19 03:20",24461.75,24465,24458,24461.75,4,+0.02%,38
"2025-09-19 03:15",24455.75,24461.5,24453.75,24457.75,1.75,+0.01%,90
"2025-09-19 03:10",24454.5,24459.5,24452,24456,3.5,+0.01%,78
"2025-09-19 03:05",24446.75,24453.75,24446.75,24452.5,5.75,+0.02%,44
"2025-09-19 03:00",24440,24450,24438.75,24446.75,5.5,+0.02%,89
"2025-09-19 02:55",24445,24447.75,24438.25,24441.25,-3.5,-0.01%,41
"2025-09-19 02:50",24431.25,24444.75,24430,24444.75,13.5,+0.06%,61
"2025-09-19 02:45",24440,24440.25,24428.5,24431.25,-11.25,-0.05%,64
"2025-09-19 02:40",24441.5,24443.75,24437.25,24442.5,5,+0.02%,35
"2025-09-19 02:35",24438,24442.25,24430.5,24437.5,-1.25,-0.01%,61
"2025-09-19 02:30",24446.75,24446.75,24436.5,24438.75,-6.25,-0.03%,141
"2025-09-19 02:25",24442,24449.75,24436.5,24445,2.25,+0.01%,90
"2025-09-19 02:20",24435,24442.75,24433.75,24442.75,5.75,+0.02%,80
"2025-09-19 02:15",24424,24437,24424,24437,12.75,+0.05%,70
"2025-09-19 02:10",24424.5,24436.5,24421.25,24424.25,3.25,+0.01%,111
"2025-09-19 02:05",24424.5,24426.75,24411,24421,-3.5,-0.01%,199
"2025-09-19 02:00",24430,24440.5,24424.5,24424.5,-5.5,-0.02%,124
"2025-09-19 01:55",24441.75,24444.5,24430,24430,-11.75,-0.05%,88
"2025-09-19 01:50",24449,24451.5,24436.5,24441.75,-3.75,-0.02%,79
"2025-09-19 01:45",24454,24455.25,24440.25,24445.5,-8.75,-0.04%,52
"2025-09-19 01:40",24458,24460.25,24452.5,24454.25,-3.25,-0.01%,53
"2025-09-19 01:35",24439.5,24457.5,24437.5,24457.5,18.25,+0.07%,98
"2025-09-19 01:30",24443.25,24448,24438,24439.25,-4.5,-0.02%,78
"2025-09-19 01:25",24443.25,24445.5,24430.75,24443.75,-1.,0.00%,117
