Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-12-19 08:25",25130,25140,25093.25,25120,-15.5,-0.06%,499
"2025-12-19 08:20",25130,25142.25,25110,25135.5,6.75,+0.03%,483
"2025-12-19 08:15",25102.5,25128.75,25100,25128.75,27.75,+0.11%,309
"2025-12-19 08:10",25090,25101,25090,25101,13.5,+0.05%,141
"2025-12-19 08:05",25089,25093.5,25081.5,25087.5,-4.,-0.02%,156
"2025-12-19 08:00",25092,25092.75,25063.5,25091.5,0.25,0.00%,197
"2025-12-19 07:55",25092,25095,25083.75,25091.25,1.25,0.00%,61
"2025-12-19 07:50",25097,25099,25090,25090,-5.5,-0.02%,60
"2025-12-19 07:45",25088.25,25099,25079.75,25095.5,9.5,+0.04%,113
"2025-12-19 07:40",25095,25098.75,25072,25086,-11.25,-0.04%,166
"2025-12-19 07:35",25083,25106.25,25076.75,25097.25,19,+0.08%,201
"2025-12-19 07:30",25078.5,25087,25061.75,25078.25,-1.,0.00%,200
"2025-12-19 07:25",25079.25,25080.75,25069.5,25079.25,1.5,+0.01%,75
"2025-12-19 07:20",25082.25,25085,25075,25077.75,-1.5,-0.01%,74
"2025-12-19 07:15",25077.75,25083.75,25067,25079.25,1.5,+0.01%,80
"2025-12-19 07:10",25070,25078.5,25063,25077.75,3.25,+0.01%,92
"2025-12-19 07:05",25062.75,25075.5,25057,25074.5,11.75,+0.05%,86
"2025-12-19 07:00",25047.75,25066.75,25041.5,25062.75,11,+0.04%,178
"2025-12-19 06:55",25061,25072.5,25047,25051.75,-10.25,-0.04%,175
"2025-12-19 06:50",25089,25092.5,25061.75,25062,-25.5,-0.10%,97
"2025-12-19 06:45",25082.75,25091,25079.75,25087.5,6.5,+0.03%,65
"2025-12-19 06:40",25081,25084.75,25076,25081,-2.,-0.01%,82
"2025-12-19 06:35",25089,25089.75,25076.75,25083,-4.,-0.02%,91
"2025-12-19 06:30",25102.5,25107.25,25084.5,25087,-13.25,-0.05%,87
