row_id,symbol,local_symbol,buy_sell,trade_time,tradeDate,server_date_time,user_price,order_type,alert_data,entry_id,lmt_id,stp_id,alert_status,strategy_name,pages
20428220,MNQ1!,MNQU6,BUY,2026-07-30T10:56:06-0500,2026-07-30,2026-07-30 15:56:06.726304,28120.5,LMT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:56:06-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28120.50', 'stp_limit_stp_price': 0, 'tp': 28133.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28107.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656770085,602656770086,602656770087,Order Placed,,10
20428208,MNQ1!,MNQU6,BUY,2026-07-30T10:56:06-0500,2026-07-30,2026-07-30 15:56:06.673691,28120.5,LMT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:56:06-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28120.50', 'stp_limit_stp_price': 0, 'tp': 28133.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28107.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656730085,602656730086,602656730087,Order Placed,,10
20428207,MNQ1!,MNQU6,BUY,2026-07-30T10:56:06-0500,2026-07-30,2026-07-30 15:56:06.699061,28120.5,LMT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:56:06-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28120.50', 'stp_limit_stp_price': 0, 'tp': 28133.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28107.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_8', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",602656700085,602656700086,602656700087,Order Placed,,10
20426450,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:44-0500,2026-07-30,2026-07-30 15:36:44.388962,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:44-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
20426449,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:44-0500,2026-07-30,2026-07-30 15:36:44.378464,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:44-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_8', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
20426448,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:44-0500,2026-07-30,2026-07-30 15:36:44.366966,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:44-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
20426441,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:39-0500,2026-07-30,2026-07-30 15:36:39.409120,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:39-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_7', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
20426440,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:39-0500,2026-07-30,2026-07-30 15:36:39.398924,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:39-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_8', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
20426439,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:39-0500,2026-07-30,2026-07-30 15:36:39.397536,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:39-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
20426438,MNQ1!,MNQ1!,BUY,2026-07-30T10:36:39-0500,2026-07-30,2026-07-30 15:36:39.387461,,MKT,"{'strategy_name': '', 'symbol': 'MNQ1!', 'date': '2026-07-30T10:36:39-0500', 'data': 'BUY', 'quantity': 9, 'risk_percentage': 0.0, 'price': '28055.50', 'stp_limit_stp_price': 0, 'tp': 28068.5, 'percentage_tp': 0, 'dollar_tp': 0, 'sl': 28042.5, 'percentage_sl': 0, 'dollar_sl': 0, 'trail': 0, 'trail_stop': 0, 'trail_trigger': 0, 'trail_freq': 0, 'update_tp': False, 'update_sl': False, 'breakeven': 0, 'breakeven_offset': 0, 'token': 'YOUR_PICKMYTRADE_TOKEN_HERE', 'pyramid': False, 'same_direction_ignore': True, 'reverse_order_close': True, 'order_type': 'LMT', 'account_id': 'YOUR_ACCOUNT_ID_9', 'comment': '', 'full_closed': True, 'main_token_type': 'DEMO', 'duplicate_position_allow': True, 'gtd_in_second': 0, 'reverse_action': False, 'created_first': '', 'tif': 'GTC'}",,,,"Alert Ignored, Same Direction Found on (Open Order/Position)",,10
